,date,open,high,low,close
0,2023-08-09T19:00:00.000Z,5.31,5.311,5.3055,5.3095
1,2023-08-09T20:00:00.000Z,5.3085,5.3105,5.306,5.3095
2,2023-08-09T21:00:00.000Z,5.309,5.33,5.3075,5.321
3,2023-08-09T22:00:00.000Z,5.322,5.391,5.288,5.3095
4,2023-08-09T23:00:00.000Z,5.309,5.333,5.3075,5.3185
5,2023-08-10T00:00:00.000Z,5.3195,5.3225,5.3135,5.3195
6,2023-08-10T01:00:00.000Z,5.319,5.319,5.311,5.3115
7,2023-08-10T02:00:00.000Z,5.312,5.323,5.3115,5.3225
8,2023-08-10T03:00:00.000Z,5.3175,5.324,5.3115,5.3135
9,2023-08-10T04:00:00.000Z,5.3145,5.3185,5.313,5.317
10,2023-08-10T05:00:00.000Z,5.3165,5.319,5.313,5.3155
11,2023-08-10T06:00:00.000Z,5.3165,5.3185,5.3115,5.3135
12,2023-08-10T07:00:00.000Z,5.3125,5.3145,5.309,5.31
13,2023-08-10T08:00:00.000Z,5.3095,5.3125,5.307,5.31
14,2023-08-10T09:00:00.000Z,5.3105,5.314,5.31,5.313
15,2023-08-10T10:00:00.000Z,5.312,5.3135,5.309,5.312
16,2023-08-10T11:00:00.000Z,5.3125,5.3125,5.309,5.31
17,2023-08-10T12:00:00.000Z,5.3105,5.3175,5.2925,5.312
18,2023-08-10T13:00:00.000Z,5.311,5.328,5.311,5.3245
19,2023-08-10T14:00:00.000Z,5.3255,5.333,5.322,5.332
20,2023-08-10T15:00:00.000Z,5.333,5.3355,5.3315,5.3335
21,2023-08-10T16:00:00.000Z,5.3325,5.338,5.3325,5.3375
22,2023-08-10T17:00:00.000Z,5.3365,5.345,5.336,5.344
23,2023-08-10T18:00:00.000Z,5.3435,5.347,5.3425,5.347
24,2023-08-10T19:00:00.000Z,5.346,5.351,5.345,5.3495
25,2023-08-10T20:00:00.000Z,5.35,5.3505,5.3465,5.3495
26,2023-08-10T21:00:00.000Z,5.3505,5.3575,5.3255,5.3405
27,2023-08-10T22:00:00.000Z,5.3415,5.35,5.305,5.3435
28,2023-08-10T23:00:00.000Z,5.3425,5.3495,5.2705,5.343
29,2023-08-11T00:00:00.000Z,5.3435,5.354,5.309,5.354
30,2023-08-11T01:00:00.000Z,5.353,5.3535,5.347,5.35
31,2023-08-11T02:00:00.000Z,5.3505,5.3525,5.3485,5.3495
32,2023-08-11T03:00:00.000Z,5.35,5.35,5.3475,5.3475
33,2023-08-11T04:00:00.000Z,5.348,5.349,5.3315,5.3475
34,2023-08-11T05:00:00.000Z,5.3475,5.349,5.3335,5.343
35,2023-08-11T06:00:00.000Z,5.342,5.35,5.341,5.349
36,2023-08-11T07:00:00.000Z,5.3485,5.3485,5.343,5.345
37,2023-08-11T08:00:00.000Z,5.3445,5.346,5.3425,5.3435
38,2023-08-11T09:00:00.000Z,5.344,5.346,5.3415,5.344
39,2023-08-11T10:00:00.000Z,5.343,5.3455,5.3415,5.3425
40,2023-08-11T11:00:00.000Z,5.3415,5.343,5.339,5.339
41,2023-08-11T12:00:00.000Z,5.3385,5.3525,5.337,5.3505
42,2023-08-11T13:00:00.000Z,5.351,5.3535,5.347,5.351
43,2023-08-11T14:00:00.000Z,5.341,5.352,5.341,5.348
44,2023-08-11T15:00:00.000Z,5.3485,5.3565,5.3465,5.3555
45,2023-08-11T16:00:00.000Z,5.356,5.356,5.352,5.356
46,2023-08-11T17:00:00.000Z,5.3555,5.358,5.354,5.358
47,2023-08-11T18:00:00.000Z,5.3575,5.358,5.355,5.357
48,2023-08-11T19:00:00.000Z,5.3575,5.358,5.3555,5.356
49,2023-08-11T20:00:00.000Z,5.3565,5.384,5.339,5.384
50,2023-08-13T21:00:00.000Z,5.364,5.364,5.358,5.3615
51,2023-08-13T22:00:00.000Z,5.362,5.369,5.3415,5.353
52,2023-08-13T23:00:00.000Z,5.352,5.359,5.331,5.345
53,2023-08-14T00:00:00.000Z,5.344,5.363,5.3435,5.351
54,2023-08-14T01:00:00.000Z,5.352,5.359,5.34,5.358
55,2023-08-14T02:00:00.000Z,5.359,5.359,5.3525,5.358
56,2023-08-14T03:00:00.000Z,5.3585,5.359,5.3535,5.3545
57,2023-08-14T04:00:00.000Z,5.3555,5.36,5.3245,5.332
58,2023-08-14T05:00:00.000Z,5.333,5.356,5.3265,5.352
59,2023-08-14T06:00:00.000Z,5.352,5.353,5.3465,5.352
60,2023-08-14T07:00:00.000Z,5.3525,5.3535,5.3475,5.3495
61,2023-08-14T08:00:00.000Z,5.35,5.3555,5.348,5.3545
62,2023-08-14T09:00:00.000Z,5.355,5.3595,5.3515,5.3545
63,2023-08-14T10:00:00.000Z,5.355,5.3575,5.354,5.357
64,2023-08-14T11:00:00.000Z,5.3575,5.3615,5.3565,5.3595
65,2023-08-14T12:00:00.000Z,5.36,5.371,5.3595,5.3695
66,2023-08-14T13:00:00.000Z,5.369,5.389,5.368,5.377
67,2023-08-14T14:00:00.000Z,5.3775,5.378,5.365,5.373
68,2023-08-14T15:00:00.000Z,5.3725,5.373,5.3655,5.3675
69,2023-08-14T16:00:00.000Z,5.368,5.3805,5.364,5.3685
70,2023-08-14T17:00:00.000Z,5.3675,5.371,5.367,5.371
71,2023-08-14T18:00:00.000Z,5.3705,5.376,5.3695,5.376
72,2023-08-14T19:00:00.000Z,5.3755,5.3765,5.372,5.374
73,2023-08-14T20:00:00.000Z,5.3745,5.378,5.373,5.3765
74,2023-08-14T21:00:00.000Z,5.375,5.377,5.3715,5.3725
75,2023-08-14T22:00:00.000Z,5.372,5.3755,5.3655,5.373
76,2023-08-14T23:00:00.000Z,5.3735,5.3745,5.369,5.371
77,2023-08-15T00:00:00.000Z,5.3715,5.3765,5.371,5.372
78,2023-08-15T01:00:00.000Z,5.3715,5.374,5.368,5.372
79,2023-08-15T02:00:00.000Z,5.371,5.376,5.37,5.376
80,2023-08-15T03:00:00.000Z,5.376,5.377,5.3735,5.375
81,2023-08-15T04:00:00.000Z,5.3755,5.379,5.3735,5.375
82,2023-08-15T05:00:00.000Z,5.374,5.3745,5.3675,5.372
83,2023-08-15T06:00:00.000Z,5.3725,5.3825,5.3715,5.382
84,2023-08-15T07:00:00.000Z,5.3815,5.3865,5.3795,5.3845
85,2023-08-15T08:00:00.000Z,5.385,5.3865,5.3765,5.379
86,2023-08-15T09:00:00.000Z,5.378,5.381,5.374,5.3755
87,2023-08-15T10:00:00.000Z,5.376,5.3795,5.3735,5.3755
88,2023-08-15T11:00:00.000Z,5.3755,5.3775,5.3725,5.375
89,2023-08-15T12:00:00.000Z,5.375,5.3885,5.374,5.377
90,2023-08-15T13:00:00.000Z,5.3765,5.3775,5.366,5.3675
91,2023-08-15T14:00:00.000Z,5.367,5.371,5.3595,5.3605
92,2023-08-15T15:00:00.000Z,5.361,5.3715,5.361,5.3695
93,2023-08-15T16:00:00.000Z,5.3705,5.376,5.3695,5.3755
94,2023-08-15T17:00:00.000Z,5.375,5.3755,5.3725,5.373
95,2023-08-15T18:00:00.000Z,5.3735,5.379,5.373,5.379
96,2023-08-15T19:00:00.000Z,5.3795,5.3795,5.3735,5.3745
97,2023-08-15T20:00:00.000Z,5.374,5.378,5.373,5.376
98,2023-08-15T21:00:00.000Z,5.3765,5.391,5.367,5.3735
99,2023-08-15T22:00:00.000Z,5.3745,5.379,5.373,5.376
100,2023-08-15T23:00:00.000Z,5.3755,5.3815,5.3745,5.377
101,2023-08-16T00:00:00.000Z,5.3765,5.379,5.3735,5.377
102,2023-08-16T01:00:00.000Z,5.3765,5.3805,5.3735,5.375
103,2023-08-16T02:00:00.000Z,5.3745,5.375,5.3705,5.3735
104,2023-08-16T03:00:00.000Z,5.3735,5.3745,5.371,5.3725
105,2023-08-16T04:00:00.000Z,5.372,5.3725,5.37,5.37
106,2023-08-16T05:00:00.000Z,5.3695,5.3715,5.368,5.37
107,2023-08-16T06:00:00.000Z,5.3705,5.376,5.3655,5.3675
108,2023-08-16T07:00:00.000Z,5.367,5.3735,5.3665,5.3685
109,2023-08-16T08:00:00.000Z,5.3695,5.375,5.3685,5.374
110,2023-08-16T09:00:00.000Z,5.375,5.379,5.373,5.376
111,2023-08-16T10:00:00.000Z,5.377,5.3795,5.3755,5.3775
112,2023-08-16T11:00:00.000Z,5.3785,5.3835,5.3775,5.3835
113,2023-08-16T12:00:00.000Z,5.383,5.389,5.381,5.3875
114,2023-08-16T13:00:00.000Z,5.3865,5.3885,5.3795,5.3845
115,2023-08-16T14:00:00.000Z,5.3855,5.3875,5.3815,5.3855
116,2023-08-16T15:00:00.000Z,5.3865,5.3875,5.382,5.386
117,2023-08-16T16:00:00.000Z,5.3855,5.388,5.383,5.3875
118,2023-08-16T17:00:00.000Z,5.387,5.395,5.386,5.391
119,2023-08-16T18:00:00.000Z,5.39,5.3985,5.387,5.3975
120,2023-08-16T19:00:00.000Z,5.397,5.407,5.397,5.404
121,2023-08-16T20:00:00.000Z,5.4035,5.405,5.4005,5.402
122,2023-08-16T21:00:00.000Z,5.399,5.407,5.392,5.4045
123,2023-08-16T22:00:00.000Z,5.3895,5.4045,5.3825,5.395
124,2023-08-16T23:00:00.000Z,5.3945,5.4,5.39,5.3955
125,2023-08-17T00:00:00.000Z,5.3965,5.402,5.3955,5.397
126,2023-08-17T01:00:00.000Z,5.398,5.401,5.375,5.399
127,2023-08-17T02:00:00.000Z,5.398,5.401,5.3975,5.401
128,2023-08-17T03:00:00.000Z,5.4005,5.401,5.3975,5.4
129,2023-08-17T04:00:00.000Z,5.3995,5.4005,5.3955,5.397
130,2023-08-17T05:00:00.000Z,5.396,5.3985,5.375,5.3875
131,2023-08-17T06:00:00.000Z,5.3885,5.394,5.3875,5.392
132,2023-08-17T07:00:00.000Z,5.391,5.392,5.386,5.387
133,2023-08-17T08:00:00.000Z,5.386,5.3885,5.383,5.387
134,2023-08-17T09:00:00.000Z,5.388,5.3895,5.384,5.3865
135,2023-08-17T10:00:00.000Z,5.3855,5.3865,5.376,5.377
136,2023-08-17T11:00:00.000Z,5.3775,5.38,5.3705,5.3715
137,2023-08-17T12:00:00.000Z,5.3725,5.3755,5.3665,5.371
138,2023-08-17T13:00:00.000Z,5.37,5.375,5.365,5.375
139,2023-08-17T14:00:00.000Z,5.376,5.384,5.3745,5.379
140,2023-08-17T15:00:00.000Z,5.38,5.386,5.3755,5.3855
141,2023-08-17T16:00:00.000Z,5.3845,5.385,5.3795,5.3835
142,2023-08-17T17:00:00.000Z,5.384,5.3895,5.384,5.3895
143,2023-08-17T18:00:00.000Z,5.3885,5.39,5.3835,5.3835
144,2023-08-17T19:00:00.000Z,5.3845,5.3845,5.366,5.3685
145,2023-08-17T20:00:00.000Z,5.3695,5.375,5.3695,5.373
146,2023-08-17T21:00:00.000Z,5.374,5.383,5.357,5.3725
147,2023-08-17T22:00:00.000Z,5.3705,5.376,5.3505,5.3655
148,2023-08-17T23:00:00.000Z,5.3675,5.369,5.3595,5.365
149,2023-08-18T00:00:00.000Z,5.364,5.373,5.356,5.356
150,2023-08-18T01:00:00.000Z,5.3565,5.369,5.338,5.3635
151,2023-08-18T02:00:00.000Z,5.3645,5.3685,5.3635,5.366
152,2023-08-18T03:00:00.000Z,5.3665,5.3675,5.3595,5.3605
153,2023-08-18T04:00:00.000Z,5.361,5.3645,5.3595,5.3625
154,2023-08-18T05:00:00.000Z,5.363,5.363,5.357,5.357
155,2023-08-18T06:00:00.000Z,5.3575,5.3615,5.3525,5.3595
156,2023-08-18T07:00:00.000Z,5.359,5.3605,5.351,5.3565
157,2023-08-18T08:00:00.000Z,5.356,5.3685,5.355,5.3665
158,2023-08-18T09:00:00.000Z,5.3665,5.3685,5.362,5.366
159,2023-08-18T10:00:00.000Z,5.3665,5.3665,5.361,5.364
160,2023-08-18T11:00:00.000Z,5.3645,5.365,5.357,5.361
161,2023-08-18T12:00:00.000Z,5.3615,5.374,5.3615,5.37
162,2023-08-18T13:00:00.000Z,5.371,5.3735,5.358,5.359
163,2023-08-18T14:00:00.000Z,5.358,5.3615,5.3525,5.354
164,2023-08-18T15:00:00.000Z,5.3545,5.3605,5.3525,5.353
165,2023-08-18T16:00:00.000Z,5.3535,5.355,5.3465,5.347
166,2023-08-18T17:00:00.000Z,5.3465,5.3495,5.342,5.3485
167,2023-08-18T18:00:00.000Z,5.349,5.356,5.349,5.3555
168,2023-08-18T19:00:00.000Z,5.358,5.36,5.357,5.3585
169,2023-08-18T20:00:00.000Z,5.3575,5.361,5.355,5.361
170,2023-08-20T21:00:00.000Z,5.361,5.366,5.3565,5.3605
171,2023-08-20T22:00:00.000Z,5.3615,5.37,5.353,5.358
172,2023-08-20T23:00:00.000Z,5.3575,5.3605,5.352,5.354
173,2023-08-21T00:00:00.000Z,5.352,5.3525,5.346,5.347
174,2023-08-21T01:00:00.000Z,5.347,5.3625,5.3465,5.3615
175,2023-08-21T02:00:00.000Z,5.362,5.3635,5.352,5.353
176,2023-08-21T03:00:00.000Z,5.354,5.3565,5.351,5.355
177,2023-08-21T04:00:00.000Z,5.354,5.3565,5.3415,5.344
178,2023-08-21T05:00:00.000Z,5.3435,5.3495,5.34,5.3475
179,2023-08-21T06:00:00.000Z,5.347,5.3535,5.347,5.3495
180,2023-08-21T07:00:00.000Z,5.3485,5.3505,5.3455,5.35
181,2023-08-21T08:00:00.000Z,5.3495,5.359,5.349,5.358
182,2023-08-21T09:00:00.000Z,5.3585,5.3625,5.3565,5.3615
183,2023-08-21T10:00:00.000Z,5.362,5.3695,5.3615,5.367
184,2023-08-21T11:00:00.000Z,5.3675,5.368,5.3605,5.364
185,2023-08-21T12:00:00.000Z,5.363,5.376,5.363,5.373
186,2023-08-21T13:00:00.000Z,5.372,5.3765,5.3695,5.3755
187,2023-08-21T14:00:00.000Z,5.375,5.38,5.3745,5.3795
188,2023-08-21T15:00:00.000Z,5.3805,5.384,5.377,5.379
189,2023-08-21T16:00:00.000Z,5.3795,5.3815,5.375,5.377
190,2023-08-21T17:00:00.000Z,5.3775,5.3785,5.3735,5.377
191,2023-08-21T18:00:00.000Z,5.3775,5.3775,5.3735,5.374
192,2023-08-21T19:00:00.000Z,5.3735,5.381,5.3725,5.379
193,2023-08-21T20:00:00.000Z,5.3785,5.3825,5.3775,5.3795
194,2023-08-21T21:00:00.000Z,5.3755,5.3875,5.3595,5.3725
195,2023-08-21T22:00:00.000Z,5.3735,5.3765,5.3565,5.3695
196,2023-08-21T23:00:00.000Z,5.3685,5.372,5.365,5.37
197,2023-08-22T00:00:00.000Z,5.369,5.3755,5.364,5.366
198,2023-08-22T01:00:00.000Z,5.365,5.367,5.36,5.3635
199,2023-08-22T02:00:00.000Z,5.3625,5.3635,5.358,5.3625
200,2023-08-22T03:00:00.000Z,5.363,5.3635,5.357,5.362
201,2023-08-22T04:00:00.000Z,5.363,5.3655,5.36,5.3625
202,2023-08-22T05:00:00.000Z,5.3615,5.369,5.359,5.365
203,2023-08-22T06:00:00.000Z,5.3655,5.3665,5.3585,5.3585
204,2023-08-22T07:00:00.000Z,5.3595,5.3595,5.3525,5.3525
205,2023-08-22T08:00:00.000Z,5.3515,5.3525,5.3465,5.3475
206,2023-08-22T09:00:00.000Z,5.3485,5.3515,5.3445,5.3455
207,2023-08-22T10:00:00.000Z,5.3465,5.3515,5.3435,5.3505
208,2023-08-22T11:00:00.000Z,5.3515,5.3555,5.3505,5.3535
209,2023-08-22T12:00:00.000Z,5.3525,5.3615,5.351,5.3595
210,2023-08-22T13:00:00.000Z,5.3605,5.3655,5.3585,5.3635
211,2023-08-22T14:00:00.000Z,5.3625,5.37,5.3545,5.3565
212,2023-08-22T15:00:00.000Z,5.3555,5.3575,5.3505,5.3535
213,2023-08-22T16:00:00.000Z,5.353,5.3555,5.3505,5.354
214,2023-08-22T17:00:00.000Z,5.355,5.355,5.3495,5.3525
215,2023-08-22T18:00:00.000Z,5.3535,5.3565,5.351,5.352
216,2023-08-22T19:00:00.000Z,5.3525,5.355,5.352,5.3545
217,2023-08-22T20:00:00.000Z,5.3535,5.3595,5.3535,5.3575
218,2023-08-22T21:00:00.000Z,5.353,5.357,5.338,5.353
219,2023-08-22T22:00:00.000Z,5.348,5.3575,5.338,5.3455
220,2023-08-22T23:00:00.000Z,5.3465,5.3545,5.3405,5.3505
221,2023-08-23T00:00:00.000Z,5.3515,5.352,5.3465,5.347
222,2023-08-23T01:00:00.000Z,5.3475,5.3495,5.344,5.346
223,2023-08-23T02:00:00.000Z,5.3465,5.36,5.345,5.3485
224,2023-08-23T03:00:00.000Z,5.3485,5.3495,5.3465,5.347
225,2023-08-23T04:00:00.000Z,5.348,5.3505,5.344,5.345
226,2023-08-23T05:00:00.000Z,5.3445,5.349,5.342,5.348
227,2023-08-23T06:00:00.000Z,5.349,5.3495,5.3435,5.3495
228,2023-08-23T07:00:00.000Z,5.3485,5.352,5.3365,5.3385
229,2023-08-23T08:00:00.000Z,5.3375,5.3385,5.3325,5.3355
230,2023-08-23T09:00:00.000Z,5.3345,5.3395,5.3325,5.3355
231,2023-08-23T10:00:00.000Z,5.3365,5.341,5.3345,5.3355
232,2023-08-23T11:00:00.000Z,5.3365,5.3365,5.3295,5.3355
233,2023-08-23T12:00:00.000Z,5.335,5.3415,5.333,5.3365
234,2023-08-23T13:00:00.000Z,5.3375,5.3375,5.3095,5.311
235,2023-08-23T14:00:00.000Z,5.312,5.3205,5.3075,5.311
236,2023-08-23T15:00:00.000Z,5.312,5.313,5.3055,5.309
237,2023-08-23T16:00:00.000Z,5.31,5.315,5.308,5.313
238,2023-08-23T17:00:00.000Z,5.313,5.3165,5.3085,5.3165
239,2023-08-23T18:00:00.000Z,5.316,5.3185,5.3145,5.3165
240,2023-08-23T19:00:00.000Z,5.3155,5.321,5.3155,5.319
241,2023-08-23T20:00:00.000Z,5.3185,5.321,5.3175,5.319
242,2023-08-23T21:00:00.000Z,5.3105,5.317,5.3065,5.3085
243,2023-08-23T22:00:00.000Z,5.3045,5.3175,5.2995,5.3135
244,2023-08-23T23:00:00.000Z,5.315,5.315,5.306,5.3105
245,2023-08-24T00:00:00.000Z,5.3015,5.314,5.2995,5.3065
246,2023-08-24T01:00:00.000Z,5.306,5.321,5.3055,5.3195
247,2023-08-24T02:00:00.000Z,5.319,5.3215,5.3165,5.319
248,2023-08-24T03:00:00.000Z,5.3195,5.321,5.317,5.32
249,2023-08-24T04:00:00.000Z,5.317,5.3215,5.3135,5.32
250,2023-08-24T05:00:00.000Z,5.3195,5.3205,5.309,5.3135
251,2023-08-24T06:00:00.000Z,5.3145,5.3185,5.312,5.3155
252,2023-08-24T07:00:00.000Z,5.316,5.3265,5.316,5.3265
253,2023-08-24T08:00:00.000Z,5.326,5.327,5.3215,5.326
254,2023-08-24T09:00:00.000Z,5.3255,5.3315,5.324,5.3305
255,2023-08-24T10:00:00.000Z,5.3295,5.3415,5.3285,5.329
256,2023-08-24T11:00:00.000Z,5.33,5.451,5.33,5.451
257,2023-08-24T12:00:00.000Z,5.448,5.7605,5.4465,5.67
258,2023-08-24T13:00:00.000Z,5.67,5.6975,5.6115,5.6345
259,2023-08-24T14:00:00.000Z,5.6335,5.6555,5.613,5.614
260,2023-08-24T15:00:00.000Z,5.615,5.6915,5.612,5.6895
261,2023-08-24T16:00:00.000Z,5.6895,5.7175,5.6695,5.6715
262,2023-08-24T17:00:00.000Z,5.673,5.6745,5.66,5.6705
263,2023-08-24T18:00:00.000Z,5.6695,5.671,5.656,5.658
264,2023-08-24T19:00:00.000Z,5.6585,5.659,5.636,5.644
265,2023-08-24T20:00:00.000Z,5.645,5.65,5.6345,5.636
266,2023-08-24T21:00:00.000Z,5.6305,5.637,5.6045,5.621
267,2023-08-24T22:00:00.000Z,5.622,5.631,5.6125,5.6135
268,2023-08-24T23:00:00.000Z,5.6225,5.628,5.6155,5.624
269,2023-08-25T00:00:00.000Z,5.626,5.634,5.6155,5.633
270,2023-08-25T01:00:00.000Z,5.632,5.6365,5.627,5.6305
271,2023-08-25T02:00:00.000Z,5.6315,5.6505,5.6265,5.6275
272,2023-08-25T03:00:00.000Z,5.6275,5.64,5.6255,5.6295
273,2023-08-25T04:00:00.000Z,5.629,5.6405,5.6075,5.6295
274,2023-08-25T05:00:00.000Z,5.6285,5.6315,5.616,5.616
275,2023-08-25T06:00:00.000Z,5.617,5.6225,5.523,5.5235
276,2023-08-25T07:00:00.000Z,5.5225,5.532,5.495,5.503
277,2023-08-25T08:00:00.000Z,5.502,5.507,5.5,5.501
278,2023-08-25T09:00:00.000Z,5.5,5.5405,5.4995,5.5255
279,2023-08-25T10:00:00.000Z,5.5245,5.5485,5.5085,5.5085
280,2023-08-25T11:00:00.000Z,5.507,5.5155,5.4995,5.5115
281,2023-08-25T12:00:00.000Z,5.5105,5.5115,5.4985,5.4995
282,2023-08-25T13:00:00.000Z,5.4985,5.5055,5.4965,5.5015
283,2023-08-25T14:00:00.000Z,5.5005,5.522,5.4895,5.5195
284,2023-08-25T15:00:00.000Z,5.519,5.5205,5.5055,5.511
285,2023-08-25T16:00:00.000Z,5.512,5.512,5.5065,5.5105
286,2023-08-25T17:00:00.000Z,5.5095,5.51,5.5065,5.509
287,2023-08-25T18:00:00.000Z,5.5085,5.51,5.505,5.51
288,2023-08-25T19:00:00.000Z,5.511,5.5125,5.5095,5.5115
289,2023-08-25T20:00:00.000Z,5.511,5.5225,5.466,5.514
290,2023-08-28T03:00:00.000Z,5.53077,5.53177,5.52905,5.53027
291,2023-08-28T04:00:00.000Z,5.53039,5.532,5.526765,5.53076
292,2023-08-28T13:00:00.000Z,5.51104,5.515,5.5075,5.5115
293,2023-08-28T14:00:00.000Z,5.512,5.516,5.5115,5.516
294,2023-08-28T15:00:00.000Z,5.517,5.519,5.5045,5.5055
295,2023-08-28T16:00:00.000Z,5.505,5.514,5.5035,5.5125
296,2023-08-28T17:00:00.000Z,5.5115,5.5375,5.5095,5.5295
297,2023-08-28T18:00:00.000Z,5.529,5.5315,5.515,5.518
298,2023-08-28T19:00:00.000Z,5.5185,5.5255,5.5175,5.525
299,2023-08-28T20:00:00.000Z,5.526,5.5405,5.485,5.532
300,2023-08-28T21:00:00.000Z,5.571,5.575,5.524,5.525
301,2023-08-28T22:00:00.000Z,5.524,5.569,5.524,5.549
302,2023-08-28T23:00:00.000Z,5.55,5.567,5.5445,5.5525
303,2023-08-29T00:00:00.000Z,5.5675,5.577,5.5445,5.5575
304,2023-08-29T01:00:00.000Z,5.557,5.5575,5.538,5.547
305,2023-08-29T02:00:00.000Z,5.548,5.551,5.529,5.5345
306,2023-08-29T03:00:00.000Z,5.5345,5.5365,5.5275,5.534
307,2023-08-29T04:00:00.000Z,5.535,5.535,5.5175,5.522
308,2023-08-29T05:00:00.000Z,5.52,5.526,5.5165,5.5175
309,2023-08-29T06:00:00.000Z,5.5165,5.5175,5.505,5.505
