,index,level_0,date,open,high,low,close,SMA_10,SMA_10_LOW,SMA_10_HIGH,EMA,EMA_5,EMA_8,EMA_10,EMA_13,EMA_14,EMA_20,EMA_20_HIGH,EMA_20_LOW,EMA_30,EMA_50,SMMA_20,BB_UPPER,BB_MIDDLE,BB_LOWER,BB1_UPPER,BB1_MIDDLE,BB1_LOWER,RSI,RSI_SMOOTH,RSI_7,RSI_21,ROC,WILLIAMS,MACD,SIGNAL,CCI,CCI_7,STOCHK,STOCHD,STOCHD_21,STOCHD_30,ADX,ADX_21,ADX_48,PSAR,ATR,TENKAN,KIJUN,SENKOU_A,SENKOU_B,SMA,Dev,posDev,negDev,SDpos,SDneg,TII
0,0,77,2023-10-13T06:00:00.000Z,0.95643,0.95693,0.95628,0.95652,0.9564125000000001,0.9561259999999999,0.9566545,0.9564397252834098,0.9564573509278445,0.9564427564538527,0.9564377772674777,0.9564399065584268,0.9564435409678482,0.9564937202396133,0.9568112208073692,0.9561818110421926,0.9566380723627435,0.9569150508248446,0.9567741733644156,0.9571987846098016,0.9563302499999999,0.9554617153901983,0.9567645173049008,0.9563302499999999,0.9558959826950991,48.827251862785154,43.509028444017744,53.91212853885687,47.26951616791439,0.008364351135469033,-43.14381270902985,-0.00013846030676833987,-0.00020843651390587962,67.54772393540193,136.45224171533,56.85618729097015,60.22621182804958,71.08013937282279,71.08013937282279,22.411550147677577,14.044563034341135,21.50097681169261,0.9545246,0.0005128571428571324,0.95645,0.9560675000000001,0.9578575,0.958765,0.9574136666666667,-0.0008936666666666815,0.0,0.0008936666666666815,0.0,0.027703583333333226,0.0
1,1,78,2023-10-13T07:00:00.000Z,0.95653,0.95663,0.9557,0.95651,0.9564220000000001,0.956129,0.9566384999999998,0.9564537802270382,0.956474900618563,0.9564576994641434,0.9564509086751026,0.9564499199587203,0.9564524022812322,0.956495271264237,0.9567939553238562,0.9561359073696172,0.9566297668502862,0.9568984630256192,0.9567607310061107,0.9572106140551304,0.95635875,0.9555068859448697,0.9567846820275653,0.95635875,0.9559328179724348,48.672579944720795,43.432596938092054,53.390525680223085,47.181986760239155,0.009932926606123516,-34.11764705882865,-0.00012243017413016144,-0.00019123524557083585,-21.196063588259275,-116.66666666666667,65.88235294117135,61.3754263277117,70.73170731707138,70.73170731707138,24.634120015473517,14.309713420526649,21.315673471108447,0.9546208159999999,0.0005474999999999865,0.956315,0.9560675000000001,0.9578575,0.958765,0.9573649999999999,-0.0008549999999999391,0.0,0.0008549999999999391,0.0,0.028558583333333165,0.0
2,2,79,2023-10-13T08:00:00.000Z,0.9565,0.95728,0.956185,0.95676,0.9564715000000001,0.9561235,0.9567064999999999,0.9565150241827127,0.9565699337457088,0.9565248773611248,0.9565071071038053,0.9564942173027441,0.9564934157480179,0.9565204919290756,0.9568402607233756,0.956140584416759,0.9566382096699982,0.9568928024645513,0.9567606938420263,0.9571410892065887,0.9564314999999999,0.9557219107934111,0.9567862946032942,0.9564314999999999,0.9560767053967055,52.706055411958985,43.60903060689426,63.64851862494593,49.630324318115406,0.051763893899705954,-32.298136645960554,-8.85718605236896e-05,-0.0001707025681986256,112.92853533340134,155.96926713960522,67.70186335403945,62.792349580075665,79.4425087108024,79.4425087108024,22.566867788229928,13.869203295495632,20.715180573080406,0.9547131833599999,0.0005803571428571305,0.9564900000000001,0.9560675000000001,0.9575375,0.958765,0.9573206666666667,-0.0005606666666666538,0.0,0.0005606666666666538,0.0,0.02911924999999982,0.0
3,3,80,2023-10-13T09:00:00.000Z,0.956765,0.95708,0.955615,0.95566,0.9563855,0.9560639999999999,0.9567534999999999,0.956344019343753,0.9562666224971392,0.9563326823917087,0.9563530876169458,0.9563750429520615,0.9563822926206824,0.9564385156014044,0.9568630999213182,0.9560905136619834,0.9565748136077373,0.9568424875948728,0.9567047819138194,0.9569591651843083,0.9564597499999999,0.9559603348156915,0.9567094575921542,0.9564597499999999,0.9562100424078457,38.40531133917666,43.506978208822964,29.885247574054972,40.87638237021461,-0.08990925438047118,-97.29729729729965,-0.0001486250054447691,-0.00016628705558544203,-142.26879941160757,-141.90345249002578,2.70270270270036,45.21498961140861,42.1428571428553,42.1428571428553,22.587991027696788,13.922303366350352,20.422064791117258,0.9548671923583999,0.0006574999999999934,0.9564475,0.955925,0.95748875,0.958765,0.9572539166666666,-0.0015939166666666393,0.0,0.0015939166666666393,0.0,0.030713166666666458,0.0
4,4,81,2023-10-13T10:00:00.000Z,0.95565,0.955675,0.954845,0.95534,0.9563035000000001,0.9559485000000001,0.9566635,0.9561432154727316,0.9559577483314262,0.9561120863044147,0.9561688898552588,0.9562271791943174,0.9562433191574675,0.9563338665217229,0.9567499166736915,0.955971860947092,0.9564948108628301,0.9567812637746158,0.9566355103162817,0.9571017396101444,0.95639825,0.9556947603898556,0.9567499948050722,0.95639825,0.9560465051949278,35.39646513072107,43.3134418342033,25.32569996038174,38.78667400455847,-0.08575970548862565,-79.67145790554746,-0.00021946393309224543,-0.00017692243120706562,-386.572570752307,-203.5757446506187,20.328542094452537,30.03995079736411,21.29817444219014,21.29817444219014,24.38337710989366,14.507131984175595,20.45707119096173,0.95728,0.0006860714285714267,0.9560625,0.9559150000000001,0.95748875,0.958765,0.9571893333333333,-0.0018493333333333695,0.0,0.0018493333333333695,0.0,0.03256249999999983,0.0
5,5,82,2023-10-13T11:00:00.000Z,0.955335,0.955425,0.954725,0.954885,0.9561439999999999,0.955824,0.9565490000000001,0.955891572375909,0.9556001655542841,0.9558394004587512,0.9559354553224844,0.9560354387771471,0.9560622086785104,0.9561958451700928,0.9566237029836391,0.9558530829709071,0.9563905407840096,0.9567041124865243,0.9565467276495269,0.9572875485225465,0.9563157500000001,0.9553439514774538,0.9568016492612733,0.9563157500000001,0.955829850738727,31.604972482173608,43.03161625670735,20.21061704214722,36.036227127904645,-0.16675727668116563,-93.7377690802372,-0.00030870130805593643,-0.00020327820681526092,-321.55448228069406,-134.33416371662588,6.2622309197628026,9.764491905638558,6.2622309197628026,6.2622309197628026,26.204155038386194,15.14275662518673,20.533913618723172,0.9572313,0.0006560714285714206,0.9560025000000001,0.9559150000000001,0.9568274999999999,0.95845,0.9571160833333334,-0.002231083333333439,0.0,0.002231083333333439,0.0,0.03479358333333327,0.0
6,6,83,2023-10-13T12:00:00.000Z,0.954905,0.95491,0.953925,0.95395,0.9558960000000001,0.955595,0.956389,0.955503257897917,0.9550501103695227,0.9554195336898547,0.9555744634284152,0.9557375182429647,0.95578057915938,0.9559819073823556,0.9564604567233711,0.955669415008902,0.9562325033506309,0.9565922233171978,0.9564151209095486,0.9575859800882632,0.9561742499999999,0.9547625199117366,0.9568801150441315,0.9561742499999999,0.9554683849558683,25.548715526931886,42.607660309668546,13.61704150483527,31.25413710502235,-0.2592975962694643,-99.25484351714033,-0.00044957548979229767,-0.00025253766376715924,-312.20111672144714,-128.882425524414,0.745156482859665,9.111976499024992,0.745156482859665,0.745156482859665,29.03164392828072,16.22269170697874,20.870927904631454,0.957131048,0.0007007142857142767,0.9556025,0.9556375,0.9567525,0.958375,0.9570245833333334,-0.003074583333333436,0.0,0.003074583333333436,0.0,0.0378681666666667,0.0
7,7,84,2023-10-13T13:00:00.000Z,0.953955,0.95402,0.95223,0.95306,0.9555505,0.9551825,0.9561275,0.9550146063155046,0.9543867402463484,0.95489519286961,0.9551172882417344,0.9553550148567127,0.955417833378987,0.9557035742571353,0.9562279853073082,0.9553417854837029,0.9560271166957903,0.9564489245761972,0.9562451933113961,0.9579257880129239,0.955983,0.9540402119870761,0.956954394006462,0.955983,0.9550116059935381,21.354091379775426,42.03082990616513,9.995636774697445,27.59427208070848,-0.36120709032268034,-83.56435643564362,-0.0006257226174291031,-0.00032717465493166663,-303.1721268850979,-148.00897363993116,16.435643564356386,8.040263154825993,16.435643564356386,16.435643564356386,32.98665249365719,17.91409433002971,21.615718940473183,0.95693868512,0.0007999999999999911,0.954755,0.95479,0.9567525,0.958375,0.9569219166666667,-0.003861916666666687,0.0,0.003861916666666687,0.0,0.04173008333333339,0.0
8,8,85,2023-10-13T14:00:00.000Z,0.95305,0.95305,0.950015,0.950375,0.9549495,0.9545530000000001,0.955771,0.9540866850481058,0.9530494934975656,0.9538907055648396,0.9542550539883772,0.9546435829192144,0.9547454525549699,0.9551959982151743,0.9559252647059141,0.954834379832262,0.9556612825802069,0.9562028445976211,0.9559480765539732,0.9588296723374209,0.9556764999999998,0.9525233276625787,0.9572530861687103,0.9556764999999998,0.9540999138312893,13.92586501366118,41.244796973469484,5.162923285971829,20.128025706693677,-0.6284080156004193,-95.04473503097154,-0.0009705175590091208,-0.00045584323634310957,-309.06545719248044,-155.71654827429455,4.955264969028461,8.072994190994082,4.955264969028461,4.955264969028461,37.44148615239253,20.00925328292789,22.695442434288857,0.9565619903104,0.0009764285714285606,0.9536475,0.9536475,0.9567525,0.958375,0.9567765833333334,-0.006401583333333405,0.0,0.006401583333333405,0.0,0.048131666666666795,0.0
9,9,86,2023-10-13T15:00:00.000Z,0.95038,0.95046,0.946985,0.947,0.9540059999999999,0.9536505,0.9551459999999998,0.9526693480332329,0.9510329956650437,0.9523594376610527,0.9529359532286864,0.9535516408660121,0.9537127215007697,0.9544152978438672,0.955404677210263,0.9540866961958464,0.9551007968983007,0.9558304825430015,0.9554954524761412,0.9601790068930923,0.95520525,0.9502314931069077,0.9576921284465462,0.95520525,0.9527183715534538,9.467654271251007,40.44297812707912,3.020989403255271,14.83153457526521,-0.9864758190572367,-99.8542982030113,-0.001498511448080997,-0.0006643768794633765,-318.92540230780276,-160.3485354097147,0.1457017969887049,7.883850402868615,0.1457017969887049,0.1457017969887049,42.08306259889704,22.386148631925472,24.047641927880257,0.95590729127936,0.0011817857142857008,0.9521325,0.9521325,0.9563550000000001,0.9579774999999999,0.9565760833333333,-0.009576083333333374,0.0,0.009576083333333374,0.0,0.05770775000000017,0.0
