,index,level_0,date,open,high,low,close
0,0,0,2023-10-10T00:05:00.000Z,0.957165,0.95728,0.95706,0.957275
1,1,1,2023-10-10T00:10:00.000Z,0.957265,0.95742,0.95722,0.95722
2,2,2,2023-10-10T00:15:00.000Z,0.957215,0.95737,0.957095,0.957325
3,3,3,2023-10-10T00:20:00.000Z,0.95733,0.957555,0.957325,0.95749
4,4,4,2023-10-10T00:25:00.000Z,0.957495,0.957535,0.957385,0.957385
5,5,5,2023-10-10T00:30:00.000Z,0.95738,0.95742,0.95734,0.95734
6,6,6,2023-10-10T00:35:00.000Z,0.957345,0.95747,0.957345,0.957365
7,7,7,2023-10-10T00:40:00.000Z,0.95737,0.95746,0.957295,0.95746
8,8,8,2023-10-10T00:45:00.000Z,0.957455,0.957565,0.95717,0.957325
9,9,9,2023-10-10T00:50:00.000Z,0.957355,0.957455,0.9573,0.957345
10,10,10,2023-10-10T00:55:00.000Z,0.95735,0.95744,0.957245,0.95731
11,11,11,2023-10-10T01:00:00.000Z,0.957305,0.95746,0.957275,0.95743
12,12,12,2023-10-10T01:05:00.000Z,0.957425,0.957495,0.957375,0.957435
13,13,13,2023-10-10T01:10:00.000Z,0.95744,0.957515,0.957115,0.95714
14,14,14,2023-10-10T01:15:00.000Z,0.957135,0.95718,0.95691,0.957135
15,15,15,2023-10-10T01:20:00.000Z,0.95713,0.957225,0.95709,0.95713
16,16,16,2023-10-10T01:25:00.000Z,0.957125,0.95738,0.957015,0.957245
17,17,17,2023-10-10T01:30:00.000Z,0.95724,0.957335,0.957135,0.957325
18,18,18,2023-10-10T01:35:00.000Z,0.95732,0.95743,0.95721,0.9574
19,19,19,2023-10-10T01:40:00.000Z,0.957395,0.95742,0.957305,0.957355
20,20,20,2023-10-10T01:45:00.000Z,0.95735,0.957395,0.95725,0.95731
21,21,21,2023-10-10T01:50:00.000Z,0.957315,0.95745,0.957295,0.95742
22,22,22,2023-10-10T01:55:00.000Z,0.957415,0.957485,0.957345,0.95735
23,23,23,2023-10-10T02:00:00.000Z,0.957355,0.95744,0.957215,0.95725
24,24,24,2023-10-10T02:05:00.000Z,0.957255,0.957335,0.957185,0.95732
25,25,25,2023-10-10T02:10:00.000Z,0.957325,0.957345,0.95713,0.95713
26,26,26,2023-10-10T02:15:00.000Z,0.95714,0.95714,0.956985,0.95703
27,27,27,2023-10-10T02:20:00.000Z,0.957035,0.95709,0.95697,0.95707
28,28,28,2023-10-10T02:25:00.000Z,0.957065,0.95707,0.956875,0.956915
29,29,29,2023-10-10T02:30:00.000Z,0.956925,0.95707,0.956855,0.956875
30,30,30,2023-10-10T02:35:00.000Z,0.95687,0.95696,0.956775,0.95678
31,31,31,2023-10-10T02:40:00.000Z,0.956775,0.956835,0.956695,0.95678
32,32,32,2023-10-10T02:45:00.000Z,0.956775,0.956845,0.956735,0.95677
33,33,33,2023-10-10T02:50:00.000Z,0.956775,0.956855,0.95666,0.956665
34,34,34,2023-10-10T02:55:00.000Z,0.95666,0.956665,0.95653,0.956555
35,35,35,2023-10-10T03:00:00.000Z,0.956545,0.956655,0.956535,0.95654
36,36,36,2023-10-10T03:05:00.000Z,0.956545,0.956545,0.95646,0.9565
37,37,37,2023-10-10T03:10:00.000Z,0.956495,0.956495,0.956365,0.956395
