,action,result,chart_index,symbol,indicator
0,sell,0.004572672,0.0,EURCHF,ema
1,sell,0.004572672,1.0,EURCHF,ema
2,sell,0.004572672,2.0,EURCHF,ema
3,sell,0.004572672,3.0,EURCHF,ema
4,sell,0.004572672,4.0,EURCHF,ema
5,sell,0.004572672,5.0,EURCHF,ema
6,sell,0.004572672,6.0,EURCHF,ema
7,sell,0.004572672,7.0,EURCHF,ema
8,sell,0.004572672,8.0,EURCHF,ema
9,sell,-0.004822740000000001,9.0,EURCHF,ema
10,sell,-0.004822740000000001,10.0,EURCHF,ema
11,sell,-0.004822740000000001,11.0,EURCHF,ema
12,sell,-0.004822740000000001,12.0,EURCHF,ema
13,sell,-0.004822740000000001,13.0,EURCHF,ema
14,sell,-0.004822740000000001,14.0,EURCHF,ema
15,sell,-0.004822740000000001,15.0,EURCHF,ema
16,sell,0.004572672,16.0,EURCHF,ema
17,sell,0.004572672,17.0,EURCHF,ema
18,sell,0.004572672,18.0,EURCHF,ema
19,sell,0.004572672,19.0,EURCHF,ema
20,sell,0.004572672,20.0,EURCHF,ema
21,sell,0.004572672,21.0,EURCHF,ema
22,sell,0.004572672,22.0,EURCHF,ema
23,sell,0.004572672,23.0,EURCHF,ema
24,sell,0.004572672,24.0,EURCHF,ema
25,sell,0.004572672,25.0,EURCHF,ema
26,sell,0.004572672,26.0,EURCHF,ema
27,sell,0.004572672,27.0,EURCHF,ema
28,sell,0.004572672,28.0,EURCHF,ema
29,sell,0.004572672,29.0,EURCHF,ema
30,sell,0.004572672,30.0,EURCHF,ema
31,sell,0.004572672,31.0,EURCHF,ema
32,sell,0.004572672,32.0,EURCHF,ema
33,sell,0.004572672,33.0,EURCHF,ema
34,sell,0.004572672,34.0,EURCHF,ema
35,sell,0.004572672,35.0,EURCHF,ema
36,sell,0.004572672,36.0,EURCHF,ema
37,sell,0.004572672,37.0,EURCHF,ema
38,sell,0.004572672,38.0,EURCHF,ema
39,sell,0.004572672,39.0,EURCHF,ema
40,sell,0.004572672,40.0,EURCHF,ema
41,sell,0.004572672,41.0,EURCHF,ema
42,sell,0.004572672,42.0,EURCHF,ema
43,sell,0.004572672,43.0,EURCHF,ema
44,sell,0.004572672,44.0,EURCHF,ema
45,sell,0.004572672,45.0,EURCHF,ema
46,sell,0.004572672,46.0,EURCHF,ema
47,buy,-0.004822740000000001,55.0,EURCHF,ema
48,buy,-0.004822740000000001,56.0,EURCHF,ema
49,buy,-0.004822740000000001,57.0,EURCHF,ema
50,buy,-0.004822740000000001,58.0,EURCHF,ema
51,buy,-0.004822740000000001,59.0,EURCHF,ema
52,buy,-0.004822740000000001,60.0,EURCHF,ema
53,buy,-0.004822740000000001,61.0,EURCHF,ema
54,buy,-0.004822740000000001,62.0,EURCHF,ema
55,buy,-0.004822740000000001,63.0,EURCHF,ema
56,buy,-0.004822740000000001,64.0,EURCHF,ema
57,buy,-0.004822740000000001,65.0,EURCHF,ema
58,buy,-0.004822740000000001,66.0,EURCHF,ema
59,buy,-0.004822740000000001,67.0,EURCHF,ema
60,buy,-0.004822740000000001,68.0,EURCHF,ema
61,sell,0.004572672,75.0,EURCHF,ema
62,sell,0.004572672,76.0,EURCHF,ema
63,sell,0.004572672,77.0,EURCHF,ema
64,sell,0.004572672,78.0,EURCHF,ema
65,sell,-0.004822740000000001,79.0,EURCHF,ema
66,sell,-0.004822740000000001,80.0,EURCHF,ema
67,sell,-0.004822740000000001,81.0,EURCHF,ema
68,sell,0.004572672,82.0,EURCHF,ema
69,sell,0.004572672,83.0,EURCHF,ema
70,sell,0.004572672,84.0,EURCHF,ema
71,sell,0.004572672,85.0,EURCHF,ema
72,sell,0.004572672,86.0,EURCHF,ema
73,sell,0.004572672,87.0,EURCHF,ema
74,sell,0.004572672,88.0,EURCHF,ema
75,sell,0.004572672,89.0,EURCHF,ema
