,action,result,chart_index,symbol,indicator
0,sell,0.004572672,3.0,EURCHF,ema_10_50
1,sell,0.004572672,4.0,EURCHF,ema_10_50
2,sell,0.004572672,5.0,EURCHF,ema_10_50
3,sell,0.004572672,6.0,EURCHF,ema_10_50
4,sell,0.004572672,7.0,EURCHF,ema_10_50
5,sell,0.004572672,8.0,EURCHF,ema_10_50
6,sell,-0.004822740000000001,9.0,EURCHF,ema_10_50
7,sell,-0.004822740000000001,10.0,EURCHF,ema_10_50
8,sell,-0.004822740000000001,11.0,EURCHF,ema_10_50
9,sell,-0.004822740000000001,12.0,EURCHF,ema_10_50
10,sell,-0.004822740000000001,13.0,EURCHF,ema_10_50
11,sell,-0.004822740000000001,14.0,EURCHF,ema_10_50
12,sell,0.004572672,34.0,EURCHF,ema_10_50
13,sell,0.004572672,35.0,EURCHF,ema_10_50
14,buy,-0.004822740000000001,56.0,EURCHF,ema_10_50
15,buy,-0.004822740000000001,57.0,EURCHF,ema_10_50
16,buy,-0.004822740000000001,58.0,EURCHF,ema_10_50
17,buy,-0.004822740000000001,59.0,EURCHF,ema_10_50
18,buy,-0.004822740000000001,62.0,EURCHF,ema_10_50
19,buy,-0.004822740000000001,63.0,EURCHF,ema_10_50
20,sell,0.004572672,69.0,EURCHF,ema_10_50
21,sell,0.004572672,70.0,EURCHF,ema_10_50
22,sell,0.004572672,72.0,EURCHF,ema_10_50
23,sell,0.004572672,75.0,EURCHF,ema_10_50
24,sell,0.004572672,76.0,EURCHF,ema_10_50
25,sell,0.004572672,77.0,EURCHF,ema_10_50
26,sell,0.004572672,78.0,EURCHF,ema_10_50
27,sell,-0.004822740000000001,79.0,EURCHF,ema_10_50
28,sell,-0.004822740000000001,80.0,EURCHF,ema_10_50
29,sell,-0.004822740000000001,81.0,EURCHF,ema_10_50
30,sell,0.004572672,82.0,EURCHF,ema_10_50
31,sell,0.004572672,83.0,EURCHF,ema_10_50
32,sell,0.004572672,84.0,EURCHF,ema_10_50
33,sell,0.004572672,105.0,EURCHF,ema_10_50
34,sell,0.004572672,106.0,EURCHF,ema_10_50
35,sell,-0.004822740000000001,107.0,EURCHF,ema_10_50
36,sell,-0.004822740000000001,108.0,EURCHF,ema_10_50
37,sell,-0.004822740000000001,109.0,EURCHF,ema_10_50
38,sell,-0.004822740000000001,110.0,EURCHF,ema_10_50
39,sell,-0.004822740000000001,111.0,EURCHF,ema_10_50
40,sell,-0.004822740000000001,112.0,EURCHF,ema_10_50
41,sell,-0.004822740000000001,113.0,EURCHF,ema_10_50
42,sell,-0.004822740000000001,114.0,EURCHF,ema_10_50
43,sell,-0.004822740000000001,115.0,EURCHF,ema_10_50
44,sell,-0.004822740000000001,116.0,EURCHF,ema_10_50
45,sell,-0.004822740000000001,121.0,EURCHF,ema_10_50
46,buy,0.004572672,142.0,EURCHF,ema_10_50
47,buy,0.004572672,143.0,EURCHF,ema_10_50
48,buy,0.004572672,146.0,EURCHF,ema_10_50
49,buy,0.004572672,149.0,EURCHF,ema_10_50
50,buy,0.004572672,150.0,EURCHF,ema_10_50
51,buy,0.004572672,151.0,EURCHF,ema_10_50
52,buy,0.004572672,152.0,EURCHF,ema_10_50
53,buy,0.004572672,153.0,EURCHF,ema_10_50
54,buy,-0.004822740000000001,154.0,EURCHF,ema_10_50
55,buy,-0.004822740000000001,155.0,EURCHF,ema_10_50
56,buy,-0.004822740000000001,156.0,EURCHF,ema_10_50
57,buy,-0.004822740000000001,157.0,EURCHF,ema_10_50
58,buy,-0.004822740000000001,158.0,EURCHF,ema_10_50
59,buy,-0.004822740000000001,159.0,EURCHF,ema_10_50
60,buy,-0.004822740000000001,163.0,EURCHF,ema_10_50
61,buy,-0.004822740000000001,164.0,EURCHF,ema_10_50
62,buy,-0.004822740000000001,165.0,EURCHF,ema_10_50
63,sell,-0.004822740000000001,178.0,EURCHF,ema_10_50
64,sell,-0.004822740000000001,179.0,EURCHF,ema_10_50
65,sell,-0.004822740000000001,180.0,EURCHF,ema_10_50
66,sell,-0.004822740000000001,181.0,EURCHF,ema_10_50
67,sell,-0.004822740000000001,182.0,EURCHF,ema_10_50
68,sell,-0.004822740000000001,183.0,EURCHF,ema_10_50
69,sell,-0.004822740000000001,184.0,EURCHF,ema_10_50
70,sell,-0.004822740000000001,185.0,EURCHF,ema_10_50
71,sell,-0.004822740000000001,186.0,EURCHF,ema_10_50
72,sell,-0.004822740000000001,187.0,EURCHF,ema_10_50
73,buy,0.004572672,207.0,EURCHF,ema_10_50
74,buy,0.004572672,208.0,EURCHF,ema_10_50
75,buy,0.004572672,209.0,EURCHF,ema_10_50
76,sell,-0.004822740000000001,211.0,EURCHF,ema_10_50
77,sell,-0.004822740000000001,212.0,EURCHF,ema_10_50
78,sell,-0.004822740000000001,213.0,EURCHF,ema_10_50
79,sell,-0.004822740000000001,214.0,EURCHF,ema_10_50
80,buy,0.004572672,218.0,EURCHF,ema_10_50
81,sell,-0.004822740000000001,220.0,EURCHF,ema_10_50
82,sell,-0.004822740000000001,221.0,EURCHF,ema_10_50
83,sell,-0.004822740000000001,222.0,EURCHF,ema_10_50
84,sell,-0.004822740000000001,223.0,EURCHF,ema_10_50
85,buy,0.004572672,227.0,EURCHF,ema_10_50
86,buy,0.004572672,228.0,EURCHF,ema_10_50
87,buy,0.004572672,229.0,EURCHF,ema_10_50
88,buy,0.004572672,230.0,EURCHF,ema_10_50
89,buy,0.004572672,231.0,EURCHF,ema_10_50
90,buy,0.004572672,232.0,EURCHF,ema_10_50
91,buy,0.004572672,233.0,EURCHF,ema_10_50
92,buy,0.004572672,234.0,EURCHF,ema_10_50
93,buy,0.004572672,235.0,EURCHF,ema_10_50
94,buy,0.004572672,239.0,EURCHF,ema_10_50
95,buy,0.004572672,241.0,EURCHF,ema_10_50
96,buy,0.004572672,242.0,EURCHF,ema_10_50
97,buy,0.004572672,243.0,EURCHF,ema_10_50
98,buy,0.004572672,244.0,EURCHF,ema_10_50
99,buy,0.004572672,246.0,EURCHF,ema_10_50
100,buy,0.004572672,247.0,EURCHF,ema_10_50
101,buy,0.004572672,248.0,EURCHF,ema_10_50
102,buy,0.004572672,249.0,EURCHF,ema_10_50
103,buy,0.004572672,250.0,EURCHF,ema_10_50
104,buy,0.004572672,259.0,EURCHF,ema_10_50
105,buy,0.004572672,267.0,EURCHF,ema_10_50
106,buy,0.004572672,268.0,EURCHF,ema_10_50
107,buy,0.004572672,269.0,EURCHF,ema_10_50
108,buy,0.004572672,270.0,EURCHF,ema_10_50
109,buy,0.004572672,271.0,EURCHF,ema_10_50
110,buy,0.004572672,272.0,EURCHF,ema_10_50
111,buy,0.004572672,273.0,EURCHF,ema_10_50
112,buy,0.004572672,275.0,EURCHF,ema_10_50
113,buy,0.004572672,289.0,EURCHF,ema_10_50
114,buy,0.004572672,290.0,EURCHF,ema_10_50
115,buy,-0.004822740000000001,291.0,EURCHF,ema_10_50
116,buy,-0.004822740000000001,292.0,EURCHF,ema_10_50
117,buy,-0.004822740000000001,293.0,EURCHF,ema_10_50
118,buy,-0.004822740000000001,294.0,EURCHF,ema_10_50
119,buy,0.004572672,295.0,EURCHF,ema_10_50
120,buy,-0.004822740000000001,296.0,EURCHF,ema_10_50
121,buy,-0.004822740000000001,297.0,EURCHF,ema_10_50
122,buy,-0.004822740000000001,300.0,EURCHF,ema_10_50
123,buy,-0.004822740000000001,301.0,EURCHF,ema_10_50
124,buy,-0.004822740000000001,302.0,EURCHF,ema_10_50
125,buy,0.004572672,326.0,EURCHF,ema_10_50
126,buy,0.004572672,327.0,EURCHF,ema_10_50
127,buy,0.004572672,328.0,EURCHF,ema_10_50
128,sell,-0.004822740000000001,332.0,EURCHF,ema_10_50
129,sell,-0.004822740000000001,333.0,EURCHF,ema_10_50
130,sell,-0.004822740000000001,334.0,EURCHF,ema_10_50
131,buy,0.004572672,340.0,EURCHF,ema_10_50
132,buy,0.004572672,341.0,EURCHF,ema_10_50
133,buy,0.004572672,342.0,EURCHF,ema_10_50
134,buy,0.004572672,343.0,EURCHF,ema_10_50
135,buy,0.004572672,344.0,EURCHF,ema_10_50
136,buy,0.004572672,345.0,EURCHF,ema_10_50
137,buy,0.004572672,346.0,EURCHF,ema_10_50
