,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,0.0,EURCHF,ema_alligator
1,buy,-0.004822740000000001,1.0,EURCHF,ema_alligator
2,buy,-0.004822740000000001,2.0,EURCHF,ema_alligator
3,sell,0.004572672,3.0,EURCHF,ema_alligator
4,sell,0.004572672,4.0,EURCHF,ema_alligator
5,sell,0.004572672,5.0,EURCHF,ema_alligator
6,sell,0.004572672,6.0,EURCHF,ema_alligator
7,sell,0.004572672,7.0,EURCHF,ema_alligator
8,sell,0.004572672,8.0,EURCHF,ema_alligator
9,sell,-0.004822740000000001,9.0,EURCHF,ema_alligator
10,sell,-0.004822740000000001,10.0,EURCHF,ema_alligator
11,sell,-0.004822740000000001,11.0,EURCHF,ema_alligator
12,sell,-0.004822740000000001,12.0,EURCHF,ema_alligator
13,sell,-0.004822740000000001,13.0,EURCHF,ema_alligator
14,sell,-0.004822740000000001,14.0,EURCHF,ema_alligator
15,sell,-0.004822740000000001,15.0,EURCHF,ema_alligator
16,sell,0.004572672,16.0,EURCHF,ema_alligator
17,sell,0.004572672,17.0,EURCHF,ema_alligator
18,sell,0.004572672,18.0,EURCHF,ema_alligator
19,sell,0.004572672,19.0,EURCHF,ema_alligator
20,sell,0.004572672,20.0,EURCHF,ema_alligator
21,sell,0.004572672,21.0,EURCHF,ema_alligator
22,sell,0.004572672,22.0,EURCHF,ema_alligator
23,buy,-0.004822740000000001,25.0,EURCHF,ema_alligator
24,buy,-0.004822740000000001,26.0,EURCHF,ema_alligator
25,buy,-0.004822740000000001,27.0,EURCHF,ema_alligator
26,buy,-0.004822740000000001,28.0,EURCHF,ema_alligator
27,buy,-0.004822740000000001,29.0,EURCHF,ema_alligator
28,buy,-0.004822740000000001,30.0,EURCHF,ema_alligator
29,buy,-0.004822740000000001,31.0,EURCHF,ema_alligator
30,buy,-0.004822740000000001,32.0,EURCHF,ema_alligator
31,sell,0.004572672,34.0,EURCHF,ema_alligator
32,sell,0.004572672,35.0,EURCHF,ema_alligator
33,sell,0.004572672,36.0,EURCHF,ema_alligator
34,sell,0.004572672,37.0,EURCHF,ema_alligator
