,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,3.0,EURCHF,ema_alligator_hist
1,buy,-0.004822740000000001,4.0,EURCHF,ema_alligator_hist
2,sell,0.004572672,5.0,EURCHF,ema_alligator_hist
3,sell,0.004572672,6.0,EURCHF,ema_alligator_hist
4,sell,0.004572672,7.0,EURCHF,ema_alligator_hist
5,sell,0.004572672,8.0,EURCHF,ema_alligator_hist
6,sell,-0.004822740000000001,9.0,EURCHF,ema_alligator_hist
7,sell,-0.004822740000000001,10.0,EURCHF,ema_alligator_hist
8,sell,-0.004822740000000001,11.0,EURCHF,ema_alligator_hist
9,sell,-0.004822740000000001,12.0,EURCHF,ema_alligator_hist
10,sell,-0.004822740000000001,13.0,EURCHF,ema_alligator_hist
11,sell,-0.004822740000000001,14.0,EURCHF,ema_alligator_hist
12,sell,-0.004822740000000001,15.0,EURCHF,ema_alligator_hist
13,sell,0.004572672,16.0,EURCHF,ema_alligator_hist
14,sell,0.004572672,17.0,EURCHF,ema_alligator_hist
15,sell,0.004572672,18.0,EURCHF,ema_alligator_hist
16,sell,0.004572672,19.0,EURCHF,ema_alligator_hist
17,sell,0.004572672,20.0,EURCHF,ema_alligator_hist
18,sell,0.004572672,21.0,EURCHF,ema_alligator_hist
19,sell,0.004572672,22.0,EURCHF,ema_alligator_hist
20,sell,0.004572672,23.0,EURCHF,ema_alligator_hist
21,sell,0.004572672,24.0,EURCHF,ema_alligator_hist
22,buy,-0.004822740000000001,25.0,EURCHF,ema_alligator_hist
23,buy,-0.004822740000000001,26.0,EURCHF,ema_alligator_hist
24,buy,-0.004822740000000001,27.0,EURCHF,ema_alligator_hist
25,buy,-0.004822740000000001,28.0,EURCHF,ema_alligator_hist
26,buy,-0.004822740000000001,29.0,EURCHF,ema_alligator_hist
27,buy,-0.004822740000000001,30.0,EURCHF,ema_alligator_hist
28,buy,-0.004822740000000001,31.0,EURCHF,ema_alligator_hist
29,buy,-0.004822740000000001,32.0,EURCHF,ema_alligator_hist
30,buy,-0.004822740000000001,33.0,EURCHF,ema_alligator_hist
31,buy,-0.004822740000000001,34.0,EURCHF,ema_alligator_hist
32,sell,0.004572672,35.0,EURCHF,ema_alligator_hist
33,sell,0.004572672,36.0,EURCHF,ema_alligator_hist
34,sell,0.004572672,37.0,EURCHF,ema_alligator_hist
35,buy,-0.004822740000000001,38.0,EURCHF,ema_alligator_hist
36,buy,-0.004822740000000001,39.0,EURCHF,ema_alligator_hist
37,buy,-0.004822740000000001,40.0,EURCHF,ema_alligator_hist
38,buy,-0.004822740000000001,41.0,EURCHF,ema_alligator_hist
39,buy,-0.004822740000000001,42.0,EURCHF,ema_alligator_hist
40,buy,-0.004822740000000001,43.0,EURCHF,ema_alligator_hist
41,buy,-0.004822740000000001,44.0,EURCHF,ema_alligator_hist
42,buy,-0.004822740000000001,45.0,EURCHF,ema_alligator_hist
43,buy,-0.004822740000000001,46.0,EURCHF,ema_alligator_hist
44,buy,-0.004822740000000001,47.0,EURCHF,ema_alligator_hist
45,buy,-0.004822740000000001,48.0,EURCHF,ema_alligator_hist
46,buy,-0.004822740000000001,49.0,EURCHF,ema_alligator_hist
47,buy,-0.004822740000000001,50.0,EURCHF,ema_alligator_hist
48,buy,-0.004822740000000001,51.0,EURCHF,ema_alligator_hist
49,buy,-0.004822740000000001,52.0,EURCHF,ema_alligator_hist
50,buy,-0.004822740000000001,53.0,EURCHF,ema_alligator_hist
51,buy,-0.004822740000000001,54.0,EURCHF,ema_alligator_hist
52,buy,-0.004822740000000001,55.0,EURCHF,ema_alligator_hist
53,buy,-0.004822740000000001,56.0,EURCHF,ema_alligator_hist
54,buy,-0.004822740000000001,57.0,EURCHF,ema_alligator_hist
55,buy,-0.004822740000000001,58.0,EURCHF,ema_alligator_hist
56,buy,-0.004822740000000001,59.0,EURCHF,ema_alligator_hist
57,buy,-0.004822740000000001,60.0,EURCHF,ema_alligator_hist
58,buy,-0.004822740000000001,61.0,EURCHF,ema_alligator_hist
59,buy,-0.004822740000000001,62.0,EURCHF,ema_alligator_hist
60,buy,-0.004822740000000001,63.0,EURCHF,ema_alligator_hist
61,buy,-0.004822740000000001,64.0,EURCHF,ema_alligator_hist
62,buy,-0.004822740000000001,65.0,EURCHF,ema_alligator_hist
63,buy,-0.004822740000000001,66.0,EURCHF,ema_alligator_hist
64,sell,0.004572672,67.0,EURCHF,ema_alligator_hist
65,sell,0.004572672,68.0,EURCHF,ema_alligator_hist
66,sell,0.004572672,69.0,EURCHF,ema_alligator_hist
67,sell,0.004572672,70.0,EURCHF,ema_alligator_hist
68,sell,0.004572672,71.0,EURCHF,ema_alligator_hist
69,sell,0.004572672,72.0,EURCHF,ema_alligator_hist
70,sell,0.004572672,73.0,EURCHF,ema_alligator_hist
71,sell,0.004572672,74.0,EURCHF,ema_alligator_hist
72,sell,0.004572672,75.0,EURCHF,ema_alligator_hist
73,sell,0.004572672,76.0,EURCHF,ema_alligator_hist
74,sell,0.004572672,77.0,EURCHF,ema_alligator_hist
75,sell,0.004572672,78.0,EURCHF,ema_alligator_hist
76,sell,-0.004822740000000001,79.0,EURCHF,ema_alligator_hist
77,sell,-0.004822740000000001,80.0,EURCHF,ema_alligator_hist
78,sell,-0.004822740000000001,81.0,EURCHF,ema_alligator_hist
79,sell,0.004572672,82.0,EURCHF,ema_alligator_hist
80,sell,0.004572672,83.0,EURCHF,ema_alligator_hist
81,sell,0.004572672,84.0,EURCHF,ema_alligator_hist
82,sell,0.004572672,85.0,EURCHF,ema_alligator_hist
83,sell,0.004572672,86.0,EURCHF,ema_alligator_hist
84,sell,0.004572672,87.0,EURCHF,ema_alligator_hist
85,sell,0.004572672,88.0,EURCHF,ema_alligator_hist
86,sell,0.004572672,89.0,EURCHF,ema_alligator_hist
87,sell,0.004572672,90.0,EURCHF,ema_alligator_hist
88,sell,0.004572672,91.0,EURCHF,ema_alligator_hist
89,sell,0.004572672,92.0,EURCHF,ema_alligator_hist
90,sell,0.004572672,93.0,EURCHF,ema_alligator_hist
91,sell,0.004572672,94.0,EURCHF,ema_alligator_hist
92,sell,0.004572672,95.0,EURCHF,ema_alligator_hist
93,sell,0.004572672,96.0,EURCHF,ema_alligator_hist
94,sell,0.004572672,97.0,EURCHF,ema_alligator_hist
95,sell,0.004572672,98.0,EURCHF,ema_alligator_hist
96,buy,-0.004822740000000001,102.0,EURCHF,ema_alligator_hist
97,buy,-0.004822740000000001,103.0,EURCHF,ema_alligator_hist
98,buy,-0.004822740000000001,104.0,EURCHF,ema_alligator_hist
99,buy,-0.004822740000000001,105.0,EURCHF,ema_alligator_hist
100,buy,-0.004822740000000001,106.0,EURCHF,ema_alligator_hist
101,sell,-0.004822740000000001,107.0,EURCHF,ema_alligator_hist
102,sell,-0.004822740000000001,108.0,EURCHF,ema_alligator_hist
103,sell,-0.004822740000000001,109.0,EURCHF,ema_alligator_hist
104,sell,-0.004822740000000001,110.0,EURCHF,ema_alligator_hist
105,sell,-0.004822740000000001,111.0,EURCHF,ema_alligator_hist
106,sell,-0.004822740000000001,112.0,EURCHF,ema_alligator_hist
107,sell,-0.004822740000000001,113.0,EURCHF,ema_alligator_hist
108,sell,-0.004822740000000001,114.0,EURCHF,ema_alligator_hist
109,sell,-0.004822740000000001,115.0,EURCHF,ema_alligator_hist
110,sell,-0.004822740000000001,116.0,EURCHF,ema_alligator_hist
111,sell,-0.004822740000000001,117.0,EURCHF,ema_alligator_hist
112,sell,-0.004822740000000001,118.0,EURCHF,ema_alligator_hist
113,sell,-0.004822740000000001,119.0,EURCHF,ema_alligator_hist
114,sell,-0.004822740000000001,120.0,EURCHF,ema_alligator_hist
115,sell,-0.004822740000000001,121.0,EURCHF,ema_alligator_hist
116,sell,-0.004822740000000001,122.0,EURCHF,ema_alligator_hist
117,sell,-0.004822740000000001,123.0,EURCHF,ema_alligator_hist
118,sell,-0.004822740000000001,124.0,EURCHF,ema_alligator_hist
119,sell,-0.004822740000000001,125.0,EURCHF,ema_alligator_hist
120,sell,-0.004822740000000001,126.0,EURCHF,ema_alligator_hist
121,sell,-0.004822740000000001,127.0,EURCHF,ema_alligator_hist
122,buy,0.004572672,130.0,EURCHF,ema_alligator_hist
123,buy,0.004572672,131.0,EURCHF,ema_alligator_hist
124,buy,0.004572672,132.0,EURCHF,ema_alligator_hist
125,buy,0.004572672,133.0,EURCHF,ema_alligator_hist
126,buy,0.004572672,134.0,EURCHF,ema_alligator_hist
127,buy,0.004572672,135.0,EURCHF,ema_alligator_hist
128,buy,0.004572672,136.0,EURCHF,ema_alligator_hist
129,buy,0.004572672,137.0,EURCHF,ema_alligator_hist
130,buy,0.004572672,138.0,EURCHF,ema_alligator_hist
131,buy,0.004572672,139.0,EURCHF,ema_alligator_hist
132,buy,0.004572672,140.0,EURCHF,ema_alligator_hist
133,buy,0.004572672,141.0,EURCHF,ema_alligator_hist
134,buy,0.004572672,142.0,EURCHF,ema_alligator_hist
135,buy,0.004572672,143.0,EURCHF,ema_alligator_hist
136,buy,0.004572672,144.0,EURCHF,ema_alligator_hist
137,buy,0.004572672,145.0,EURCHF,ema_alligator_hist
138,buy,0.004572672,146.0,EURCHF,ema_alligator_hist
139,buy,0.004572672,147.0,EURCHF,ema_alligator_hist
140,buy,0.004572672,148.0,EURCHF,ema_alligator_hist
141,buy,0.004572672,149.0,EURCHF,ema_alligator_hist
142,buy,0.004572672,150.0,EURCHF,ema_alligator_hist
143,buy,0.004572672,151.0,EURCHF,ema_alligator_hist
144,buy,0.004572672,152.0,EURCHF,ema_alligator_hist
145,buy,0.004572672,153.0,EURCHF,ema_alligator_hist
146,buy,-0.004822740000000001,154.0,EURCHF,ema_alligator_hist
147,buy,-0.004822740000000001,155.0,EURCHF,ema_alligator_hist
148,buy,-0.004822740000000001,156.0,EURCHF,ema_alligator_hist
149,buy,-0.004822740000000001,157.0,EURCHF,ema_alligator_hist
150,buy,-0.004822740000000001,158.0,EURCHF,ema_alligator_hist
151,buy,-0.004822740000000001,159.0,EURCHF,ema_alligator_hist
152,buy,-0.004822740000000001,160.0,EURCHF,ema_alligator_hist
153,buy,-0.004822740000000001,161.0,EURCHF,ema_alligator_hist
154,buy,-0.004822740000000001,162.0,EURCHF,ema_alligator_hist
155,buy,-0.004822740000000001,163.0,EURCHF,ema_alligator_hist
156,buy,-0.004822740000000001,164.0,EURCHF,ema_alligator_hist
157,buy,-0.004822740000000001,165.0,EURCHF,ema_alligator_hist
158,buy,-0.004822740000000001,166.0,EURCHF,ema_alligator_hist
159,buy,-0.004822740000000001,167.0,EURCHF,ema_alligator_hist
160,buy,-0.004822740000000001,168.0,EURCHF,ema_alligator_hist
161,buy,-0.004822740000000001,169.0,EURCHF,ema_alligator_hist
162,buy,0.004572672,170.0,EURCHF,ema_alligator_hist
163,sell,-0.004822740000000001,172.0,EURCHF,ema_alligator_hist
164,sell,-0.004822740000000001,173.0,EURCHF,ema_alligator_hist
165,sell,-0.004822740000000001,174.0,EURCHF,ema_alligator_hist
166,sell,-0.004822740000000001,175.0,EURCHF,ema_alligator_hist
167,sell,-0.004822740000000001,176.0,EURCHF,ema_alligator_hist
168,sell,-0.004822740000000001,177.0,EURCHF,ema_alligator_hist
169,sell,-0.004822740000000001,178.0,EURCHF,ema_alligator_hist
170,sell,-0.004822740000000001,179.0,EURCHF,ema_alligator_hist
171,sell,-0.004822740000000001,180.0,EURCHF,ema_alligator_hist
172,sell,-0.004822740000000001,181.0,EURCHF,ema_alligator_hist
173,sell,-0.004822740000000001,182.0,EURCHF,ema_alligator_hist
174,sell,-0.004822740000000001,183.0,EURCHF,ema_alligator_hist
175,sell,-0.004822740000000001,184.0,EURCHF,ema_alligator_hist
176,sell,-0.004822740000000001,185.0,EURCHF,ema_alligator_hist
177,sell,-0.004822740000000001,186.0,EURCHF,ema_alligator_hist
178,sell,-0.004822740000000001,187.0,EURCHF,ema_alligator_hist
179,sell,-0.004822740000000001,188.0,EURCHF,ema_alligator_hist
180,sell,-0.004822740000000001,189.0,EURCHF,ema_alligator_hist
181,sell,-0.004822740000000001,190.0,EURCHF,ema_alligator_hist
182,sell,-0.004822740000000001,191.0,EURCHF,ema_alligator_hist
183,sell,-0.004822740000000001,192.0,EURCHF,ema_alligator_hist
184,sell,-0.004822740000000001,193.0,EURCHF,ema_alligator_hist
185,buy,0.004572672,194.0,EURCHF,ema_alligator_hist
186,buy,0.004572672,195.0,EURCHF,ema_alligator_hist
187,buy,0.004572672,196.0,EURCHF,ema_alligator_hist
188,buy,0.004572672,197.0,EURCHF,ema_alligator_hist
189,buy,0.004572672,198.0,EURCHF,ema_alligator_hist
190,buy,0.004572672,199.0,EURCHF,ema_alligator_hist
191,buy,0.004572672,200.0,EURCHF,ema_alligator_hist
192,buy,0.004572672,201.0,EURCHF,ema_alligator_hist
193,buy,0.004572672,202.0,EURCHF,ema_alligator_hist
194,buy,0.004572672,203.0,EURCHF,ema_alligator_hist
195,buy,0.004572672,204.0,EURCHF,ema_alligator_hist
196,buy,0.004572672,205.0,EURCHF,ema_alligator_hist
197,buy,0.004572672,206.0,EURCHF,ema_alligator_hist
198,buy,0.004572672,207.0,EURCHF,ema_alligator_hist
199,buy,0.004572672,208.0,EURCHF,ema_alligator_hist
200,buy,0.004572672,209.0,EURCHF,ema_alligator_hist
201,buy,0.004572672,210.0,EURCHF,ema_alligator_hist
202,buy,0.004572672,211.0,EURCHF,ema_alligator_hist
203,sell,-0.004822740000000001,212.0,EURCHF,ema_alligator_hist
204,sell,-0.004822740000000001,213.0,EURCHF,ema_alligator_hist
205,sell,-0.004822740000000001,214.0,EURCHF,ema_alligator_hist
206,sell,-0.004822740000000001,215.0,EURCHF,ema_alligator_hist
207,sell,-0.004822740000000001,216.0,EURCHF,ema_alligator_hist
208,sell,-0.004822740000000001,217.0,EURCHF,ema_alligator_hist
209,buy,0.004572672,218.0,EURCHF,ema_alligator_hist
210,buy,0.004572672,219.0,EURCHF,ema_alligator_hist
211,buy,0.004572672,220.0,EURCHF,ema_alligator_hist
212,buy,0.004572672,221.0,EURCHF,ema_alligator_hist
213,sell,-0.004822740000000001,222.0,EURCHF,ema_alligator_hist
214,sell,-0.004822740000000001,223.0,EURCHF,ema_alligator_hist
215,sell,-0.004822740000000001,224.0,EURCHF,ema_alligator_hist
216,sell,-0.004822740000000001,225.0,EURCHF,ema_alligator_hist
217,buy,0.004572672,226.0,EURCHF,ema_alligator_hist
218,buy,0.004572672,227.0,EURCHF,ema_alligator_hist
219,buy,0.004572672,228.0,EURCHF,ema_alligator_hist
220,buy,0.004572672,229.0,EURCHF,ema_alligator_hist
221,buy,0.004572672,230.0,EURCHF,ema_alligator_hist
222,buy,0.004572672,231.0,EURCHF,ema_alligator_hist
223,buy,0.004572672,232.0,EURCHF,ema_alligator_hist
224,buy,0.004572672,233.0,EURCHF,ema_alligator_hist
225,buy,0.004572672,234.0,EURCHF,ema_alligator_hist
226,buy,0.004572672,235.0,EURCHF,ema_alligator_hist
227,buy,0.004572672,236.0,EURCHF,ema_alligator_hist
228,buy,0.004572672,237.0,EURCHF,ema_alligator_hist
229,buy,0.004572672,238.0,EURCHF,ema_alligator_hist
230,buy,0.004572672,239.0,EURCHF,ema_alligator_hist
231,buy,0.004572672,240.0,EURCHF,ema_alligator_hist
232,buy,0.004572672,241.0,EURCHF,ema_alligator_hist
233,buy,0.004572672,242.0,EURCHF,ema_alligator_hist
234,buy,0.004572672,243.0,EURCHF,ema_alligator_hist
235,buy,0.004572672,244.0,EURCHF,ema_alligator_hist
236,buy,0.004572672,245.0,EURCHF,ema_alligator_hist
237,buy,0.004572672,246.0,EURCHF,ema_alligator_hist
238,buy,0.004572672,247.0,EURCHF,ema_alligator_hist
239,buy,0.004572672,248.0,EURCHF,ema_alligator_hist
240,buy,0.004572672,249.0,EURCHF,ema_alligator_hist
241,buy,0.004572672,250.0,EURCHF,ema_alligator_hist
242,buy,0.004572672,251.0,EURCHF,ema_alligator_hist
243,buy,0.004572672,252.0,EURCHF,ema_alligator_hist
244,buy,0.004572672,253.0,EURCHF,ema_alligator_hist
245,buy,0.004572672,254.0,EURCHF,ema_alligator_hist
246,buy,0.004572672,255.0,EURCHF,ema_alligator_hist
247,buy,0.004572672,256.0,EURCHF,ema_alligator_hist
248,buy,0.004572672,257.0,EURCHF,ema_alligator_hist
249,buy,0.004572672,258.0,EURCHF,ema_alligator_hist
250,buy,0.004572672,259.0,EURCHF,ema_alligator_hist
251,buy,0.004572672,260.0,EURCHF,ema_alligator_hist
252,buy,0.004572672,261.0,EURCHF,ema_alligator_hist
253,buy,0.004572672,262.0,EURCHF,ema_alligator_hist
254,buy,0.004572672,263.0,EURCHF,ema_alligator_hist
255,buy,0.004572672,264.0,EURCHF,ema_alligator_hist
256,buy,0.004572672,265.0,EURCHF,ema_alligator_hist
257,buy,0.004572672,266.0,EURCHF,ema_alligator_hist
258,buy,0.004572672,267.0,EURCHF,ema_alligator_hist
259,buy,0.004572672,268.0,EURCHF,ema_alligator_hist
260,buy,0.004572672,269.0,EURCHF,ema_alligator_hist
261,buy,0.004572672,270.0,EURCHF,ema_alligator_hist
262,buy,0.004572672,271.0,EURCHF,ema_alligator_hist
263,buy,0.004572672,272.0,EURCHF,ema_alligator_hist
264,buy,0.004572672,273.0,EURCHF,ema_alligator_hist
265,buy,0.004572672,274.0,EURCHF,ema_alligator_hist
266,buy,0.004572672,275.0,EURCHF,ema_alligator_hist
267,buy,0.004572672,276.0,EURCHF,ema_alligator_hist
268,buy,0.004572672,277.0,EURCHF,ema_alligator_hist
269,buy,0.004572672,278.0,EURCHF,ema_alligator_hist
270,buy,0.004572672,279.0,EURCHF,ema_alligator_hist
271,buy,0.004572672,280.0,EURCHF,ema_alligator_hist
272,buy,0.004572672,281.0,EURCHF,ema_alligator_hist
273,buy,0.004572672,282.0,EURCHF,ema_alligator_hist
274,buy,0.004572672,283.0,EURCHF,ema_alligator_hist
275,buy,0.004572672,284.0,EURCHF,ema_alligator_hist
276,buy,0.004572672,285.0,EURCHF,ema_alligator_hist
277,sell,-0.004822740000000001,286.0,EURCHF,ema_alligator_hist
278,sell,-0.004822740000000001,287.0,EURCHF,ema_alligator_hist
279,sell,-0.004822740000000001,288.0,EURCHF,ema_alligator_hist
280,buy,0.004572672,289.0,EURCHF,ema_alligator_hist
281,buy,0.004572672,290.0,EURCHF,ema_alligator_hist
282,buy,-0.004822740000000001,291.0,EURCHF,ema_alligator_hist
283,buy,-0.004822740000000001,292.0,EURCHF,ema_alligator_hist
284,buy,-0.004822740000000001,293.0,EURCHF,ema_alligator_hist
285,buy,-0.004822740000000001,294.0,EURCHF,ema_alligator_hist
286,buy,0.004572672,295.0,EURCHF,ema_alligator_hist
287,buy,-0.004822740000000001,296.0,EURCHF,ema_alligator_hist
