,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,0.0,EURCHF,macd
1,buy,-0.004822740000000001,1.0,EURCHF,macd
2,buy,-0.004822740000000001,2.0,EURCHF,macd
3,buy,-0.004822740000000001,3.0,EURCHF,macd
4,sell,0.004572672,4.0,EURCHF,macd
5,sell,0.004572672,5.0,EURCHF,macd
6,sell,0.004572672,6.0,EURCHF,macd
7,sell,0.004572672,7.0,EURCHF,macd
8,sell,0.004572672,8.0,EURCHF,macd
9,sell,-0.004822740000000001,9.0,EURCHF,macd
10,sell,-0.004822740000000001,10.0,EURCHF,macd
11,sell,-0.004822740000000001,11.0,EURCHF,macd
12,sell,-0.004822740000000001,12.0,EURCHF,macd
13,sell,-0.004822740000000001,13.0,EURCHF,macd
14,sell,-0.004822740000000001,14.0,EURCHF,macd
15,sell,-0.004822740000000001,15.0,EURCHF,macd
16,sell,0.004572672,16.0,EURCHF,macd
17,sell,0.004572672,17.0,EURCHF,macd
18,buy,-0.004822740000000001,18.0,EURCHF,macd
19,buy,-0.004822740000000001,19.0,EURCHF,macd
20,buy,-0.004822740000000001,20.0,EURCHF,macd
21,buy,-0.004822740000000001,21.0,EURCHF,macd
22,buy,-0.004822740000000001,22.0,EURCHF,macd
23,buy,-0.004822740000000001,23.0,EURCHF,macd
24,buy,-0.004822740000000001,24.0,EURCHF,macd
25,buy,-0.004822740000000001,25.0,EURCHF,macd
26,buy,-0.004822740000000001,26.0,EURCHF,macd
27,buy,-0.004822740000000001,27.0,EURCHF,macd
28,buy,-0.004822740000000001,28.0,EURCHF,macd
29,buy,-0.004822740000000001,29.0,EURCHF,macd
30,buy,-0.004822740000000001,30.0,EURCHF,macd
31,buy,-0.004822740000000001,31.0,EURCHF,macd
32,buy,-0.004822740000000001,32.0,EURCHF,macd
33,buy,-0.004822740000000001,33.0,EURCHF,macd
34,buy,-0.004822740000000001,34.0,EURCHF,macd
35,buy,-0.004822740000000001,35.0,EURCHF,macd
36,buy,-0.004822740000000001,36.0,EURCHF,macd
37,buy,-0.004822740000000001,37.0,EURCHF,macd
38,buy,-0.004822740000000001,38.0,EURCHF,macd
39,buy,-0.004822740000000001,39.0,EURCHF,macd
40,buy,-0.004822740000000001,40.0,EURCHF,macd
41,buy,-0.004822740000000001,41.0,EURCHF,macd
42,buy,-0.004822740000000001,42.0,EURCHF,macd
43,buy,-0.004822740000000001,43.0,EURCHF,macd
44,buy,-0.004822740000000001,44.0,EURCHF,macd
45,buy,-0.004822740000000001,45.0,EURCHF,macd
46,buy,-0.004822740000000001,46.0,EURCHF,macd
47,buy,-0.004822740000000001,47.0,EURCHF,macd
48,buy,-0.004822740000000001,48.0,EURCHF,macd
49,buy,-0.004822740000000001,49.0,EURCHF,macd
50,buy,-0.004822740000000001,50.0,EURCHF,macd
51,buy,-0.004822740000000001,51.0,EURCHF,macd
52,buy,-0.004822740000000001,52.0,EURCHF,macd
53,buy,-0.004822740000000001,53.0,EURCHF,macd
54,buy,-0.004822740000000001,54.0,EURCHF,macd
55,buy,-0.004822740000000001,55.0,EURCHF,macd
56,buy,-0.004822740000000001,56.0,EURCHF,macd
57,buy,-0.004822740000000001,57.0,EURCHF,macd
58,buy,-0.004822740000000001,58.0,EURCHF,macd
59,buy,-0.004822740000000001,59.0,EURCHF,macd
60,buy,-0.004822740000000001,60.0,EURCHF,macd
61,buy,-0.004822740000000001,61.0,EURCHF,macd
62,buy,-0.004822740000000001,62.0,EURCHF,macd
63,buy,-0.004822740000000001,63.0,EURCHF,macd
64,buy,-0.004822740000000001,64.0,EURCHF,macd
65,sell,0.004572672,65.0,EURCHF,macd
66,sell,0.004572672,66.0,EURCHF,macd
67,sell,0.004572672,67.0,EURCHF,macd
68,sell,0.004572672,68.0,EURCHF,macd
69,sell,0.004572672,69.0,EURCHF,macd
70,sell,0.004572672,70.0,EURCHF,macd
71,sell,0.004572672,71.0,EURCHF,macd
72,sell,0.004572672,72.0,EURCHF,macd
73,sell,0.004572672,73.0,EURCHF,macd
74,sell,0.004572672,74.0,EURCHF,macd
