,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,87.0,EURCHF,macd_convergence
1,buy,-0.004822740000000001,88.0,EURCHF,macd_convergence
2,buy,-0.004822740000000001,89.0,EURCHF,macd_convergence
3,buy,-0.004822740000000001,90.0,EURCHF,macd_convergence
4,buy,-0.004822740000000001,91.0,EURCHF,macd_convergence
5,buy,-0.004822740000000001,92.0,EURCHF,macd_convergence
6,buy,-0.004822740000000001,93.0,EURCHF,macd_convergence
7,buy,-0.004822740000000001,94.0,EURCHF,macd_convergence
8,buy,0.004572672,116.0,EURCHF,macd_convergence
9,buy,0.004572672,117.0,EURCHF,macd_convergence
10,buy,0.004572672,118.0,EURCHF,macd_convergence
11,buy,0.004572672,119.0,EURCHF,macd_convergence
12,buy,0.004572672,120.0,EURCHF,macd_convergence
13,buy,0.004572672,121.0,EURCHF,macd_convergence
14,buy,0.004572672,266.0,EURCHF,macd_convergence
15,buy,0.004572672,267.0,EURCHF,macd_convergence
16,buy,0.004572672,268.0,EURCHF,macd_convergence
17,buy,0.004572672,269.0,EURCHF,macd_convergence
18,buy,0.004572672,270.0,EURCHF,macd_convergence
19,buy,0.004572672,271.0,EURCHF,macd_convergence
20,buy,0.004572672,286.0,EURCHF,macd_convergence
21,buy,0.004572672,287.0,EURCHF,macd_convergence
22,buy,0.004572672,288.0,EURCHF,macd_convergence
23,buy,0.004572672,289.0,EURCHF,macd_convergence
24,buy,0.004572672,290.0,EURCHF,macd_convergence
25,buy,-0.004822740000000001,291.0,EURCHF,macd_convergence
26,buy,0.004572672,324.0,EURCHF,macd_convergence
27,buy,0.004572672,325.0,EURCHF,macd_convergence
28,buy,0.004572672,326.0,EURCHF,macd_convergence
29,buy,0.004572672,327.0,EURCHF,macd_convergence
30,buy,0.004572672,328.0,EURCHF,macd_convergence
31,buy,0.004572672,329.0,EURCHF,macd_convergence
32,buy,0.004572672,330.0,EURCHF,macd_convergence
33,buy,0.004572672,331.0,EURCHF,macd_convergence
34,buy,0.004572672,354.0,EURCHF,macd_convergence
35,buy,0.004572672,355.0,EURCHF,macd_convergence
36,buy,0.004572672,356.0,EURCHF,macd_convergence
37,buy,0.004572672,357.0,EURCHF,macd_convergence
38,buy,0.004572672,358.0,EURCHF,macd_convergence
39,buy,0.004572672,359.0,EURCHF,macd_convergence
40,buy,0.004572672,360.0,EURCHF,macd_convergence
41,buy,0.004572672,361.0,EURCHF,macd_convergence
42,buy,-0.004822740000000001,362.0,EURCHF,macd_convergence
43,buy,0.004572672,363.0,EURCHF,macd_convergence
44,buy,0.004572672,364.0,EURCHF,macd_convergence
45,buy,0.004572672,365.0,EURCHF,macd_convergence
46,buy,0.004572672,366.0,EURCHF,macd_convergence
47,buy,-0.004822740000000001,367.0,EURCHF,macd_convergence
48,buy,-0.004822740000000001,368.0,EURCHF,macd_convergence
49,buy,-0.004822740000000001,369.0,EURCHF,macd_convergence
50,buy,0.004572672,370.0,EURCHF,macd_convergence
51,buy,-0.004822740000000001,371.0,EURCHF,macd_convergence
52,buy,-0.004822740000000001,372.0,EURCHF,macd_convergence
53,buy,-0.004822740000000001,373.0,EURCHF,macd_convergence
54,buy,0.004572672,379.0,EURCHF,macd_convergence
55,buy,0.004572672,397.0,EURCHF,macd_convergence
56,buy,-0.004822740000000001,398.0,EURCHF,macd_convergence
57,buy,-0.004822740000000001,399.0,EURCHF,macd_convergence
58,buy,-0.004822740000000001,400.0,EURCHF,macd_convergence
59,buy,0.004572672,401.0,EURCHF,macd_convergence
60,buy,0.004572672,402.0,EURCHF,macd_convergence
61,buy,0.004572672,403.0,EURCHF,macd_convergence
62,buy,0.004572672,404.0,EURCHF,macd_convergence
63,buy,0.004572672,482.0,EURCHF,macd_convergence
64,buy,-0.004822740000000001,525.0,EURCHF,macd_convergence
65,buy,-0.004822740000000001,526.0,EURCHF,macd_convergence
66,buy,-0.004822740000000001,527.0,EURCHF,macd_convergence
67,buy,-0.004822740000000001,528.0,EURCHF,macd_convergence
68,buy,-0.004822740000000001,529.0,EURCHF,macd_convergence
69,buy,-0.004822740000000001,530.0,EURCHF,macd_convergence
70,buy,-0.004822740000000001,531.0,EURCHF,macd_convergence
71,buy,-0.004822740000000001,549.0,EURCHF,macd_convergence
72,buy,-0.004822740000000001,550.0,EURCHF,macd_convergence
