,action,result,chart_index,symbol,indicator
0,sell,0.004572672,4.0,EURCHF,macd_crossing
1,sell,0.004572672,5.0,EURCHF,macd_crossing
2,sell,0.004572672,6.0,EURCHF,macd_crossing
3,buy,-0.004822740000000001,18.0,EURCHF,macd_crossing
4,buy,-0.004822740000000001,19.0,EURCHF,macd_crossing
5,buy,-0.004822740000000001,20.0,EURCHF,macd_crossing
6,sell,0.004572672,65.0,EURCHF,macd_crossing
7,sell,0.004572672,66.0,EURCHF,macd_crossing
8,sell,0.004572672,67.0,EURCHF,macd_crossing
9,buy,-0.004822740000000001,90.0,EURCHF,macd_crossing
10,buy,-0.004822740000000001,91.0,EURCHF,macd_crossing
11,buy,-0.004822740000000001,92.0,EURCHF,macd_crossing
12,sell,-0.004822740000000001,107.0,EURCHF,macd_crossing
13,sell,-0.004822740000000001,108.0,EURCHF,macd_crossing
14,sell,-0.004822740000000001,109.0,EURCHF,macd_crossing
15,buy,0.004572672,119.0,EURCHF,macd_crossing
16,buy,0.004572672,120.0,EURCHF,macd_crossing
17,sell,-0.004822740000000001,121.0,EURCHF,macd_crossing
18,buy,0.004572672,122.0,EURCHF,macd_crossing
19,buy,0.004572672,123.0,EURCHF,macd_crossing
20,buy,0.004572672,124.0,EURCHF,macd_crossing
21,sell,0.004572672,166.0,EURCHF,macd_crossing
22,sell,0.004572672,167.0,EURCHF,macd_crossing
23,sell,0.004572672,168.0,EURCHF,macd_crossing
24,buy,0.004572672,190.0,EURCHF,macd_crossing
25,buy,0.004572672,191.0,EURCHF,macd_crossing
26,buy,0.004572672,192.0,EURCHF,macd_crossing
27,sell,-0.004822740000000001,212.0,EURCHF,macd_crossing
28,sell,-0.004822740000000001,213.0,EURCHF,macd_crossing
29,sell,-0.004822740000000001,214.0,EURCHF,macd_crossing
30,buy,0.004572672,218.0,EURCHF,macd_crossing
31,buy,0.004572672,219.0,EURCHF,macd_crossing
32,sell,-0.004822740000000001,220.0,EURCHF,macd_crossing
33,sell,-0.004822740000000001,221.0,EURCHF,macd_crossing
34,sell,-0.004822740000000001,222.0,EURCHF,macd_crossing
35,buy,0.004572672,226.0,EURCHF,macd_crossing
36,buy,0.004572672,227.0,EURCHF,macd_crossing
37,buy,0.004572672,228.0,EURCHF,macd_crossing
38,sell,-0.004822740000000001,255.0,EURCHF,macd_crossing
39,sell,-0.004822740000000001,256.0,EURCHF,macd_crossing
40,sell,-0.004822740000000001,257.0,EURCHF,macd_crossing
41,buy,0.004572672,268.0,EURCHF,macd_crossing
42,buy,0.004572672,269.0,EURCHF,macd_crossing
43,buy,0.004572672,270.0,EURCHF,macd_crossing
44,sell,-0.004822740000000001,279.0,EURCHF,macd_crossing
45,sell,-0.004822740000000001,280.0,EURCHF,macd_crossing
46,sell,-0.004822740000000001,281.0,EURCHF,macd_crossing
47,buy,-0.004822740000000001,291.0,EURCHF,macd_crossing
48,buy,-0.004822740000000001,292.0,EURCHF,macd_crossing
49,buy,-0.004822740000000001,293.0,EURCHF,macd_crossing
50,sell,0.004572672,304.0,EURCHF,macd_crossing
51,sell,0.004572672,305.0,EURCHF,macd_crossing
52,sell,0.004572672,306.0,EURCHF,macd_crossing
53,buy,0.004572672,330.0,EURCHF,macd_crossing
54,buy,0.004572672,331.0,EURCHF,macd_crossing
55,sell,-0.004822740000000001,332.0,EURCHF,macd_crossing
56,sell,-0.004822740000000001,333.0,EURCHF,macd_crossing
57,sell,-0.004822740000000001,334.0,EURCHF,macd_crossing
58,buy,0.004572672,337.0,EURCHF,macd_crossing
59,buy,0.004572672,338.0,EURCHF,macd_crossing
60,buy,0.004572672,339.0,EURCHF,macd_crossing
61,sell,-0.004822740000000001,354.0,EURCHF,macd_crossing
62,sell,-0.004822740000000001,355.0,EURCHF,macd_crossing
63,sell,-0.004822740000000001,356.0,EURCHF,macd_crossing
64,buy,-0.004822740000000001,362.0,EURCHF,macd_crossing
65,buy,0.004572672,363.0,EURCHF,macd_crossing
66,buy,0.004572672,364.0,EURCHF,macd_crossing
67,sell,-0.004822740000000001,366.0,EURCHF,macd_crossing
68,buy,-0.004822740000000001,367.0,EURCHF,macd_crossing
69,buy,-0.004822740000000001,368.0,EURCHF,macd_crossing
70,buy,-0.004822740000000001,369.0,EURCHF,macd_crossing
71,sell,0.004572672,377.0,EURCHF,macd_crossing
72,sell,-0.004822740000000001,378.0,EURCHF,macd_crossing
73,sell,-0.004822740000000001,379.0,EURCHF,macd_crossing
74,buy,-0.004822740000000001,390.0,EURCHF,macd_crossing
75,buy,-0.004822740000000001,391.0,EURCHF,macd_crossing
76,sell,0.004572672,392.0,EURCHF,macd_crossing
77,sell,-0.004822740000000001,393.0,EURCHF,macd_crossing
78,sell,-0.004822740000000001,394.0,EURCHF,macd_crossing
79,buy,-0.004822740000000001,407.0,EURCHF,macd_crossing
80,sell,-0.004822740000000001,408.0,EURCHF,macd_crossing
81,sell,-0.004822740000000001,409.0,EURCHF,macd_crossing
82,sell,-0.004822740000000001,410.0,EURCHF,macd_crossing
83,buy,0.004572672,419.0,EURCHF,macd_crossing
84,buy,0.004572672,420.0,EURCHF,macd_crossing
85,buy,0.004572672,421.0,EURCHF,macd_crossing
86,sell,-0.004822740000000001,434.0,EURCHF,macd_crossing
87,sell,-0.004822740000000001,435.0,EURCHF,macd_crossing
88,sell,-0.004822740000000001,436.0,EURCHF,macd_crossing
89,buy,0.004572672,442.0,EURCHF,macd_crossing
90,buy,0.004572672,443.0,EURCHF,macd_crossing
91,buy,0.004572672,444.0,EURCHF,macd_crossing
92,sell,-0.004822740000000001,459.0,EURCHF,macd_crossing
93,sell,-0.004822740000000001,460.0,EURCHF,macd_crossing
94,sell,-0.004822740000000001,461.0,EURCHF,macd_crossing
95,buy,-0.004822740000000001,462.0,EURCHF,macd_crossing
96,buy,-0.004822740000000001,463.0,EURCHF,macd_crossing
97,buy,0.004572672,464.0,EURCHF,macd_crossing
98,sell,-0.004822740000000001,470.0,EURCHF,macd_crossing
99,sell,-0.004822740000000001,471.0,EURCHF,macd_crossing
100,sell,-0.004822740000000001,472.0,EURCHF,macd_crossing
101,buy,-0.004822740000000001,475.0,EURCHF,macd_crossing
102,buy,-0.004822740000000001,476.0,EURCHF,macd_crossing
103,buy,-0.004822740000000001,477.0,EURCHF,macd_crossing
104,sell,-0.004822740000000001,481.0,EURCHF,macd_crossing
105,sell,-0.004822740000000001,482.0,EURCHF,macd_crossing
106,sell,-0.004822740000000001,483.0,EURCHF,macd_crossing
107,buy,-0.004822740000000001,491.0,EURCHF,macd_crossing
108,buy,-0.004822740000000001,492.0,EURCHF,macd_crossing
109,buy,-0.004822740000000001,493.0,EURCHF,macd_crossing
110,sell,0.004572672,504.0,EURCHF,macd_crossing
111,sell,0.004572672,505.0,EURCHF,macd_crossing
112,sell,0.004572672,506.0,EURCHF,macd_crossing
113,buy,-0.004822740000000001,507.0,EURCHF,macd_crossing
114,buy,-0.004822740000000001,508.0,EURCHF,macd_crossing
115,buy,-0.004822740000000001,509.0,EURCHF,macd_crossing
116,sell,0.004572672,513.0,EURCHF,macd_crossing
117,sell,0.004572672,514.0,EURCHF,macd_crossing
118,sell,0.004572672,515.0,EURCHF,macd_crossing
119,buy,-0.004822740000000001,525.0,EURCHF,macd_crossing
120,buy,-0.004822740000000001,526.0,EURCHF,macd_crossing
121,sell,0.004572672,527.0,EURCHF,macd_crossing
122,sell,0.004572672,528.0,EURCHF,macd_crossing
123,sell,0.004572672,529.0,EURCHF,macd_crossing
124,buy,-0.004822740000000001,530.0,EURCHF,macd_crossing
125,buy,-0.004822740000000001,531.0,EURCHF,macd_crossing
126,buy,-0.004822740000000001,532.0,EURCHF,macd_crossing
127,sell,0.004572672,544.0,EURCHF,macd_crossing
128,sell,0.004572672,545.0,EURCHF,macd_crossing
129,sell,0.004572672,546.0,EURCHF,macd_crossing
130,buy,0.004572672,573.0,EURCHF,macd_crossing
131,buy,0.004572672,574.0,EURCHF,macd_crossing
132,buy,0.004572672,575.0,EURCHF,macd_crossing
133,sell,0.004572672,596.0,EURCHF,macd_crossing
134,sell,0.004572672,597.0,EURCHF,macd_crossing
135,sell,0.004572672,598.0,EURCHF,macd_crossing
136,buy,-0.004822740000000001,606.0,EURCHF,macd_crossing
137,buy,-0.004822740000000001,607.0,EURCHF,macd_crossing
138,buy,-0.004822740000000001,608.0,EURCHF,macd_crossing
139,sell,0.004572672,619.0,EURCHF,macd_crossing
140,sell,0.004572672,620.0,EURCHF,macd_crossing
141,sell,0.004572672,621.0,EURCHF,macd_crossing
142,buy,-0.004822740000000001,625.0,EURCHF,macd_crossing
143,buy,-0.004822740000000001,626.0,EURCHF,macd_crossing
144,buy,-0.004822740000000001,627.0,EURCHF,macd_crossing
145,sell,0.004572672,639.0,EURCHF,macd_crossing
146,sell,0.004572672,640.0,EURCHF,macd_crossing
147,sell,0.004572672,641.0,EURCHF,macd_crossing
148,buy,-0.004822740000000001,668.0,EURCHF,macd_crossing
149,buy,-0.004822740000000001,669.0,EURCHF,macd_crossing
150,buy,-0.004822740000000001,670.0,EURCHF,macd_crossing
151,sell,0.004572672,676.0,EURCHF,macd_crossing
152,sell,0.004572672,677.0,EURCHF,macd_crossing
153,sell,0.004572672,678.0,EURCHF,macd_crossing
154,buy,-0.004822740000000001,683.0,EURCHF,macd_crossing
155,buy,-0.004822740000000001,684.0,EURCHF,macd_crossing
156,buy,-0.004822740000000001,685.0,EURCHF,macd_crossing
157,sell,0.004572672,712.0,EURCHF,macd_crossing
158,sell,0.004572672,713.0,EURCHF,macd_crossing
159,sell,0.004572672,714.0,EURCHF,macd_crossing
160,buy,-0.004822740000000001,717.0,EURCHF,macd_crossing
161,buy,-0.004822740000000001,718.0,EURCHF,macd_crossing
162,buy,-0.004822740000000001,719.0,EURCHF,macd_crossing
163,sell,0.004572672,721.0,EURCHF,macd_crossing
164,sell,0.004572672,722.0,EURCHF,macd_crossing
165,buy,-0.004822740000000001,723.0,EURCHF,macd_crossing
166,buy,-0.004822740000000001,724.0,EURCHF,macd_crossing
167,buy,-0.004822740000000001,725.0,EURCHF,macd_crossing
168,sell,0.004572672,739.0,EURCHF,macd_crossing
169,sell,0.004572672,740.0,EURCHF,macd_crossing
170,sell,0.004572672,741.0,EURCHF,macd_crossing
171,buy,-0.004822740000000001,752.0,EURCHF,macd_crossing
172,buy,-0.004822740000000001,753.0,EURCHF,macd_crossing
173,buy,-0.004822740000000001,754.0,EURCHF,macd_crossing
174,sell,0.004572672,762.0,EURCHF,macd_crossing
175,sell,0.004572672,763.0,EURCHF,macd_crossing
176,sell,0.004572672,764.0,EURCHF,macd_crossing
177,buy,-0.004822740000000001,766.0,EURCHF,macd_crossing
178,buy,-0.004822740000000001,767.0,EURCHF,macd_crossing
179,buy,-0.004822740000000001,768.0,EURCHF,macd_crossing
180,sell,0.004572672,782.0,EURCHF,macd_crossing
181,sell,0.004572672,783.0,EURCHF,macd_crossing
182,sell,0.004572672,784.0,EURCHF,macd_crossing
183,buy,-0.004822740000000001,810.0,EURCHF,macd_crossing
184,sell,0.004572672,811.0,EURCHF,macd_crossing
185,sell,0.004572672,812.0,EURCHF,macd_crossing
186,sell,0.004572672,813.0,EURCHF,macd_crossing
187,buy,-0.004822740000000001,816.0,EURCHF,macd_crossing
188,buy,-0.004822740000000001,817.0,EURCHF,macd_crossing
189,buy,-0.004822740000000001,818.0,EURCHF,macd_crossing
190,sell,-0.004822740000000001,819.0,EURCHF,macd_crossing
191,sell,0.004572672,820.0,EURCHF,macd_crossing
192,sell,0.004572672,821.0,EURCHF,macd_crossing
193,buy,-0.004822740000000001,825.0,EURCHF,macd_crossing
194,buy,-0.004822740000000001,826.0,EURCHF,macd_crossing
195,buy,-0.004822740000000001,827.0,EURCHF,macd_crossing
196,sell,-0.004822740000000001,843.0,EURCHF,macd_crossing
197,sell,0.004572672,844.0,EURCHF,macd_crossing
198,sell,0.004572672,845.0,EURCHF,macd_crossing
199,buy,-0.004822740000000001,854.0,EURCHF,macd_crossing
200,buy,-0.004822740000000001,855.0,EURCHF,macd_crossing
201,buy,-0.004822740000000001,856.0,EURCHF,macd_crossing
202,sell,-0.004822740000000001,868.0,EURCHF,macd_crossing
203,sell,-0.004822740000000001,869.0,EURCHF,macd_crossing
204,sell,-0.004822740000000001,870.0,EURCHF,macd_crossing
205,buy,-0.004822740000000001,873.0,EURCHF,macd_crossing
206,buy,-0.004822740000000001,874.0,EURCHF,macd_crossing
207,buy,-0.004822740000000001,875.0,EURCHF,macd_crossing
208,sell,-0.004822740000000001,893.0,EURCHF,macd_crossing
209,sell,-0.004822740000000001,894.0,EURCHF,macd_crossing
210,sell,-0.004822740000000001,895.0,EURCHF,macd_crossing
211,buy,0.004572672,898.0,EURCHF,macd_crossing
212,buy,0.004572672,899.0,EURCHF,macd_crossing
213,buy,0.004572672,900.0,EURCHF,macd_crossing
214,sell,-0.004822740000000001,907.0,EURCHF,macd_crossing
215,sell,-0.004822740000000001,908.0,EURCHF,macd_crossing
216,sell,-0.004822740000000001,909.0,EURCHF,macd_crossing
217,buy,0.004572672,926.0,EURCHF,macd_crossing
218,buy,0.004572672,927.0,EURCHF,macd_crossing
219,buy,0.004572672,928.0,EURCHF,macd_crossing
220,sell,-0.004822740000000001,950.0,EURCHF,macd_crossing
221,sell,-0.004822740000000001,951.0,EURCHF,macd_crossing
222,sell,-0.004822740000000001,952.0,EURCHF,macd_crossing
223,buy,0.004572672,962.0,EURCHF,macd_crossing
224,buy,0.004572672,963.0,EURCHF,macd_crossing
225,buy,0.004572672,964.0,EURCHF,macd_crossing
226,sell,-0.004822740000000001,975.0,EURCHF,macd_crossing
227,sell,-0.004822740000000001,976.0,EURCHF,macd_crossing
228,sell,-0.004822740000000001,977.0,EURCHF,macd_crossing
229,buy,0.004572672,1005.0,EURCHF,macd_crossing
230,buy,0.004572672,1006.0,EURCHF,macd_crossing
231,buy,0.004572672,1007.0,EURCHF,macd_crossing
232,sell,-0.004822740000000001,1022.0,EURCHF,macd_crossing
233,sell,-0.004822740000000001,1023.0,EURCHF,macd_crossing
234,sell,-0.004822740000000001,1024.0,EURCHF,macd_crossing
235,buy,0.004572672,1028.0,EURCHF,macd_crossing
236,buy,0.004572672,1029.0,EURCHF,macd_crossing
237,buy,0.004572672,1030.0,EURCHF,macd_crossing
238,sell,-0.004822740000000001,1031.0,EURCHF,macd_crossing
239,buy,0.004572672,1032.0,EURCHF,macd_crossing
240,buy,0.004572672,1033.0,EURCHF,macd_crossing
241,buy,0.004572672,1034.0,EURCHF,macd_crossing
242,sell,-0.004822740000000001,1047.0,EURCHF,macd_crossing
