,action,result,chart_index,symbol,indicator
0,both,0.0,131.0,EURCHF,macd_max_4h
1,both,0.0,134.0,EURCHF,macd_max_4h
2,both,0.0,135.0,EURCHF,macd_max_4h
3,both,0.0,136.0,EURCHF,macd_max_4h
4,both,0.0,137.0,EURCHF,macd_max_4h
5,both,0.0,138.0,EURCHF,macd_max_4h
6,both,0.0,139.0,EURCHF,macd_max_4h
7,both,0.0,140.0,EURCHF,macd_max_4h
8,both,0.0,141.0,EURCHF,macd_max_4h
9,both,0.0,142.0,EURCHF,macd_max_4h
10,both,0.0,143.0,EURCHF,macd_max_4h
11,both,0.0,144.0,EURCHF,macd_max_4h
12,both,0.0,145.0,EURCHF,macd_max_4h
13,both,0.0,146.0,EURCHF,macd_max_4h
14,both,0.0,147.0,EURCHF,macd_max_4h
15,both,0.0,148.0,EURCHF,macd_max_4h
16,both,0.0,149.0,EURCHF,macd_max_4h
17,both,0.0,150.0,EURCHF,macd_max_4h
18,both,0.0,151.0,EURCHF,macd_max_4h
19,both,0.0,152.0,EURCHF,macd_max_4h
20,both,0.0,153.0,EURCHF,macd_max_4h
21,both,0.0,154.0,EURCHF,macd_max_4h
22,both,0.0,155.0,EURCHF,macd_max_4h
23,both,0.0,156.0,EURCHF,macd_max_4h
24,both,0.0,157.0,EURCHF,macd_max_4h
25,both,0.0,176.0,EURCHF,macd_max_4h
26,both,0.0,177.0,EURCHF,macd_max_4h
27,both,0.0,178.0,EURCHF,macd_max_4h
28,both,0.0,179.0,EURCHF,macd_max_4h
29,both,0.0,180.0,EURCHF,macd_max_4h
30,both,0.0,181.0,EURCHF,macd_max_4h
31,both,0.0,182.0,EURCHF,macd_max_4h
32,both,0.0,183.0,EURCHF,macd_max_4h
33,both,0.0,184.0,EURCHF,macd_max_4h
34,both,0.0,185.0,EURCHF,macd_max_4h
35,both,0.0,186.0,EURCHF,macd_max_4h
36,both,0.0,187.0,EURCHF,macd_max_4h
37,both,0.0,188.0,EURCHF,macd_max_4h
38,both,0.0,189.0,EURCHF,macd_max_4h
39,both,0.0,190.0,EURCHF,macd_max_4h
40,both,0.0,191.0,EURCHF,macd_max_4h
41,both,0.0,192.0,EURCHF,macd_max_4h
42,both,0.0,193.0,EURCHF,macd_max_4h
43,both,0.0,194.0,EURCHF,macd_max_4h
44,both,0.0,195.0,EURCHF,macd_max_4h
45,both,0.0,196.0,EURCHF,macd_max_4h
46,both,0.0,197.0,EURCHF,macd_max_4h
47,both,0.0,198.0,EURCHF,macd_max_4h
48,both,0.0,199.0,EURCHF,macd_max_4h
49,both,0.0,200.0,EURCHF,macd_max_4h
50,both,0.0,201.0,EURCHF,macd_max_4h
51,both,0.0,202.0,EURCHF,macd_max_4h
52,both,0.0,203.0,EURCHF,macd_max_4h
53,both,0.0,204.0,EURCHF,macd_max_4h
54,both,0.0,205.0,EURCHF,macd_max_4h
55,both,0.0,206.0,EURCHF,macd_max_4h
56,both,0.0,207.0,EURCHF,macd_max_4h
57,both,0.0,208.0,EURCHF,macd_max_4h
58,both,0.0,209.0,EURCHF,macd_max_4h
59,both,0.0,210.0,EURCHF,macd_max_4h
60,both,0.0,211.0,EURCHF,macd_max_4h
61,both,0.0,212.0,EURCHF,macd_max_4h
62,both,0.0,213.0,EURCHF,macd_max_4h
63,both,0.0,214.0,EURCHF,macd_max_4h
64,both,0.0,215.0,EURCHF,macd_max_4h
65,both,0.0,216.0,EURCHF,macd_max_4h
66,both,0.0,217.0,EURCHF,macd_max_4h
67,both,0.0,218.0,EURCHF,macd_max_4h
68,both,0.0,219.0,EURCHF,macd_max_4h
69,both,0.0,220.0,EURCHF,macd_max_4h
70,both,0.0,221.0,EURCHF,macd_max_4h
71,both,0.0,222.0,EURCHF,macd_max_4h
72,both,0.0,223.0,EURCHF,macd_max_4h
73,both,0.0,224.0,EURCHF,macd_max_4h
74,both,0.0,225.0,EURCHF,macd_max_4h
75,both,0.0,226.0,EURCHF,macd_max_4h
76,both,0.0,227.0,EURCHF,macd_max_4h
77,both,0.0,228.0,EURCHF,macd_max_4h
78,both,0.0,229.0,EURCHF,macd_max_4h
79,both,0.0,230.0,EURCHF,macd_max_4h
80,both,0.0,231.0,EURCHF,macd_max_4h
81,both,0.0,232.0,EURCHF,macd_max_4h
82,both,0.0,233.0,EURCHF,macd_max_4h
83,both,0.0,234.0,EURCHF,macd_max_4h
84,both,0.0,235.0,EURCHF,macd_max_4h
85,both,0.0,236.0,EURCHF,macd_max_4h
86,both,0.0,237.0,EURCHF,macd_max_4h
87,both,0.0,238.0,EURCHF,macd_max_4h
88,both,0.0,239.0,EURCHF,macd_max_4h
89,both,0.0,240.0,EURCHF,macd_max_4h
90,both,0.0,241.0,EURCHF,macd_max_4h
91,both,0.0,243.0,EURCHF,macd_max_4h
92,both,0.0,245.0,EURCHF,macd_max_4h
93,both,0.0,315.0,EURCHF,macd_max_4h
94,both,0.0,316.0,EURCHF,macd_max_4h
95,both,0.0,317.0,EURCHF,macd_max_4h
96,both,0.0,318.0,EURCHF,macd_max_4h
97,both,0.0,319.0,EURCHF,macd_max_4h
98,both,0.0,320.0,EURCHF,macd_max_4h
99,both,0.0,321.0,EURCHF,macd_max_4h
100,both,0.0,322.0,EURCHF,macd_max_4h
101,both,0.0,323.0,EURCHF,macd_max_4h
102,both,0.0,324.0,EURCHF,macd_max_4h
103,both,0.0,325.0,EURCHF,macd_max_4h
104,both,0.0,326.0,EURCHF,macd_max_4h
105,both,0.0,327.0,EURCHF,macd_max_4h
106,both,0.0,328.0,EURCHF,macd_max_4h
107,both,0.0,329.0,EURCHF,macd_max_4h
108,both,0.0,330.0,EURCHF,macd_max_4h
109,both,0.0,331.0,EURCHF,macd_max_4h
110,both,0.0,332.0,EURCHF,macd_max_4h
111,both,0.0,333.0,EURCHF,macd_max_4h
112,both,0.0,334.0,EURCHF,macd_max_4h
113,both,0.0,335.0,EURCHF,macd_max_4h
114,both,0.0,336.0,EURCHF,macd_max_4h
115,both,0.0,337.0,EURCHF,macd_max_4h
116,both,0.0,338.0,EURCHF,macd_max_4h
117,both,0.0,339.0,EURCHF,macd_max_4h
118,both,0.0,340.0,EURCHF,macd_max_4h
119,both,0.0,341.0,EURCHF,macd_max_4h
120,both,0.0,342.0,EURCHF,macd_max_4h
121,both,0.0,343.0,EURCHF,macd_max_4h
122,both,0.0,344.0,EURCHF,macd_max_4h
123,both,0.0,345.0,EURCHF,macd_max_4h
124,both,0.0,346.0,EURCHF,macd_max_4h
125,both,0.0,347.0,EURCHF,macd_max_4h
126,both,0.0,348.0,EURCHF,macd_max_4h
127,both,0.0,349.0,EURCHF,macd_max_4h
128,both,0.0,350.0,EURCHF,macd_max_4h
129,both,0.0,351.0,EURCHF,macd_max_4h
130,both,0.0,352.0,EURCHF,macd_max_4h
131,both,0.0,353.0,EURCHF,macd_max_4h
132,both,0.0,354.0,EURCHF,macd_max_4h
133,both,0.0,355.0,EURCHF,macd_max_4h
134,both,0.0,356.0,EURCHF,macd_max_4h
135,both,0.0,357.0,EURCHF,macd_max_4h
136,both,0.0,358.0,EURCHF,macd_max_4h
137,both,0.0,359.0,EURCHF,macd_max_4h
138,both,0.0,360.0,EURCHF,macd_max_4h
139,both,0.0,361.0,EURCHF,macd_max_4h
140,both,0.0,362.0,EURCHF,macd_max_4h
141,both,0.0,363.0,EURCHF,macd_max_4h
