,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,1.0,EURCHF,macd_slope
1,buy,-0.004822740000000001,2.0,EURCHF,macd_slope
2,sell,0.004572672,3.0,EURCHF,macd_slope
3,sell,0.004572672,4.0,EURCHF,macd_slope
4,sell,0.004572672,5.0,EURCHF,macd_slope
5,sell,0.004572672,6.0,EURCHF,macd_slope
6,sell,0.004572672,7.0,EURCHF,macd_slope
7,sell,0.004572672,8.0,EURCHF,macd_slope
8,sell,-0.004822740000000001,9.0,EURCHF,macd_slope
9,sell,-0.004822740000000001,10.0,EURCHF,macd_slope
10,sell,-0.004822740000000001,11.0,EURCHF,macd_slope
11,sell,-0.004822740000000001,12.0,EURCHF,macd_slope
12,sell,-0.004822740000000001,13.0,EURCHF,macd_slope
13,buy,0.004572672,14.0,EURCHF,macd_slope
14,buy,-0.004822740000000001,15.0,EURCHF,macd_slope
15,buy,-0.004822740000000001,16.0,EURCHF,macd_slope
16,buy,-0.004822740000000001,17.0,EURCHF,macd_slope
17,buy,-0.004822740000000001,18.0,EURCHF,macd_slope
18,buy,-0.004822740000000001,19.0,EURCHF,macd_slope
19,buy,-0.004822740000000001,20.0,EURCHF,macd_slope
20,buy,-0.004822740000000001,21.0,EURCHF,macd_slope
21,buy,-0.004822740000000001,22.0,EURCHF,macd_slope
22,buy,-0.004822740000000001,23.0,EURCHF,macd_slope
23,buy,-0.004822740000000001,24.0,EURCHF,macd_slope
24,buy,-0.004822740000000001,25.0,EURCHF,macd_slope
25,buy,-0.004822740000000001,26.0,EURCHF,macd_slope
26,buy,-0.004822740000000001,27.0,EURCHF,macd_slope
27,buy,-0.004822740000000001,28.0,EURCHF,macd_slope
28,buy,-0.004822740000000001,29.0,EURCHF,macd_slope
29,buy,-0.004822740000000001,30.0,EURCHF,macd_slope
30,buy,-0.004822740000000001,31.0,EURCHF,macd_slope
31,buy,-0.004822740000000001,32.0,EURCHF,macd_slope
32,sell,0.004572672,33.0,EURCHF,macd_slope
33,sell,0.004572672,34.0,EURCHF,macd_slope
34,sell,0.004572672,35.0,EURCHF,macd_slope
35,buy,-0.004822740000000001,36.0,EURCHF,macd_slope
36,buy,-0.004822740000000001,37.0,EURCHF,macd_slope
37,buy,-0.004822740000000001,38.0,EURCHF,macd_slope
