,action,result,chart_index,symbol,indicator
0,sell,0.004572672,4.0,EURCHF,macd_zero
1,sell,0.004572672,5.0,EURCHF,macd_zero
2,sell,0.004572672,6.0,EURCHF,macd_zero
3,sell,0.004572672,7.0,EURCHF,macd_zero
4,sell,0.004572672,8.0,EURCHF,macd_zero
5,sell,-0.004822740000000001,9.0,EURCHF,macd_zero
6,sell,-0.004822740000000001,10.0,EURCHF,macd_zero
7,sell,-0.004822740000000001,11.0,EURCHF,macd_zero
8,sell,-0.004822740000000001,12.0,EURCHF,macd_zero
9,sell,-0.004822740000000001,13.0,EURCHF,macd_zero
10,sell,-0.004822740000000001,14.0,EURCHF,macd_zero
11,sell,-0.004822740000000001,15.0,EURCHF,macd_zero
12,sell,0.004572672,16.0,EURCHF,macd_zero
13,sell,0.004572672,17.0,EURCHF,macd_zero
14,buy,-0.004822740000000001,50.0,EURCHF,macd_zero
15,buy,-0.004822740000000001,51.0,EURCHF,macd_zero
16,buy,-0.004822740000000001,52.0,EURCHF,macd_zero
17,buy,-0.004822740000000001,53.0,EURCHF,macd_zero
18,buy,-0.004822740000000001,54.0,EURCHF,macd_zero
19,buy,-0.004822740000000001,55.0,EURCHF,macd_zero
20,buy,-0.004822740000000001,56.0,EURCHF,macd_zero
21,buy,-0.004822740000000001,57.0,EURCHF,macd_zero
22,buy,-0.004822740000000001,58.0,EURCHF,macd_zero
23,buy,-0.004822740000000001,59.0,EURCHF,macd_zero
24,buy,-0.004822740000000001,60.0,EURCHF,macd_zero
25,buy,-0.004822740000000001,61.0,EURCHF,macd_zero
26,buy,-0.004822740000000001,62.0,EURCHF,macd_zero
27,buy,-0.004822740000000001,63.0,EURCHF,macd_zero
28,buy,-0.004822740000000001,64.0,EURCHF,macd_zero
29,sell,0.004572672,72.0,EURCHF,macd_zero
30,sell,0.004572672,73.0,EURCHF,macd_zero
31,sell,0.004572672,74.0,EURCHF,macd_zero
32,sell,0.004572672,75.0,EURCHF,macd_zero
33,sell,0.004572672,76.0,EURCHF,macd_zero
34,sell,0.004572672,77.0,EURCHF,macd_zero
35,sell,0.004572672,78.0,EURCHF,macd_zero
36,sell,-0.004822740000000001,79.0,EURCHF,macd_zero
37,sell,-0.004822740000000001,80.0,EURCHF,macd_zero
38,sell,-0.004822740000000001,81.0,EURCHF,macd_zero
39,sell,0.004572672,82.0,EURCHF,macd_zero
40,sell,0.004572672,83.0,EURCHF,macd_zero
41,sell,0.004572672,84.0,EURCHF,macd_zero
42,sell,0.004572672,85.0,EURCHF,macd_zero
43,sell,0.004572672,86.0,EURCHF,macd_zero
44,sell,0.004572672,87.0,EURCHF,macd_zero
45,sell,0.004572672,88.0,EURCHF,macd_zero
46,sell,0.004572672,89.0,EURCHF,macd_zero
47,sell,-0.004822740000000001,107.0,EURCHF,macd_zero
48,sell,-0.004822740000000001,108.0,EURCHF,macd_zero
49,sell,-0.004822740000000001,109.0,EURCHF,macd_zero
50,sell,-0.004822740000000001,110.0,EURCHF,macd_zero
51,sell,-0.004822740000000001,111.0,EURCHF,macd_zero
52,sell,-0.004822740000000001,112.0,EURCHF,macd_zero
53,sell,-0.004822740000000001,113.0,EURCHF,macd_zero
54,sell,-0.004822740000000001,114.0,EURCHF,macd_zero
55,sell,-0.004822740000000001,115.0,EURCHF,macd_zero
56,sell,-0.004822740000000001,116.0,EURCHF,macd_zero
57,sell,-0.004822740000000001,117.0,EURCHF,macd_zero
