,action,result,chart_index,symbol,indicator
0,sell,0.004572672,0.0,EURCHF,rsi
1,sell,0.004572672,1.0,EURCHF,rsi
2,buy,-0.004822740000000001,2.0,EURCHF,rsi
3,sell,0.004572672,3.0,EURCHF,rsi
4,sell,0.004572672,4.0,EURCHF,rsi
5,sell,0.004572672,5.0,EURCHF,rsi
6,sell,0.004572672,6.0,EURCHF,rsi
7,sell,0.004572672,7.0,EURCHF,rsi
8,sell,0.004572672,8.0,EURCHF,rsi
9,sell,-0.004822740000000001,9.0,EURCHF,rsi
10,sell,-0.004822740000000001,10.0,EURCHF,rsi
11,sell,-0.004822740000000001,11.0,EURCHF,rsi
12,sell,-0.004822740000000001,12.0,EURCHF,rsi
13,sell,-0.004822740000000001,13.0,EURCHF,rsi
14,sell,-0.004822740000000001,14.0,EURCHF,rsi
15,sell,-0.004822740000000001,15.0,EURCHF,rsi
16,sell,0.004572672,16.0,EURCHF,rsi
17,sell,0.004572672,17.0,EURCHF,rsi
18,sell,0.004572672,18.0,EURCHF,rsi
19,sell,0.004572672,19.0,EURCHF,rsi
20,sell,0.004572672,20.0,EURCHF,rsi
21,sell,0.004572672,21.0,EURCHF,rsi
22,sell,0.004572672,22.0,EURCHF,rsi
23,sell,0.004572672,23.0,EURCHF,rsi
24,sell,0.004572672,24.0,EURCHF,rsi
25,buy,-0.004822740000000001,25.0,EURCHF,rsi
26,buy,-0.004822740000000001,26.0,EURCHF,rsi
27,sell,0.004572672,27.0,EURCHF,rsi
28,buy,-0.004822740000000001,28.0,EURCHF,rsi
29,sell,0.004572672,29.0,EURCHF,rsi
30,sell,0.004572672,30.0,EURCHF,rsi
31,sell,0.004572672,31.0,EURCHF,rsi
32,buy,-0.004822740000000001,32.0,EURCHF,rsi
33,sell,0.004572672,33.0,EURCHF,rsi
34,sell,0.004572672,34.0,EURCHF,rsi
35,sell,0.004572672,35.0,EURCHF,rsi
36,sell,0.004572672,36.0,EURCHF,rsi
37,sell,0.004572672,37.0,EURCHF,rsi
38,sell,0.004572672,38.0,EURCHF,rsi
39,buy,-0.004822740000000001,39.0,EURCHF,rsi
40,sell,0.004572672,40.0,EURCHF,rsi
41,sell,0.004572672,41.0,EURCHF,rsi
42,sell,0.004572672,42.0,EURCHF,rsi
43,sell,0.004572672,43.0,EURCHF,rsi
44,sell,0.004572672,44.0,EURCHF,rsi
45,sell,0.004572672,45.0,EURCHF,rsi
46,sell,0.004572672,46.0,EURCHF,rsi
47,buy,-0.004822740000000001,47.0,EURCHF,rsi
48,sell,0.004572672,48.0,EURCHF,rsi
49,buy,-0.004822740000000001,49.0,EURCHF,rsi
50,buy,-0.004822740000000001,50.0,EURCHF,rsi
51,buy,-0.004822740000000001,51.0,EURCHF,rsi
52,buy,-0.004822740000000001,52.0,EURCHF,rsi
53,buy,-0.004822740000000001,53.0,EURCHF,rsi
54,buy,-0.004822740000000001,54.0,EURCHF,rsi
55,buy,-0.004822740000000001,55.0,EURCHF,rsi
56,buy,-0.004822740000000001,56.0,EURCHF,rsi
57,buy,-0.004822740000000001,57.0,EURCHF,rsi
58,buy,-0.004822740000000001,58.0,EURCHF,rsi
59,buy,-0.004822740000000001,59.0,EURCHF,rsi
60,buy,-0.004822740000000001,60.0,EURCHF,rsi
61,buy,-0.004822740000000001,61.0,EURCHF,rsi
62,buy,-0.004822740000000001,62.0,EURCHF,rsi
63,buy,-0.004822740000000001,63.0,EURCHF,rsi
64,buy,-0.004822740000000001,64.0,EURCHF,rsi
65,buy,-0.004822740000000001,65.0,EURCHF,rsi
66,sell,0.004572672,66.0,EURCHF,rsi
67,sell,0.004572672,67.0,EURCHF,rsi
68,sell,0.004572672,68.0,EURCHF,rsi
69,sell,0.004572672,69.0,EURCHF,rsi
70,sell,0.004572672,70.0,EURCHF,rsi
71,sell,0.004572672,71.0,EURCHF,rsi
72,sell,0.004572672,72.0,EURCHF,rsi
73,sell,0.004572672,73.0,EURCHF,rsi
