,action,result,chart_index,symbol,indicator
0,sell,0.004572672,4.0,EURCHF,rsi_break
1,buy,-0.004822740000000001,25.0,EURCHF,rsi_break
2,buy,-0.004822740000000001,26.0,EURCHF,rsi_break
3,sell,0.004572672,27.0,EURCHF,rsi_break
4,buy,-0.004822740000000001,28.0,EURCHF,rsi_break
5,sell,0.004572672,29.0,EURCHF,rsi_break
6,sell,0.004572672,30.0,EURCHF,rsi_break
7,buy,-0.004822740000000001,32.0,EURCHF,rsi_break
8,sell,0.004572672,33.0,EURCHF,rsi_break
9,sell,0.004572672,34.0,EURCHF,rsi_break
10,buy,-0.004822740000000001,39.0,EURCHF,rsi_break
11,sell,0.004572672,40.0,EURCHF,rsi_break
12,sell,0.004572672,41.0,EURCHF,rsi_break
13,buy,-0.004822740000000001,47.0,EURCHF,rsi_break
14,sell,0.004572672,48.0,EURCHF,rsi_break
15,buy,-0.004822740000000001,49.0,EURCHF,rsi_break
16,buy,-0.004822740000000001,50.0,EURCHF,rsi_break
17,sell,0.004572672,66.0,EURCHF,rsi_break
18,sell,0.004572672,67.0,EURCHF,rsi_break
19,buy,-0.004822740000000001,74.0,EURCHF,rsi_break
20,sell,0.004572672,75.0,EURCHF,rsi_break
21,sell,0.004572672,76.0,EURCHF,rsi_break
22,buy,-0.004822740000000001,97.0,EURCHF,rsi_break
23,sell,0.004572672,98.0,EURCHF,rsi_break
24,sell,0.004572672,99.0,EURCHF,rsi_break
25,buy,-0.004822740000000001,102.0,EURCHF,rsi_break
26,buy,-0.004822740000000001,103.0,EURCHF,rsi_break
27,sell,0.004572672,104.0,EURCHF,rsi_break
28,sell,0.004572672,105.0,EURCHF,rsi_break
29,buy,0.004572672,126.0,EURCHF,rsi_break
30,sell,-0.004822740000000001,127.0,EURCHF,rsi_break
31,sell,-0.004822740000000001,128.0,EURCHF,rsi_break
32,buy,0.004572672,130.0,EURCHF,rsi_break
33,buy,0.004572672,131.0,EURCHF,rsi_break
34,sell,-0.004822740000000001,172.0,EURCHF,rsi_break
35,buy,0.004572672,173.0,EURCHF,rsi_break
36,sell,-0.004822740000000001,174.0,EURCHF,rsi_break
37,sell,-0.004822740000000001,175.0,EURCHF,rsi_break
38,buy,0.004572672,193.0,EURCHF,rsi_break
39,buy,0.004572672,194.0,EURCHF,rsi_break
40,sell,-0.004822740000000001,195.0,EURCHF,rsi_break
41,buy,0.004572672,196.0,EURCHF,rsi_break
42,buy,0.004572672,197.0,EURCHF,rsi_break
43,sell,-0.004822740000000001,198.0,EURCHF,rsi_break
44,buy,0.004572672,199.0,EURCHF,rsi_break
45,buy,0.004572672,200.0,EURCHF,rsi_break
46,sell,-0.004822740000000001,210.0,EURCHF,rsi_break
47,sell,-0.004822740000000001,211.0,EURCHF,rsi_break
48,buy,0.004572672,215.0,EURCHF,rsi_break
49,sell,-0.004822740000000001,216.0,EURCHF,rsi_break
50,buy,0.004572672,217.0,EURCHF,rsi_break
51,buy,0.004572672,218.0,EURCHF,rsi_break
52,sell,-0.004822740000000001,219.0,EURCHF,rsi_break
53,sell,-0.004822740000000001,220.0,EURCHF,rsi_break
54,buy,0.004572672,224.0,EURCHF,rsi_break
55,buy,0.004572672,225.0,EURCHF,rsi_break
56,sell,-0.004822740000000001,286.0,EURCHF,rsi_break
57,sell,-0.004822740000000001,287.0,EURCHF,rsi_break
58,buy,0.004572672,288.0,EURCHF,rsi_break
59,buy,0.004572672,289.0,EURCHF,rsi_break
60,sell,-0.004822740000000001,313.0,EURCHF,rsi_break
61,sell,-0.004822740000000001,314.0,EURCHF,rsi_break
62,buy,0.004572672,337.0,EURCHF,rsi_break
63,buy,0.004572672,338.0,EURCHF,rsi_break
64,sell,-0.004822740000000001,380.0,EURCHF,rsi_break
65,buy,0.004572672,381.0,EURCHF,rsi_break
66,sell,-0.004822740000000001,382.0,EURCHF,rsi_break
67,sell,-0.004822740000000001,383.0,EURCHF,rsi_break
68,buy,-0.004822740000000001,384.0,EURCHF,rsi_break
69,sell,-0.004822740000000001,385.0,EURCHF,rsi_break
70,sell,-0.004822740000000001,386.0,EURCHF,rsi_break
71,buy,0.004572672,387.0,EURCHF,rsi_break
72,buy,-0.004822740000000001,388.0,EURCHF,rsi_break
73,sell,-0.004822740000000001,396.0,EURCHF,rsi_break
74,sell,-0.004822740000000001,397.0,EURCHF,rsi_break
75,buy,-0.004822740000000001,398.0,EURCHF,rsi_break
76,buy,-0.004822740000000001,399.0,EURCHF,rsi_break
77,sell,-0.004822740000000001,401.0,EURCHF,rsi_break
78,sell,-0.004822740000000001,402.0,EURCHF,rsi_break
79,buy,-0.004822740000000001,405.0,EURCHF,rsi_break
80,buy,-0.004822740000000001,406.0,EURCHF,rsi_break
81,sell,-0.004822740000000001,408.0,EURCHF,rsi_break
82,sell,-0.004822740000000001,409.0,EURCHF,rsi_break
83,buy,0.004572672,420.0,EURCHF,rsi_break
