,action,result,chart_index,symbol,indicator
0,buy,0.004572672,143.0,EURCHF,rsi_break_4h
1,buy,0.004572672,150.0,EURCHF,rsi_break_4h
2,buy,0.004572672,151.0,EURCHF,rsi_break_4h
3,buy,0.004572672,152.0,EURCHF,rsi_break_4h
4,buy,0.004572672,153.0,EURCHF,rsi_break_4h
5,buy,-0.004822740000000001,154.0,EURCHF,rsi_break_4h
6,buy,-0.004822740000000001,155.0,EURCHF,rsi_break_4h
7,buy,-0.004822740000000001,156.0,EURCHF,rsi_break_4h
8,buy,-0.004822740000000001,157.0,EURCHF,rsi_break_4h
9,sell,-0.004822740000000001,176.0,EURCHF,rsi_break_4h
10,sell,-0.004822740000000001,177.0,EURCHF,rsi_break_4h
11,sell,-0.004822740000000001,178.0,EURCHF,rsi_break_4h
12,sell,-0.004822740000000001,179.0,EURCHF,rsi_break_4h
13,sell,-0.004822740000000001,180.0,EURCHF,rsi_break_4h
14,sell,-0.004822740000000001,181.0,EURCHF,rsi_break_4h
15,buy,0.004572672,202.0,EURCHF,rsi_break_4h
16,buy,0.004572672,203.0,EURCHF,rsi_break_4h
17,buy,0.004572672,218.0,EURCHF,rsi_break_4h
18,buy,0.004572672,226.0,EURCHF,rsi_break_4h
19,buy,0.004572672,227.0,EURCHF,rsi_break_4h
20,buy,0.004572672,228.0,EURCHF,rsi_break_4h
21,buy,0.004572672,229.0,EURCHF,rsi_break_4h
22,buy,0.004572672,230.0,EURCHF,rsi_break_4h
23,buy,0.004572672,231.0,EURCHF,rsi_break_4h
24,buy,0.004572672,232.0,EURCHF,rsi_break_4h
25,buy,0.004572672,233.0,EURCHF,rsi_break_4h
26,sell,-0.004822740000000001,410.0,EURCHF,rsi_break_4h
27,sell,-0.004822740000000001,411.0,EURCHF,rsi_break_4h
28,sell,-0.004822740000000001,412.0,EURCHF,rsi_break_4h
29,buy,0.004572672,413.0,EURCHF,rsi_break_4h
30,sell,-0.004822740000000001,414.0,EURCHF,rsi_break_4h
31,buy,0.004572672,415.0,EURCHF,rsi_break_4h
32,buy,0.004572672,416.0,EURCHF,rsi_break_4h
33,buy,0.004572672,417.0,EURCHF,rsi_break_4h
34,buy,0.004572672,418.0,EURCHF,rsi_break_4h
35,buy,0.004572672,419.0,EURCHF,rsi_break_4h
36,buy,0.004572672,420.0,EURCHF,rsi_break_4h
37,sell,-0.004822740000000001,434.0,EURCHF,rsi_break_4h
38,sell,-0.004822740000000001,435.0,EURCHF,rsi_break_4h
39,sell,-0.004822740000000001,436.0,EURCHF,rsi_break_4h
40,sell,-0.004822740000000001,437.0,EURCHF,rsi_break_4h
41,sell,-0.004822740000000001,438.0,EURCHF,rsi_break_4h
42,sell,-0.004822740000000001,439.0,EURCHF,rsi_break_4h
43,sell,-0.004822740000000001,440.0,EURCHF,rsi_break_4h
44,buy,0.004572672,441.0,EURCHF,rsi_break_4h
45,buy,0.004572672,442.0,EURCHF,rsi_break_4h
46,buy,0.004572672,443.0,EURCHF,rsi_break_4h
47,buy,0.004572672,444.0,EURCHF,rsi_break_4h
48,buy,0.004572672,445.0,EURCHF,rsi_break_4h
49,buy,0.004572672,446.0,EURCHF,rsi_break_4h
50,buy,0.004572672,447.0,EURCHF,rsi_break_4h
51,buy,0.004572672,448.0,EURCHF,rsi_break_4h
52,sell,-0.004822740000000001,460.0,EURCHF,rsi_break_4h
53,buy,0.004572672,461.0,EURCHF,rsi_break_4h
54,buy,-0.004822740000000001,462.0,EURCHF,rsi_break_4h
55,buy,-0.004822740000000001,463.0,EURCHF,rsi_break_4h
56,buy,0.004572672,464.0,EURCHF,rsi_break_4h
57,buy,0.004572672,465.0,EURCHF,rsi_break_4h
58,buy,-0.004822740000000001,466.0,EURCHF,rsi_break_4h
59,buy,0.004572672,467.0,EURCHF,rsi_break_4h
60,buy,-0.004822740000000001,468.0,EURCHF,rsi_break_4h
