,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,70.0,EURCHF,rsi_convergence5_40
1,buy,-0.004822740000000001,71.0,EURCHF,rsi_convergence5_40
2,buy,0.004572672,170.0,EURCHF,rsi_convergence5_40
3,buy,0.004572672,171.0,EURCHF,rsi_convergence5_40
4,buy,0.004572672,172.0,EURCHF,rsi_convergence5_40
5,buy,0.004572672,173.0,EURCHF,rsi_convergence5_40
6,buy,0.004572672,174.0,EURCHF,rsi_convergence5_40
7,buy,0.004572672,175.0,EURCHF,rsi_convergence5_40
8,buy,0.004572672,176.0,EURCHF,rsi_convergence5_40
9,buy,0.004572672,177.0,EURCHF,rsi_convergence5_40
10,buy,0.004572672,178.0,EURCHF,rsi_convergence5_40
11,buy,0.004572672,179.0,EURCHF,rsi_convergence5_40
12,buy,0.004572672,180.0,EURCHF,rsi_convergence5_40
13,buy,0.004572672,181.0,EURCHF,rsi_convergence5_40
14,buy,0.004572672,182.0,EURCHF,rsi_convergence5_40
15,buy,0.004572672,183.0,EURCHF,rsi_convergence5_40
16,buy,0.004572672,184.0,EURCHF,rsi_convergence5_40
17,buy,0.004572672,185.0,EURCHF,rsi_convergence5_40
18,buy,0.004572672,186.0,EURCHF,rsi_convergence5_40
19,buy,0.004572672,187.0,EURCHF,rsi_convergence5_40
20,buy,0.004572672,264.0,EURCHF,rsi_convergence5_40
21,buy,0.004572672,265.0,EURCHF,rsi_convergence5_40
22,buy,0.004572672,266.0,EURCHF,rsi_convergence5_40
23,buy,0.004572672,267.0,EURCHF,rsi_convergence5_40
24,buy,0.004572672,268.0,EURCHF,rsi_convergence5_40
25,buy,0.004572672,269.0,EURCHF,rsi_convergence5_40
26,buy,0.004572672,270.0,EURCHF,rsi_convergence5_40
27,buy,0.004572672,271.0,EURCHF,rsi_convergence5_40
28,buy,0.004572672,272.0,EURCHF,rsi_convergence5_40
29,buy,0.004572672,273.0,EURCHF,rsi_convergence5_40
30,buy,0.004572672,274.0,EURCHF,rsi_convergence5_40
31,buy,0.004572672,275.0,EURCHF,rsi_convergence5_40
32,buy,0.004572672,276.0,EURCHF,rsi_convergence5_40
33,buy,0.004572672,277.0,EURCHF,rsi_convergence5_40
34,buy,0.004572672,278.0,EURCHF,rsi_convergence5_40
35,buy,0.004572672,279.0,EURCHF,rsi_convergence5_40
36,buy,0.004572672,280.0,EURCHF,rsi_convergence5_40
37,buy,0.004572672,286.0,EURCHF,rsi_convergence5_40
38,buy,0.004572672,287.0,EURCHF,rsi_convergence5_40
39,buy,0.004572672,288.0,EURCHF,rsi_convergence5_40
40,buy,0.004572672,289.0,EURCHF,rsi_convergence5_40
41,buy,0.004572672,290.0,EURCHF,rsi_convergence5_40
42,buy,-0.004822740000000001,291.0,EURCHF,rsi_convergence5_40
43,buy,-0.004822740000000001,292.0,EURCHF,rsi_convergence5_40
44,buy,-0.004822740000000001,293.0,EURCHF,rsi_convergence5_40
45,buy,-0.004822740000000001,294.0,EURCHF,rsi_convergence5_40
46,buy,0.004572672,295.0,EURCHF,rsi_convergence5_40
47,buy,-0.004822740000000001,296.0,EURCHF,rsi_convergence5_40
48,buy,-0.004822740000000001,297.0,EURCHF,rsi_convergence5_40
49,buy,0.004572672,298.0,EURCHF,rsi_convergence5_40
50,buy,-0.004822740000000001,299.0,EURCHF,rsi_convergence5_40
51,buy,-0.004822740000000001,300.0,EURCHF,rsi_convergence5_40
52,buy,-0.004822740000000001,301.0,EURCHF,rsi_convergence5_40
53,buy,-0.004822740000000001,302.0,EURCHF,rsi_convergence5_40
54,buy,-0.004822740000000001,303.0,EURCHF,rsi_convergence5_40
55,buy,-0.004822740000000001,304.0,EURCHF,rsi_convergence5_40
56,buy,-0.004822740000000001,305.0,EURCHF,rsi_convergence5_40
57,buy,0.004572672,313.0,EURCHF,rsi_convergence5_40
58,buy,0.004572672,314.0,EURCHF,rsi_convergence5_40
59,buy,0.004572672,315.0,EURCHF,rsi_convergence5_40
60,buy,0.004572672,316.0,EURCHF,rsi_convergence5_40
61,buy,0.004572672,317.0,EURCHF,rsi_convergence5_40
62,buy,0.004572672,318.0,EURCHF,rsi_convergence5_40
63,buy,0.004572672,319.0,EURCHF,rsi_convergence5_40
64,buy,0.004572672,320.0,EURCHF,rsi_convergence5_40
65,buy,0.004572672,321.0,EURCHF,rsi_convergence5_40
66,buy,0.004572672,322.0,EURCHF,rsi_convergence5_40
67,buy,0.004572672,323.0,EURCHF,rsi_convergence5_40
68,buy,0.004572672,324.0,EURCHF,rsi_convergence5_40
69,buy,0.004572672,325.0,EURCHF,rsi_convergence5_40
70,buy,0.004572672,326.0,EURCHF,rsi_convergence5_40
71,buy,0.004572672,378.0,EURCHF,rsi_convergence5_40
72,buy,0.004572672,379.0,EURCHF,rsi_convergence5_40
73,buy,0.004572672,380.0,EURCHF,rsi_convergence5_40
74,buy,0.004572672,381.0,EURCHF,rsi_convergence5_40
75,buy,0.004572672,382.0,EURCHF,rsi_convergence5_40
76,buy,0.004572672,383.0,EURCHF,rsi_convergence5_40
77,buy,-0.004822740000000001,388.0,EURCHF,rsi_convergence5_40
78,buy,-0.004822740000000001,389.0,EURCHF,rsi_convergence5_40
79,buy,-0.004822740000000001,390.0,EURCHF,rsi_convergence5_40
80,buy,-0.004822740000000001,391.0,EURCHF,rsi_convergence5_40
81,buy,-0.004822740000000001,392.0,EURCHF,rsi_convergence5_40
82,buy,-0.004822740000000001,393.0,EURCHF,rsi_convergence5_40
83,buy,0.004572672,401.0,EURCHF,rsi_convergence5_40
84,buy,0.004572672,402.0,EURCHF,rsi_convergence5_40
85,buy,0.004572672,403.0,EURCHF,rsi_convergence5_40
86,buy,0.004572672,404.0,EURCHF,rsi_convergence5_40
87,buy,-0.004822740000000001,405.0,EURCHF,rsi_convergence5_40
88,buy,-0.004822740000000001,406.0,EURCHF,rsi_convergence5_40
89,buy,-0.004822740000000001,407.0,EURCHF,rsi_convergence5_40
90,buy,0.004572672,408.0,EURCHF,rsi_convergence5_40
91,buy,0.004572672,434.0,EURCHF,rsi_convergence5_40
92,buy,0.004572672,435.0,EURCHF,rsi_convergence5_40
93,buy,0.004572672,436.0,EURCHF,rsi_convergence5_40
94,buy,0.004572672,483.0,EURCHF,rsi_convergence5_40
95,buy,0.004572672,484.0,EURCHF,rsi_convergence5_40
96,buy,0.004572672,485.0,EURCHF,rsi_convergence5_40
97,buy,0.004572672,486.0,EURCHF,rsi_convergence5_40
98,buy,0.004572672,487.0,EURCHF,rsi_convergence5_40
99,buy,0.004572672,488.0,EURCHF,rsi_convergence5_40
100,buy,-0.004822740000000001,489.0,EURCHF,rsi_convergence5_40
101,buy,-0.004822740000000001,490.0,EURCHF,rsi_convergence5_40
102,buy,-0.004822740000000001,491.0,EURCHF,rsi_convergence5_40
103,buy,-0.004822740000000001,492.0,EURCHF,rsi_convergence5_40
104,buy,-0.004822740000000001,493.0,EURCHF,rsi_convergence5_40
105,buy,-0.004822740000000001,494.0,EURCHF,rsi_convergence5_40
106,buy,-0.004822740000000001,495.0,EURCHF,rsi_convergence5_40
107,buy,-0.004822740000000001,496.0,EURCHF,rsi_convergence5_40
108,buy,-0.004822740000000001,497.0,EURCHF,rsi_convergence5_40
109,buy,-0.004822740000000001,498.0,EURCHF,rsi_convergence5_40
110,buy,-0.004822740000000001,499.0,EURCHF,rsi_convergence5_40
111,buy,-0.004822740000000001,545.0,EURCHF,rsi_convergence5_40
112,buy,-0.004822740000000001,546.0,EURCHF,rsi_convergence5_40
113,buy,-0.004822740000000001,547.0,EURCHF,rsi_convergence5_40
