,action,result,chart_index,symbol,indicator
0,sell,0.004572672,4.0,EURCHF,williams_break
1,buy,-0.004822740000000001,22.0,EURCHF,williams_break
2,buy,-0.004822740000000001,23.0,EURCHF,williams_break
3,sell,0.004572672,30.0,EURCHF,williams_break
4,buy,-0.004822740000000001,31.0,EURCHF,williams_break
5,buy,-0.004822740000000001,32.0,EURCHF,williams_break
6,sell,0.004572672,33.0,EURCHF,williams_break
7,sell,0.004572672,34.0,EURCHF,williams_break
8,buy,-0.004822740000000001,39.0,EURCHF,williams_break
9,sell,0.004572672,40.0,EURCHF,williams_break
10,buy,-0.004822740000000001,41.0,EURCHF,williams_break
11,buy,-0.004822740000000001,42.0,EURCHF,williams_break
12,sell,0.004572672,64.0,EURCHF,williams_break
13,sell,0.004572672,65.0,EURCHF,williams_break
14,buy,-0.004822740000000001,91.0,EURCHF,williams_break
15,buy,-0.004822740000000001,92.0,EURCHF,williams_break
16,sell,0.004572672,96.0,EURCHF,williams_break
17,buy,-0.004822740000000001,97.0,EURCHF,williams_break
18,buy,-0.004822740000000001,98.0,EURCHF,williams_break
19,sell,0.004572672,105.0,EURCHF,williams_break
20,sell,0.004572672,106.0,EURCHF,williams_break
21,buy,0.004572672,122.0,EURCHF,williams_break
22,buy,0.004572672,123.0,EURCHF,williams_break
23,sell,-0.004822740000000001,144.0,EURCHF,williams_break
24,buy,0.004572672,145.0,EURCHF,williams_break
25,buy,0.004572672,146.0,EURCHF,williams_break
26,sell,-0.004822740000000001,147.0,EURCHF,williams_break
27,sell,-0.004822740000000001,148.0,EURCHF,williams_break
28,buy,0.004572672,150.0,EURCHF,williams_break
29,buy,0.004572672,151.0,EURCHF,williams_break
30,sell,0.004572672,168.0,EURCHF,williams_break
31,sell,-0.004822740000000001,169.0,EURCHF,williams_break
32,buy,0.004572672,190.0,EURCHF,williams_break
33,sell,-0.004822740000000001,191.0,EURCHF,williams_break
34,buy,0.004572672,192.0,EURCHF,williams_break
35,buy,0.004572672,193.0,EURCHF,williams_break
36,sell,-0.004822740000000001,209.0,EURCHF,williams_break
37,sell,-0.004822740000000001,210.0,EURCHF,williams_break
38,buy,0.004572672,217.0,EURCHF,williams_break
39,buy,0.004572672,218.0,EURCHF,williams_break
40,sell,-0.004822740000000001,219.0,EURCHF,williams_break
41,sell,-0.004822740000000001,220.0,EURCHF,williams_break
42,buy,0.004572672,226.0,EURCHF,williams_break
43,buy,0.004572672,227.0,EURCHF,williams_break
44,sell,-0.004822740000000001,255.0,EURCHF,williams_break
