,action,result,chart_index,symbol,indicator
0,buy,-0.004822740000000001,0.0,EURCHF,williams_limit
1,buy,-0.004822740000000001,1.0,EURCHF,williams_limit
2,buy,-0.004822740000000001,2.0,EURCHF,williams_limit
3,sell,0.004572672,4.0,EURCHF,williams_limit
4,sell,-0.004822740000000001,13.0,EURCHF,williams_limit
5,sell,-0.004822740000000001,14.0,EURCHF,williams_limit
6,sell,-0.004822740000000001,15.0,EURCHF,williams_limit
7,sell,0.004572672,16.0,EURCHF,williams_limit
8,sell,0.004572672,17.0,EURCHF,williams_limit
9,sell,0.004572672,18.0,EURCHF,williams_limit
10,sell,0.004572672,19.0,EURCHF,williams_limit
11,sell,0.004572672,20.0,EURCHF,williams_limit
12,sell,0.004572672,21.0,EURCHF,williams_limit
13,buy,-0.004822740000000001,22.0,EURCHF,williams_limit
14,buy,-0.004822740000000001,27.0,EURCHF,williams_limit
15,buy,-0.004822740000000001,28.0,EURCHF,williams_limit
16,buy,-0.004822740000000001,29.0,EURCHF,williams_limit
17,sell,0.004572672,30.0,EURCHF,williams_limit
18,buy,-0.004822740000000001,31.0,EURCHF,williams_limit
19,buy,-0.004822740000000001,32.0,EURCHF,williams_limit
20,sell,0.004572672,33.0,EURCHF,williams_limit
21,sell,0.004572672,34.0,EURCHF,williams_limit
22,sell,0.004572672,35.0,EURCHF,williams_limit
23,sell,0.004572672,36.0,EURCHF,williams_limit
24,sell,0.004572672,37.0,EURCHF,williams_limit
25,sell,0.004572672,38.0,EURCHF,williams_limit
26,buy,-0.004822740000000001,39.0,EURCHF,williams_limit
27,sell,0.004572672,40.0,EURCHF,williams_limit
28,buy,-0.004822740000000001,41.0,EURCHF,williams_limit
29,buy,-0.004822740000000001,42.0,EURCHF,williams_limit
30,buy,-0.004822740000000001,43.0,EURCHF,williams_limit
31,buy,-0.004822740000000001,44.0,EURCHF,williams_limit
32,buy,-0.004822740000000001,45.0,EURCHF,williams_limit
33,buy,-0.004822740000000001,46.0,EURCHF,williams_limit
34,buy,-0.004822740000000001,48.0,EURCHF,williams_limit
35,buy,-0.004822740000000001,50.0,EURCHF,williams_limit
36,buy,-0.004822740000000001,52.0,EURCHF,williams_limit
37,buy,-0.004822740000000001,59.0,EURCHF,williams_limit
38,buy,-0.004822740000000001,60.0,EURCHF,williams_limit
39,buy,-0.004822740000000001,61.0,EURCHF,williams_limit
40,buy,-0.004822740000000001,62.0,EURCHF,williams_limit
41,buy,-0.004822740000000001,63.0,EURCHF,williams_limit
42,sell,0.004572672,64.0,EURCHF,williams_limit
43,sell,0.004572672,65.0,EURCHF,williams_limit
44,sell,0.004572672,66.0,EURCHF,williams_limit
45,sell,0.004572672,68.0,EURCHF,williams_limit
46,sell,0.004572672,71.0,EURCHF,williams_limit
47,sell,0.004572672,73.0,EURCHF,williams_limit
48,sell,0.004572672,74.0,EURCHF,williams_limit
49,sell,-0.004822740000000001,81.0,EURCHF,williams_limit
50,sell,0.004572672,82.0,EURCHF,williams_limit
51,sell,0.004572672,83.0,EURCHF,williams_limit
52,sell,0.004572672,84.0,EURCHF,williams_limit
53,sell,0.004572672,85.0,EURCHF,williams_limit
54,sell,0.004572672,86.0,EURCHF,williams_limit
55,sell,0.004572672,87.0,EURCHF,williams_limit
56,sell,0.004572672,88.0,EURCHF,williams_limit
57,sell,0.004572672,89.0,EURCHF,williams_limit
58,sell,0.004572672,90.0,EURCHF,williams_limit
59,buy,-0.004822740000000001,91.0,EURCHF,williams_limit
60,buy,-0.004822740000000001,92.0,EURCHF,williams_limit
61,buy,-0.004822740000000001,94.0,EURCHF,williams_limit
62,buy,-0.004822740000000001,95.0,EURCHF,williams_limit
63,sell,0.004572672,96.0,EURCHF,williams_limit
64,buy,-0.004822740000000001,98.0,EURCHF,williams_limit
65,buy,-0.004822740000000001,99.0,EURCHF,williams_limit
66,buy,-0.004822740000000001,100.0,EURCHF,williams_limit
67,buy,-0.004822740000000001,101.0,EURCHF,williams_limit
68,buy,-0.004822740000000001,103.0,EURCHF,williams_limit
69,buy,-0.004822740000000001,104.0,EURCHF,williams_limit
70,sell,0.004572672,105.0,EURCHF,williams_limit
71,sell,0.004572672,106.0,EURCHF,williams_limit
72,sell,-0.004822740000000001,113.0,EURCHF,williams_limit
73,sell,-0.004822740000000001,118.0,EURCHF,williams_limit
74,sell,-0.004822740000000001,119.0,EURCHF,williams_limit
75,sell,-0.004822740000000001,120.0,EURCHF,williams_limit
76,buy,0.004572672,122.0,EURCHF,williams_limit
77,buy,0.004572672,124.0,EURCHF,williams_limit
78,buy,0.004572672,125.0,EURCHF,williams_limit
79,buy,0.004572672,127.0,EURCHF,williams_limit
80,buy,0.004572672,128.0,EURCHF,williams_limit
81,buy,0.004572672,129.0,EURCHF,williams_limit
82,sell,-0.004822740000000001,144.0,EURCHF,williams_limit
83,buy,0.004572672,145.0,EURCHF,williams_limit
84,buy,0.004572672,146.0,EURCHF,williams_limit
85,sell,-0.004822740000000001,147.0,EURCHF,williams_limit
86,sell,-0.004822740000000001,148.0,EURCHF,williams_limit
87,sell,-0.004822740000000001,149.0,EURCHF,williams_limit
88,sell,0.004572672,168.0,EURCHF,williams_limit
89,sell,-0.004822740000000001,171.0,EURCHF,williams_limit
90,sell,-0.004822740000000001,173.0,EURCHF,williams_limit
91,sell,-0.004822740000000001,188.0,EURCHF,williams_limit
92,sell,-0.004822740000000001,189.0,EURCHF,williams_limit
93,buy,0.004572672,190.0,EURCHF,williams_limit
94,sell,-0.004822740000000001,191.0,EURCHF,williams_limit
95,buy,0.004572672,192.0,EURCHF,williams_limit
96,buy,0.004572672,193.0,EURCHF,williams_limit
97,buy,0.004572672,195.0,EURCHF,williams_limit
98,buy,0.004572672,196.0,EURCHF,williams_limit
99,buy,0.004572672,197.0,EURCHF,williams_limit
100,buy,0.004572672,198.0,EURCHF,williams_limit
101,buy,0.004572672,199.0,EURCHF,williams_limit
102,buy,0.004572672,200.0,EURCHF,williams_limit
103,buy,0.004572672,201.0,EURCHF,williams_limit
104,buy,0.004572672,202.0,EURCHF,williams_limit
105,buy,0.004572672,203.0,EURCHF,williams_limit
106,buy,0.004572672,204.0,EURCHF,williams_limit
107,buy,0.004572672,205.0,EURCHF,williams_limit
108,buy,0.004572672,206.0,EURCHF,williams_limit
109,buy,0.004572672,207.0,EURCHF,williams_limit
110,buy,0.004572672,208.0,EURCHF,williams_limit
111,sell,-0.004822740000000001,209.0,EURCHF,williams_limit
112,sell,-0.004822740000000001,210.0,EURCHF,williams_limit
113,sell,-0.004822740000000001,211.0,EURCHF,williams_limit
114,sell,-0.004822740000000001,212.0,EURCHF,williams_limit
115,sell,-0.004822740000000001,215.0,EURCHF,williams_limit
116,sell,-0.004822740000000001,216.0,EURCHF,williams_limit
117,buy,0.004572672,218.0,EURCHF,williams_limit
118,sell,-0.004822740000000001,219.0,EURCHF,williams_limit
119,sell,-0.004822740000000001,222.0,EURCHF,williams_limit
120,sell,-0.004822740000000001,224.0,EURCHF,williams_limit
121,sell,-0.004822740000000001,225.0,EURCHF,williams_limit
122,buy,0.004572672,226.0,EURCHF,williams_limit
123,buy,0.004572672,236.0,EURCHF,williams_limit
124,buy,0.004572672,237.0,EURCHF,williams_limit
125,buy,0.004572672,240.0,EURCHF,williams_limit
126,buy,0.004572672,243.0,EURCHF,williams_limit
127,buy,0.004572672,245.0,EURCHF,williams_limit
128,buy,0.004572672,251.0,EURCHF,williams_limit
129,buy,0.004572672,252.0,EURCHF,williams_limit
130,buy,0.004572672,253.0,EURCHF,williams_limit
131,buy,0.004572672,254.0,EURCHF,williams_limit
132,sell,-0.004822740000000001,255.0,EURCHF,williams_limit
133,sell,-0.004822740000000001,256.0,EURCHF,williams_limit
134,buy,0.004572672,257.0,EURCHF,williams_limit
135,buy,0.004572672,258.0,EURCHF,williams_limit
136,buy,0.004572672,259.0,EURCHF,williams_limit
137,sell,-0.004822740000000001,260.0,EURCHF,williams_limit
138,sell,-0.004822740000000001,261.0,EURCHF,williams_limit
139,sell,-0.004822740000000001,262.0,EURCHF,williams_limit
140,sell,-0.004822740000000001,263.0,EURCHF,williams_limit
141,sell,-0.004822740000000001,264.0,EURCHF,williams_limit
142,buy,0.004572672,266.0,EURCHF,williams_limit
143,buy,0.004572672,274.0,EURCHF,williams_limit
144,buy,0.004572672,277.0,EURCHF,williams_limit
145,buy,0.004572672,281.0,EURCHF,williams_limit
146,buy,0.004572672,282.0,EURCHF,williams_limit
147,buy,0.004572672,283.0,EURCHF,williams_limit
148,sell,-0.004822740000000001,284.0,EURCHF,williams_limit
149,sell,-0.004822740000000001,285.0,EURCHF,williams_limit
150,buy,0.004572672,288.0,EURCHF,williams_limit
151,buy,-0.004822740000000001,307.0,EURCHF,williams_limit
152,buy,-0.004822740000000001,308.0,EURCHF,williams_limit
153,sell,0.004572672,309.0,EURCHF,williams_limit
154,sell,0.004572672,310.0,EURCHF,williams_limit
155,sell,-0.004822740000000001,311.0,EURCHF,williams_limit
156,sell,-0.004822740000000001,313.0,EURCHF,williams_limit
157,sell,-0.004822740000000001,314.0,EURCHF,williams_limit
158,sell,-0.004822740000000001,320.0,EURCHF,williams_limit
159,sell,-0.004822740000000001,321.0,EURCHF,williams_limit
160,sell,-0.004822740000000001,322.0,EURCHF,williams_limit
161,sell,-0.004822740000000001,323.0,EURCHF,williams_limit
162,sell,-0.004822740000000001,324.0,EURCHF,williams_limit
163,buy,0.004572672,325.0,EURCHF,williams_limit
164,buy,0.004572672,326.0,EURCHF,williams_limit
165,buy,0.004572672,327.0,EURCHF,williams_limit
166,buy,0.004572672,328.0,EURCHF,williams_limit
167,buy,0.004572672,329.0,EURCHF,williams_limit
168,buy,0.004572672,331.0,EURCHF,williams_limit
169,sell,-0.004822740000000001,335.0,EURCHF,williams_limit
170,sell,-0.004822740000000001,336.0,EURCHF,williams_limit
171,buy,0.004572672,337.0,EURCHF,williams_limit
172,buy,0.004572672,343.0,EURCHF,williams_limit
173,buy,0.004572672,346.0,EURCHF,williams_limit
174,buy,0.004572672,352.0,EURCHF,williams_limit
175,buy,0.004572672,353.0,EURCHF,williams_limit
176,sell,-0.004822740000000001,354.0,EURCHF,williams_limit
177,sell,-0.004822740000000001,355.0,EURCHF,williams_limit
178,buy,0.004572672,356.0,EURCHF,williams_limit
179,buy,0.004572672,357.0,EURCHF,williams_limit
180,buy,0.004572672,358.0,EURCHF,williams_limit
181,buy,0.004572672,359.0,EURCHF,williams_limit
182,sell,-0.004822740000000001,363.0,EURCHF,williams_limit
183,sell,-0.004822740000000001,364.0,EURCHF,williams_limit
184,buy,0.004572672,365.0,EURCHF,williams_limit
185,sell,-0.004822740000000001,366.0,EURCHF,williams_limit
186,buy,-0.004822740000000001,368.0,EURCHF,williams_limit
187,buy,-0.004822740000000001,369.0,EURCHF,williams_limit
188,buy,0.004572672,370.0,EURCHF,williams_limit
189,buy,-0.004822740000000001,371.0,EURCHF,williams_limit
190,buy,-0.004822740000000001,372.0,EURCHF,williams_limit
191,buy,-0.004822740000000001,373.0,EURCHF,williams_limit
192,buy,-0.004822740000000001,375.0,EURCHF,williams_limit
193,buy,-0.004822740000000001,377.0,EURCHF,williams_limit
194,sell,-0.004822740000000001,378.0,EURCHF,williams_limit
195,sell,-0.004822740000000001,379.0,EURCHF,williams_limit
196,sell,-0.004822740000000001,380.0,EURCHF,williams_limit
197,sell,-0.004822740000000001,381.0,EURCHF,williams_limit
198,sell,-0.004822740000000001,384.0,EURCHF,williams_limit
199,sell,-0.004822740000000001,386.0,EURCHF,williams_limit
200,sell,-0.004822740000000001,387.0,EURCHF,williams_limit
201,buy,-0.004822740000000001,389.0,EURCHF,williams_limit
202,buy,-0.004822740000000001,390.0,EURCHF,williams_limit
203,buy,-0.004822740000000001,391.0,EURCHF,williams_limit
204,sell,0.004572672,392.0,EURCHF,williams_limit
205,sell,-0.004822740000000001,393.0,EURCHF,williams_limit
206,sell,-0.004822740000000001,394.0,EURCHF,williams_limit
207,buy,-0.004822740000000001,395.0,EURCHF,williams_limit
208,sell,-0.004822740000000001,396.0,EURCHF,williams_limit
209,sell,-0.004822740000000001,397.0,EURCHF,williams_limit
210,sell,-0.004822740000000001,398.0,EURCHF,williams_limit
211,sell,0.004572672,399.0,EURCHF,williams_limit
212,sell,-0.004822740000000001,400.0,EURCHF,williams_limit
213,sell,-0.004822740000000001,403.0,EURCHF,williams_limit
214,sell,-0.004822740000000001,404.0,EURCHF,williams_limit
215,buy,-0.004822740000000001,405.0,EURCHF,williams_limit
216,buy,-0.004822740000000001,407.0,EURCHF,williams_limit
217,sell,-0.004822740000000001,413.0,EURCHF,williams_limit
218,sell,-0.004822740000000001,415.0,EURCHF,williams_limit
219,sell,-0.004822740000000001,416.0,EURCHF,williams_limit
220,sell,-0.004822740000000001,417.0,EURCHF,williams_limit
221,sell,-0.004822740000000001,418.0,EURCHF,williams_limit
222,sell,-0.004822740000000001,419.0,EURCHF,williams_limit
223,buy,0.004572672,420.0,EURCHF,williams_limit
224,buy,0.004572672,421.0,EURCHF,williams_limit
225,buy,0.004572672,423.0,EURCHF,williams_limit
226,buy,0.004572672,424.0,EURCHF,williams_limit
227,buy,0.004572672,427.0,EURCHF,williams_limit
228,buy,0.004572672,430.0,EURCHF,williams_limit
229,buy,0.004572672,431.0,EURCHF,williams_limit
230,buy,0.004572672,432.0,EURCHF,williams_limit
231,sell,-0.004822740000000001,433.0,EURCHF,williams_limit
232,sell,-0.004822740000000001,434.0,EURCHF,williams_limit
233,sell,-0.004822740000000001,439.0,EURCHF,williams_limit
234,buy,0.004572672,440.0,EURCHF,williams_limit
235,buy,0.004572672,441.0,EURCHF,williams_limit
236,buy,0.004572672,453.0,EURCHF,williams_limit
237,buy,0.004572672,454.0,EURCHF,williams_limit
238,buy,0.004572672,456.0,EURCHF,williams_limit
239,sell,-0.004822740000000001,457.0,EURCHF,williams_limit
240,buy,0.004572672,458.0,EURCHF,williams_limit
241,buy,0.004572672,461.0,EURCHF,williams_limit
242,buy,0.004572672,464.0,EURCHF,williams_limit
243,buy,0.004572672,465.0,EURCHF,williams_limit
244,buy,-0.004822740000000001,466.0,EURCHF,williams_limit
245,sell,-0.004822740000000001,467.0,EURCHF,williams_limit
246,buy,-0.004822740000000001,468.0,EURCHF,williams_limit
247,buy,0.004572672,469.0,EURCHF,williams_limit
248,sell,-0.004822740000000001,470.0,EURCHF,williams_limit
249,buy,0.004572672,471.0,EURCHF,williams_limit
250,buy,0.004572672,472.0,EURCHF,williams_limit
251,buy,0.004572672,473.0,EURCHF,williams_limit
252,buy,-0.004822740000000001,474.0,EURCHF,williams_limit
253,buy,-0.004822740000000001,475.0,EURCHF,williams_limit
254,buy,-0.004822740000000001,476.0,EURCHF,williams_limit
255,buy,-0.004822740000000001,477.0,EURCHF,williams_limit
256,buy,-0.004822740000000001,478.0,EURCHF,williams_limit
257,buy,-0.004822740000000001,479.0,EURCHF,williams_limit
258,buy,-0.004822740000000001,480.0,EURCHF,williams_limit
259,sell,-0.004822740000000001,481.0,EURCHF,williams_limit
260,sell,-0.004822740000000001,483.0,EURCHF,williams_limit
261,sell,-0.004822740000000001,484.0,EURCHF,williams_limit
262,buy,0.004572672,485.0,EURCHF,williams_limit
263,buy,0.004572672,486.0,EURCHF,williams_limit
264,buy,0.004572672,487.0,EURCHF,williams_limit
265,buy,0.004572672,488.0,EURCHF,williams_limit
266,buy,-0.004822740000000001,489.0,EURCHF,williams_limit
267,buy,-0.004822740000000001,490.0,EURCHF,williams_limit
268,buy,-0.004822740000000001,494.0,EURCHF,williams_limit
269,buy,-0.004822740000000001,497.0,EURCHF,williams_limit
270,buy,-0.004822740000000001,498.0,EURCHF,williams_limit
271,buy,-0.004822740000000001,499.0,EURCHF,williams_limit
272,buy,-0.004822740000000001,500.0,EURCHF,williams_limit
273,buy,-0.004822740000000001,501.0,EURCHF,williams_limit
274,buy,-0.004822740000000001,502.0,EURCHF,williams_limit
275,buy,-0.004822740000000001,503.0,EURCHF,williams_limit
276,buy,-0.004822740000000001,504.0,EURCHF,williams_limit
277,buy,-0.004822740000000001,505.0,EURCHF,williams_limit
278,buy,-0.004822740000000001,506.0,EURCHF,williams_limit
279,buy,-0.004822740000000001,508.0,EURCHF,williams_limit
280,buy,-0.004822740000000001,510.0,EURCHF,williams_limit
281,sell,0.004572672,511.0,EURCHF,williams_limit
282,sell,0.004572672,512.0,EURCHF,williams_limit
283,sell,0.004572672,513.0,EURCHF,williams_limit
284,sell,0.004572672,514.0,EURCHF,williams_limit
285,sell,0.004572672,515.0,EURCHF,williams_limit
286,buy,-0.004822740000000001,516.0,EURCHF,williams_limit
287,buy,-0.004822740000000001,517.0,EURCHF,williams_limit
288,sell,0.004572672,518.0,EURCHF,williams_limit
289,sell,0.004572672,519.0,EURCHF,williams_limit
290,sell,0.004572672,520.0,EURCHF,williams_limit
291,sell,0.004572672,521.0,EURCHF,williams_limit
292,buy,-0.004822740000000001,522.0,EURCHF,williams_limit
293,buy,-0.004822740000000001,523.0,EURCHF,williams_limit
294,buy,-0.004822740000000001,527.0,EURCHF,williams_limit
295,buy,-0.004822740000000001,528.0,EURCHF,williams_limit
296,sell,0.004572672,529.0,EURCHF,williams_limit
297,buy,-0.004822740000000001,531.0,EURCHF,williams_limit
298,buy,-0.004822740000000001,533.0,EURCHF,williams_limit
299,buy,-0.004822740000000001,534.0,EURCHF,williams_limit
300,buy,-0.004822740000000001,535.0,EURCHF,williams_limit
301,buy,-0.004822740000000001,536.0,EURCHF,williams_limit
302,buy,-0.004822740000000001,537.0,EURCHF,williams_limit
303,buy,-0.004822740000000001,539.0,EURCHF,williams_limit
304,buy,-0.004822740000000001,540.0,EURCHF,williams_limit
305,buy,-0.004822740000000001,541.0,EURCHF,williams_limit
306,buy,-0.004822740000000001,542.0,EURCHF,williams_limit
307,buy,-0.004822740000000001,544.0,EURCHF,williams_limit
308,buy,-0.004822740000000001,545.0,EURCHF,williams_limit
309,buy,-0.004822740000000001,546.0,EURCHF,williams_limit
310,buy,-0.004822740000000001,547.0,EURCHF,williams_limit
311,sell,0.004572672,548.0,EURCHF,williams_limit
312,sell,0.004572672,549.0,EURCHF,williams_limit
313,sell,0.004572672,553.0,EURCHF,williams_limit
