Date,Open,High,Low,Close,Volume
01/05/2023,"210.80","211.05","208.75","209.55","753,061"
01/04/2023,"205.60","211.65","205.55","211.50","1,561,576"
01/03/2023,"202.35","205.95","202.30","205.20","747,880"
01/02/2023,"201.50","203.20","200.70","203.05","513,902"
12/30/2022,"202.05","202.65","200.90","200.90","406,135"
12/29/2022,"200.85","203.70","200.70","203.70","430,226"
12/28/2022,"203.60","203.75","202.15","202.15","359,995"
12/27/2022,"203.80","203.80","202.50","203.05","309,934"
12/23/2022,"203.10","203.20","201.45","202.20","338,205"
12/22/2022,"204.00","205.40","201.95","202.55","558,340"
12/21/2022,"200.20","204.00","199.70","203.70","634,649"
12/20/2022,"198.56","201.50","198.00","200.00","586,654"
12/19/2022,"198.36","200.05","198.12","199.32","688,093"
12/16/2022,"199.00","199.78","197.30","197.86","2,387,673"
12/15/2022,"203.00","203.80","198.48","198.86","1,594,215"
12/14/2022,"205.20","205.20","203.25","204.00","969,573"
12/13/2022,"203.95","206.35","202.90","205.45","1,076,314"
12/12/2022,"204.10","204.30","202.90","202.90","733,893"
12/09/2022,"204.30","205.05","202.55","204.70","865,589"
12/08/2022,"203.80","204.80","203.30","203.65","793,668"
12/07/2022,"203.55","204.95","202.85","203.65","1,213,896"
12/06/2022,"202.95","205.20","202.65","203.40","1,030,150"
12/05/2022,"202.00","204.20","201.75","203.00","651,682"
12/02/2022,"203.10","203.50","200.70","202.65","1,114,498"
12/01/2022,"204.70","205.20","202.15","203.75","899,019"
11/30/2022,"206.45","206.85","203.10","204.35","1,864,095"
11/29/2022,"204.00","206.60","203.95","205.60","1,085,146"
11/28/2022,"204.60","205.35","202.90","203.80","970,797"
11/25/2022,"205.60","205.75","203.85","205.35","866,998"
11/24/2022,"205.05","206.55","204.90","204.95","788,197"
11/23/2022,"205.30","205.75","204.10","204.35","636,122"
11/22/2022,"204.05","205.70","203.35","204.75","747,912"
11/21/2022,"203.35","203.90","202.60","203.50","622,826"
11/18/2022,"202.95","204.95","202.60","203.95","1,444,425"
11/17/2022,"203.00","203.75","198.92","201.65","904,601"
11/16/2022,"200.40","203.10","200.10","202.25","1,015,861"
11/15/2022,"202.70","203.40","199.02","200.15","1,345,312"
11/14/2022,"202.00","204.10","199.86","202.00","1,222,427"
11/11/2022,"200.00","201.45","198.42","200.65","1,570,501"
11/10/2022,"189.00","200.05","189.00","200.05","2,376,587"
11/09/2022,"189.48","189.48","187.70","188.92","696,967"
11/08/2022,"186.80","188.56","186.58","188.36","642,612"
11/07/2022,"187.28","191.14","187.10","187.34","985,835"
11/04/2022,"186.00","188.90","185.18","188.14","953,977"
11/03/2022,"183.50","185.88","183.46","185.38","734,559"
11/02/2022,"184.98","186.10","184.70","184.86","837,546"
11/01/2022,"183.92","185.20","183.54","184.32","714,016"
