Date,open,high,low,close
20220102 171000,0.839370,0.839590,0.839370,0.839590,0
20220102 171100,0.839590,0.839590,0.839460,0.839540,0
20220102 171200,0.839540,0.839540,0.839540,0.839540,0
20220102 171400,0.839100,0.839740,0.839060,0.839740,0
20220102 171500,0.839740,0.839850,0.839740,0.839850,0
20220102 171600,0.839880,0.839890,0.839880,0.839890,0
20220102 171900,0.839920,0.839920,0.839920,0.839920,0
20220102 172100,0.839920,0.839920,0.839870,0.839900,0
20220102 172300,0.839900,0.839900,0.839900,0.839900,0
20220102 172400,0.839900,0.839900,0.839900,0.839900,0
20220102 172500,0.839900,0.839900,0.839900,0.839900,0
20220102 172600,0.839900,0.839930,0.839870,0.839930,0
20220102 172700,0.839930,0.839930,0.839930,0.839930,0
20220102 173000,0.840090,0.840110,0.839930,0.840090,0
20220102 173100,0.840110,0.840110,0.839930,0.839940,0
20220102 173200,0.839940,0.839940,0.839940,0.839940,0
20220102 173300,0.839940,0.839940,0.839940,0.839940,0
20220102 173600,0.839940,0.839940,0.839940,0.839940,0
20220102 173700,0.839940,0.839940,0.839940,0.839940,0
20220102 174000,0.839940,0.840150,0.839940,0.840150,0
20220102 174100,0.840150,0.840230,0.839870,0.840130,0
20220102 174200,0.840150,0.840170,0.840130,0.840160,0
20220102 174300,0.840010,0.840140,0.839960,0.840130,0
20220102 174400,0.840130,0.840160,0.840000,0.840130,0
20220102 174500,0.840130,0.840740,0.840130,0.840610,0
20220102 174600,0.840600,0.840970,0.840330,0.840950,0
20220102 174700,0.840950,0.841210,0.840340,0.840340,0
20220102 174800,0.840340,0.840940,0.840330,0.840340,0
20220102 174900,0.840330,0.840800,0.840300,0.840300,0
20220102 175000,0.840310,0.840870,0.840300,0.840310,0
20220102 175100,0.840310,0.840910,0.840300,0.840300,0
20220102 175200,0.840310,0.840790,0.840300,0.840300,0
20220102 175300,0.840310,0.840820,0.840310,0.840340,0
20220102 175400,0.840330,0.840740,0.840240,0.840460,0
20220102 175500,0.840230,0.840480,0.840230,0.840240,0
20220102 175600,0.840470,0.840500,0.840240,0.840260,0
20220102 175700,0.840470,0.840560,0.840240,0.840560,0
20220102 175800,0.840550,0.840750,0.840250,0.840250,0
20220102 175900,0.840240,0.840270,0.840240,0.840250,0
20220102 180000,0.840050,0.840400,0.839940,0.840360,0
20220102 180100,0.840370,0.840480,0.840260,0.840440,0
20220102 180200,0.840460,0.840670,0.840460,0.840640,0
20220102 180300,0.840630,0.840810,0.840590,0.840800,0
20220102 180400,0.840790,0.840850,0.840730,0.840790,0
20220102 180500,0.840800,0.840810,0.840690,0.840720,0
20220102 180600,0.840730,0.840810,0.840730,0.840770,0
20220102 180700,0.840780,0.840780,0.840740,0.840780,0
20220102 180800,0.840770,0.840780,0.840690,0.840710,0
20220102 180900,0.840720,0.840820,0.840720,0.840810,0
20220102 181000,0.840790,0.840790,0.840690,0.840690,0
20220102 181100,0.840690,0.840720,0.840670,0.840720,0
20220102 181200,0.840710,0.840720,0.840690,0.840700,0
20220102 181300,0.840710,0.840730,0.840700,0.840700,0
20220102 181400,0.840740,0.840740,0.840700,0.840700,0
20220102 181500,0.840710,0.840880,0.840710,0.840840,0
20220102 181600,0.840830,0.840840,0.840680,0.840690,0
20220102 181700,0.840690,0.840720,0.840690,0.840700,0
20220102 181800,0.840720,0.840790,0.840710,0.840730,0
20220102 181900,0.840720,0.840720,0.840650,0.840690,0
20220102 182000,0.840700,0.840700,0.840660,0.840690,0
20220102 182100,0.840700,0.840730,0.840660,0.840660,0
20220102 182200,0.840670,0.840670,0.840650,0.840650,0
20220102 182300,0.840640,0.840720,0.840640,0.840700,0
20220102 182400,0.840700,0.840740,0.840700,0.840730,0
20220102 182500,0.840720,0.840790,0.840710,0.840780,0
20220102 182600,0.840770,0.840790,0.840750,0.840760,0
20220102 182700,0.840750,0.840830,0.840750,0.840830,0
20220102 182800,0.840820,0.840850,0.840820,0.840840,0
20220102 182900,0.840830,0.840880,0.840830,0.840880,0
20220102 183000,0.840880,0.840890,0.840660,0.840690,0
20220102 183100,0.840690,0.840720,0.840650,0.840700,0
20220102 183200,0.840720,0.840810,0.840720,0.840800,0
20220102 183300,0.840800,0.840850,0.840790,0.840850,0
20220102 183400,0.840870,0.840870,0.840840,0.840860,0
20220102 183500,0.840880,0.840900,0.840860,0.840870,0
20220102 183600,0.840860,0.840890,0.840860,0.840860,0
20220102 183700,0.840870,0.840880,0.840850,0.840860,0
20220102 183800,0.840880,0.840950,0.840870,0.840900,0
20220102 183900,0.840920,0.840980,0.840900,0.840970,0
20220102 184000,0.840980,0.841000,0.840900,0.840900,0
20220102 184100,0.840910,0.840920,0.840880,0.840910,0
20220102 184200,0.840900,0.840920,0.840880,0.840890,0
20220102 184300,0.840870,0.840910,0.840870,0.840900,0
20220102 184400,0.840910,0.840910,0.840910,0.840910,0
20220102 184500,0.840900,0.840920,0.840830,0.840840,0
20220102 184600,0.840840,0.840910,0.840840,0.840900,0
20220102 184700,0.840890,0.840940,0.840890,0.840920,0
20220102 184800,0.840900,0.840990,0.840900,0.840960,0
20220102 184900,0.840970,0.840990,0.840830,0.840830,0
20220102 185000,0.840840,0.840910,0.840830,0.840910,0
20220102 185100,0.840920,0.840940,0.840920,0.840940,0
20220102 185200,0.840940,0.840940,0.840920,0.840930,0
20220102 185300,0.840930,0.840950,0.840920,0.840930,0
20220102 185400,0.840930,0.840940,0.840890,0.840900,0
20220102 185500,0.840900,0.840930,0.840870,0.840870,0
20220102 185600,0.840870,0.840980,0.840870,0.840980,0
20220102 185700,0.840980,0.841030,0.840980,0.841030,0
20220102 185800,0.841040,0.841040,0.841010,0.841020,0
20220102 185900,0.841030,0.841030,0.841030,0.841030,0
20220102 190000,0.841030,0.841090,0.841030,0.841070,0
20220102 190100,0.841090,0.841090,0.841070,0.841080,0
20220102 190200,0.841070,0.841080,0.841050,0.841060,0
20220102 190300,0.841060,0.841070,0.841030,0.841030,0
20220102 190400,0.841050,0.841060,0.841040,0.841050,0
20220102 190500,0.841060,0.841060,0.841060,0.841060,0
20220102 190600,0.841060,0.841120,0.841040,0.841040,0
20220102 190700,0.841050,0.841200,0.841040,0.841140,0
20220102 190800,0.841100,0.841100,0.841040,0.841040,0
20220102 190900,0.841040,0.841050,0.841000,0.841010,0
20220102 191000,0.841000,0.841010,0.840990,0.840990,0
20220102 191100,0.840990,0.841030,0.840950,0.841020,0
20220102 191200,0.841000,0.841000,0.840890,0.840890,0
20220102 191300,0.840890,0.840890,0.840850,0.840880,0
20220102 191400,0.840880,0.840890,0.840860,0.840880,0
20220102 191500,0.840870,0.840880,0.840830,0.840880,0
20220102 191600,0.840890,0.840890,0.840790,0.840790,0
