iter	Passed	Remaining
0	7	1453
1	13	1339
2	19	1289
3	26	1275
4	32	1248
5	38	1239
6	44	1219
7	49	1197
8	55	1181
9	61	1165
10	66	1147
11	72	1136
12	78	1122
13	83	1113
14	89	1099
15	94	1088
16	100	1078
17	105	1067
18	110	1055
19	116	1046
20	121	1034
21	126	1024
22	131	1014
23	137	1004
24	142	995
25	147	988
26	152	979
27	158	970
28	163	962
29	168	954
30	173	946
31	178	939
32	184	931
33	189	923
34	194	918
35	200	913
36	205	906
37	211	900
38	216	893
39	221	887
40	227	880
41	232	875
42	237	868
43	242	861
44	248	855
45	253	848
46	258	842
47	263	835
48	269	830
49	274	823
50	280	818
51	285	812
52	290	805
53	296	801
54	302	797
55	308	792
56	313	787
57	319	782
58	325	776
59	330	770
60	336	765
61	341	760
62	346	754
63	351	747
64	357	741
65	362	735
66	366	728
67	371	722
68	377	715
69	382	710
70	388	705
71	393	699
72	398	694
73	404	688
74	409	682
75	414	676
76	420	671
77	425	665
78	430	659
79	436	654
80	441	647
81	446	641
82	451	636
83	456	629
84	461	624
85	466	617
86	471	611
87	476	605
88	480	599
89	485	593
90	490	587
91	495	581
92	500	575
93	505	569
94	509	563
95	514	557
96	519	551
97	524	545
98	529	540
99	534	534
100	539	528
101	544	522
102	548	517
103	553	511
104	558	505
105	563	499
106	568	493
107	573	488
108	578	482
109	582	476
110	587	471
111	592	465
112	597	460
113	602	454
114	607	449
115	612	443
116	618	438
117	623	433
118	628	428
119	635	423
120	641	418
121	646	413
122	651	407
123	656	402
124	661	397
125	666	391
126	673	386
127	678	381
128	684	376
129	692	372
130	699	368
131	706	363
132	712	358
133	719	354
134	725	349
135	730	343
136	736	338
137	742	333
138	748	328
139	755	323
140	762	319
141	769	314
142	775	309
143	781	304
144	787	298
145	794	293
146	800	288
147	806	283
148	812	277
149	817	272
150	823	267
151	829	261
152	835	256
153	840	251
154	846	245
155	852	240
156	857	234
157	864	229
158	870	224
159	875	218
160	881	213
161	887	208
162	892	202
163	898	197
164	903	191
165	909	186
166	914	180
167	920	175
168	926	169
169	931	164
170	937	159
171	943	153
172	950	148
173	956	142
174	961	137
175	967	131
176	973	126
177	980	121
178	987	115
179	993	110
180	1001	105
181	1008	99
182	1016	94
183	1023	89
184	1030	83
185	1035	77
186	1041	72
187	1048	66
188	1053	61
189	1058	55
190	1064	50
191	1070	44
192	1076	39
193	1082	33
194	1087	27
195	1093	22
196	1100	16
197	1105	11
198	1111	5
199	1117	0
