Features,Best Model,Train Precision,Train Reward,Test Precision,Test Reward,Best Threshold
"('cci_4h', 'macd_slope_4h', 'macd_slope')",XGBClassifier,0.27419354838709675,-56,0.24,-13,0.55
"('bb_sqeeze_both_direction_4h', 'macd_max_4h', 'macd_slope')",XGBClassifier,0.18378591105863834,-3214,0.1803405572755418,-826,0.5
"('bb_middle_crossing', 'adx_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.22735346358792186,-614,0.22033898305084745,-165,0.55
"('macd_zero', 'macd_convergence', 'rsi_convergence5_40')",XGBClassifier,0.2099337748344371,-876,0.23404255319148937,-225,0.55
"('bb_sqeeze_both_direction_4h', 'rsi', 'adx_max_4h')",XGBClassifier,0.21169354838709678,-286,0.18461538461538463,-82,0.55
"('rsi_break_4h', 'macd', 'adx_4h')",XGBClassifier,0.17451341399263545,-4950,0.17888715548621945,-1235,0.5
"('rsi_break_4h', 'adx_max_48', 'macd')",XGBClassifier,0.17398269785325216,-4070,0.16933932007697242,-1031,0.5
"('cci_4h', 'rsi', 'adx_max_4h')",XGBClassifier,0.2727272727272727,-5,0.4,-1,0.6
"('macd_zero', 'rsi_limit_4h', 'ema_10_50')",XGBClassifier,0.17874753451676528,-5212,0.18173076923076922,-1324,0.5
"('rsi_convergence', 'squeeze_momentum', 'macd_slope')",XGBClassifier,0.20730797912005966,-785,0.25274725274725274,-180,0.55
"('adx_max_48', 'ema_10_50', 'rsi_convergence5_40')",XGBClassifier,0.21299638989169675,-159,0.1780821917808219,-47,0.55
"('cci_4h', 'macd_max_4h', 'williams_limit_4h')",XGBClassifier,0.2857142857142857,-33,0.3157894736842105,-7,0.55
"('macd_zero', 'williams_break', 'candle_4h')",XGBClassifier,0.23645320197044334,-107,0.28846153846153844,-22,0.6
"('macd', 'williams_break', 'adx_4h')",XGBClassifier,0.27181208053691275,-136,0.22448979591836735,-54,0.6
"('adx_max_48', 'bb_sqeeze_both_direction', 'adx_max_21')",XGBClassifier,0.17376749847839318,-4288,0.1936829558998808,-1028,0.5
"('bb_sqeeze_both_direction_4h', 'macd_slope', 'williams_limit_4h')",XGBClassifier,0.182805768870575,-3387,0.17913832199546487,-849,0.5
"('macd_convergence', 'bb_sqeeze_both_direction_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.32926829268292684,-28,0.2608695652173913,-11,0.6
"('bb_sqeeze_both_direction_4h', 'squeeze_momentum', 'candle_4h')",XGBClassifier,0.18082936777702244,-2817,0.18238993710691823,-707,0.5
"('macd_zero', 'rsi_convergence', 'adx_4h')",XGBClassifier,0.2915129151291513,-113,0.3058823529411765,-33,0.55
"('macd', 'adx_4h', 'adx_max_4h')",XGBClassifier,0.17524271844660194,-5352,0.17940038684719536,-1326,0.5
"('rsi_break_4h', 'adx_4h', 'rsi_convergence5_40')",XGBClassifier,0.23469387755102042,-260,0.2535211267605634,-70,0.55
"('rsi_break_4h', 'macd_max_4h', 'macd_slope')",XGBClassifier,0.17718480869687986,-4573,0.17466517857142858,-1166,0.5
"('adx_max_48', 'rsi_convergence5_40', 'williams_limit_4h')",XGBClassifier,0.17906137184115523,-2667,0.17743490838958534,-669,0.5
"('cci_4h', 'williams_break', 'adx_4h')",XGBClassifier,0.2609603340292276,-229,0.24113475177304963,-73,0.6
"('ema_10_50', 'adx_max_21', 'williams_limit_4h')",XGBClassifier,0.2631578947368421,-72,0.16326530612244897,-33,0.55
"('macd_convergence', 'rsi_break_4h', 'squeeze_momentum')",XGBClassifier,0.27692307692307694,-29,0.23809523809523808,-11,0.55
"('macd_zero', 'cci_4h', 'adx_max_4h')",XGBClassifier,0.21311475409836064,-770,0.20579710144927535,-203,0.55
"('bb_middle_crossing', 'rsi_convergence', 'ema_20_channel')",XGBClassifier,0.36283185840707965,-31,0.3103448275862069,-11,0.6
"('rsi_break_4h', 'adx_max_48', 'adx_max_21')",XGBClassifier,0.30303030303030304,-13,0.125,-6,0.55
"('macd_max', 'rsi_break_4h', 'ema_20_channel')",XGBClassifier,0.2571428571428571,-68,0.17073170731707318,-27,0.55
"('rsi_break_4h', 'candle_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.17590515860301187,-4046,0.18389346861128725,-997,0.5
"('bb_sqeeze_both_direction_4h', 'williams_break', 'adx_max_21')",XGBClassifier,0.24511930585683298,-470,0.24019607843137256,-106,0.55
"('bb_sqeeze_both_direction_4h', 'rsi_limit_4h', 'bb_middle_crossing')",XGBClassifier,0.24758454106280192,-418,0.23857868020304568,-103,0.55
"('rsi_convergence', 'williams_break', 'adx_max_21')",XGBClassifier,0.30718954248366015,-59,0.358974358974359,-11,0.6
"('macd_convergence', 'macd_slope', 'williams_limit_4h')",XGBClassifier,0.3089887640449438,-68,0.30952380952380953,-16,0.6
"('candle_4h', 'rsi_convergence5_40', 'williams_limit_4h')",XGBClassifier,0.18167661562418894,-2453,0.175,-624,0.5
"('rsi', 'adx_max_48', 'adx_max_21')",XGBClassifier,0.16985729202923774,-3794,0.17537826685006877,-944,0.5
"('macd', 'squeeze_momentum', 'ema_10_50')",RandomForestClassifier,0.6,1,0.0,0,0.45
"('bb_sqeeze_both_direction_4h', 'squeeze_momentum', 'adx_max_21')",XGBClassifier,0.17338451695457455,-5105,0.18024439918533605,-1256,0.5
"('squeeze_momentum', 'ema_10_50', 'macd_slope')",XGBClassifier,0.212,-144,0.2553191489361702,-23,0.55
"('macd_zero', 'cci_4h', 'williams_break')",XGBClassifier,0.2304015296367113,-564,0.23170731707317074,-132,0.6
"('adx_max_48', 'ema_10_50', 'adx_max_21')",XGBClassifier,0.17431706224809673,-5818,0.1792411687745312,-1471,0.45
"('macd_zero', 'bb_sqeeze_both_direction_4h', 'adx_4h')",XGBClassifier,0.22448979591836735,-945,0.23126338329764454,-251,0.55
"('adx_slope', 'macd', 'bb_middle_crossing')",XGBClassifier,0.30319148936170215,-74,0.3488372093023256,-13,0.55
"('macd_convergence', 'williams_break', 'ema_20_channel')",XGBClassifier,0.2985781990521327,-85,0.3142857142857143,-26,0.6
"('macd_max_4h', 'ema_20_channel', 'macd_slope_4h')",XGBClassifier,0.2727272727272727,-40,0.3333333333333333,-5,0.6
"('bb_sqeeze_both_direction_4h', 'macd_max_4h', 'adx_4h')",XGBClassifier,0.20853080568720378,-123,0.34,-16,0.55
"('macd_convergence', 'bb_middle_crossing', 'bb_middle_crossing_4h')",XGBClassifier,0.3490566037735849,-64,0.375,-14,0.6
"('squeeze_momentum', 'adx_4h', 'adx_max_4h')",XGBClassifier,0.1843422849340009,-2774,0.18983957219251338,-696,0.5
"('adx_4h', 'candle_4h', 'williams_limit_4h')",XGBClassifier,0.183187946074544,-3196,0.18968253968253967,-782,0.5
"('cci', 'ema_20_channel', 'bb_sqeeze_both_direction')",XGBClassifier,0.2727272727272727,-65,0.19230769230769232,-32,0.55
"('macd_zero', 'adx_max_48', 'bb_middle_crossing')",XGBClassifier,0.2359081419624217,-506,0.22433460076045628,-145,0.55
"('cci_4h', 'macd_slope', 'adx')",XGBClassifier,0.17707618393960192,-4705,0.18211206896551724,-1180,0.5
"('macd_zero', 'ema_10_50', 'williams_limit_4h')",XGBClassifier,0.17822237553179257,-5597,0.18246869409660108,-1420,0.45
"('rsi_break_4h', 'squeeze_momentum', 'adx_max_21')",XGBClassifier,0.5,0,0.0,-2,0.6
"('macd_convergence', 'cci_4h', 'williams_break')",XGBClassifier,0.2985781990521327,-85,0.3142857142857143,-26,0.6
"('macd_convergence', 'ema_20_channel', 'williams_limit_4h')",XGBClassifier,0.25363825363825365,-237,0.2916666666666667,-50,0.6
"('adx_max_48', 'adx_4h', 'adx_max_4h')",XGBClassifier,0.3333333333333333,-5,0.6666666666666666,2,0.6
"('macd', 'adx_max_21', 'macd_slope')",XGBClassifier,0.20165289256198346,-361,0.19135802469135801,-100,0.55
"('adx_slope', 'rsi_break_4h', 'williams_limit_4h')",XGBClassifier,0.25170998632010944,-363,0.2342857142857143,-93,0.55
"('bb_middle_crossing', 'squeeze_momentum', 'rsi_convergence5_40')",XGBClassifier,0.2482758620689655,-146,0.24096385542168675,-43,0.6
"('rsi_limit_4h', 'rsi', 'adx_max_4h')",XGBClassifier,0.20600858369098712,-274,0.2032520325203252,-73,0.55
"('adx_slope', 'rsi', 'adx_max_48')",XGBClassifier,0.19332679097154074,-2500,0.20235756385068762,-606,0.5
"('macd_max', 'cci', 'rsi_limit_4h')",XGBClassifier,0.17316319409829528,-6557,0.18570287539936103,-1574,0.45
"('rsi_convergence', 'williams_break', 'williams_limit_4h')",XGBClassifier,0.30718954248366015,-59,0.358974358974359,-11,0.6
"('macd_convergence', 'adx_max_21', 'macd_slope')",XGBClassifier,0.23648648648648649,-312,0.25882352941176473,-82,0.6
"('macd_zero', 'bb_sqeeze_both_direction_4h', 'ema_20_channel')",XGBClassifier,0.20810514786418402,-533,0.16289592760180996,-149,0.55
"('bb_middle_crossing', 'squeeze_momentum', 'adx_max_4h')",XGBClassifier,0.3595505617977528,-25,0.3125,-6,0.55
"('rsi', 'squeeze_momentum', 'macd_max_4h')",XGBClassifier,0.2727272727272727,-45,0.21052631578947367,-11,0.6
"('rsi_break_4h', 'adx_4h', 'candle_4h')",XGBClassifier,0.17582994357695841,-4941,0.18522372528616024,-1210,0.5
"('bb_sqeeze_both_direction_4h', 'adx_max_48', 'macd_max_4h')",XGBClassifier,0.16785873938310236,-5944,0.17631224764468373,-1443,0.5
"('bb_sqeeze_both_direction_4h', 'rsi_limit_4h', 'williams_break')",XGBClassifier,0.23041894353369763,-592,0.23107569721115537,-135,0.55
"('macd_zero', 'squeeze_momentum', 'adx_4h')",XGBClassifier,0.31496062992125984,-47,0.36363636363636365,-12,0.55
"('ema_20_channel', 'adx_4h', 'williams_limit_4h')",XGBClassifier,0.17876907596847225,-3831,0.18606224627875506,-928,0.5
"('adx_max_48', 'ema_10_50', 'bb_sqeeze_both_direction')",XGBClassifier,0.18081337678900383,-4505,0.18992248062015504,-1120,0.5
"('rsi_limit_4h', 'rsi', 'squeeze_momentum')",XGBClassifier,0.23425692695214106,-211,0.2037037037037037,-64,0.55
"('rsi', 'macd_max_4h', 'ema_10_50')",XGBClassifier,0.1743406347787215,-5828,0.17959895379250218,-1470,0.5
"('macd_max', 'macd_convergence', 'rsi_convergence5_40')",XGBClassifier,0.17331608795144762,-6567,0.1853328019131128,-1579,0.45
"('cci', 'macd_slope_4h', 'williams_limit_4h')",XGBClassifier,0.2777777777777778,-16,0.1,-8,0.6
"('macd_max', 'macd', 'adx_max_21')",XGBClassifier,0.1816891412349184,-3588,0.1829787234042553,-894,0.5
"('ema_10_50', 'macd_slope_4h', 'adx_max_4h')",XGBClassifier,0.22181818181818183,-153,0.2459016393442623,-31,0.55
"('macd_max', 'cci_4h', 'macd_slope')",XGBClassifier,0.1778486581610207,-5858,0.18739054290718038,-1428,0.45
"('macd_max', 'bb_middle_crossing', 'macd_max_4h')",XGBClassifier,0.29245283018867924,-44,0.2692307692307692,-12,0.6
"('macd_max', 'ema_20_channel', 'bb_sqeeze_both_direction')",XGBClassifier,1.0,1,0.0,0,0.55
