,index,date,dateUtc,openDateUtc,instrumentName,period,profitAndLoss,transactionType,reference,openLevel,closeLevel,size,currency,cashTransaction,profit_float
0,0,2024-02-09,2024-02-09T15:29:32,2024-02-09T15:29:32,Verrechnung Kapitalertragsteuer,-,E183.84,DEPO,11022224,-,0,-,E,False,183.84
1,1,2024-02-09,2024-02-09T15:29:32,2024-02-09T15:29:32,Verrechnung Solidaritätszuschlag,-,E10.11,DEPO,11122224,-,0,-,E,False,10.11
2,2,2024-02-09,2024-02-09T13:38:10,2024-02-09T13:38:10,Solidaritätszuschlag,-,E-0.24,WITH,11382172,-,0,-,E,False,-0.24
3,3,2024-02-09,2024-02-09T13:38:10,2024-02-09T13:38:10,Kapitalertragssteuer,-,E-4.36,WITH,11381172,-,0,-,E,False,-4.36
4,4,2024-02-09,2024-02-09T13:37:48,2024-02-08T08:38:52,AUD/USD Mini converted at 0.92261176,-,E17.99,TRADE,JL4KX7A7,0.65091,0.65221,+1.50,E,False,17.99
5,5,2024-02-09,2024-02-09T03:24:34,2024-02-09T03:24:34,Kapitalertragssteuer,-,E-0.01,WITH,11245172,-,0,-,E,False,-0.01
6,6,2024-02-09,2024-02-09T03:24:34,2024-02-09T03:24:34,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in 0.6928,-,E-0.19,WITH,60115205,-,0,-,E,False,-0.19
7,7,2024-02-09,2024-02-09T03:24:31,2024-02-09T03:24:31,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in @{3@,-,E0.05,DEPO,11468168,-,0,-,E,False,0.05
8,8,2024-02-09,2024-02-09T02:47:38,2024-02-09T02:47:38,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag EUR/GBP Mini umgerechnet in 1.1767,-,E-0.34,WITH,11996169,-,0,-,E,False,-0.34
9,9,2024-02-09,2024-02-09T02:47:25,2024-02-09T02:47:25,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag EUR/GBP Mini umgerechnet in @{3@,-,E0.42,DEPO,11992205,-,0,-,E,False,0.42
10,10,2024-02-09,2024-02-09T02:30:30,2024-02-09T02:30:30,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag AUD/USD Mini umgerechnet in 0.9324,-,E-0.20,WITH,11245168,-,0,-,E,False,-0.2
11,11,2024-02-09,2024-02-09T02:29:49,2024-02-09T02:29:49,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag AUD/USD Mini umgerechnet in @{3@,-,E-0.34,WITH,11820207,-,0,-,E,False,-0.34
12,12,2024-02-09,2024-02-09T00:02:01,2024-02-09T00:02:01,Kapitalertragssteuer,-,E-1.36,WITH,11144172,-,0,-,E,False,-1.36
13,13,2024-02-09,2024-02-09T00:02:01,2024-02-09T00:02:01,Solidaritätszuschlag,-,E-0.07,WITH,11145172,-,0,-,E,False,-0.07
14,14,2024-02-09,2024-02-09T00:01:53,2024-02-08T11:14:06,NZD/CAD Mini converted at 0.685882876020805,-,E5.45,TRADE,JJVRPYAU,0.82147,0.822,+1.50,E,False,5.45
15,15,2024-02-08,2024-02-08T11:12:19,2024-02-08T11:12:19,Kapitalertragssteuer,-,E-2.25,WITH,31154172,-,0,-,E,False,-2.25
16,16,2024-02-08,2024-02-08T11:12:19,2024-02-08T11:12:19,Solidaritätszuschlag,-,E-0.12,WITH,31155172,-,0,-,E,False,-0.12
17,17,2024-02-08,2024-02-08T11:12:00,2024-02-06T21:58:16,NZD/CAD Mini converted at 0.685894696206885,-,E10.08,TRADE,JFH3T8AP,0.82239,0.82141,-1.50,E,False,10.08
18,18,2024-02-08,2024-02-08T08:32:06,2024-02-08T08:32:06,Solidaritätszuschlag,-,E-0.20,WITH,11424172,-,0,-,E,False,-0.2
19,19,2024-02-08,2024-02-08T08:32:06,2024-02-08T08:32:06,Kapitalertragssteuer,-,E-3.64,WITH,11423172,-,0,-,E,False,-3.64
20,20,2024-02-08,2024-02-08T08:31:54,2024-02-08T00:03:32,AUD/USD Mini converted at 0.9235067625,-,E14.55,TRADE,JEUHBQA8,0.65221,0.65116,-1.50,E,False,14.55
21,21,2024-02-08,2024-02-08T02:44:59,2024-02-08T02:44:59,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in 0.6930,-,E-0.19,WITH,11757205,-,0,-,E,False,-0.19
22,22,2024-02-08,2024-02-08T02:44:57,2024-02-08T02:44:57,Tägliche Finanzierungsanpassung – FX-Zinsen für 3 Tag NZD/CAD Mini umgerechnet in @{3@,-,E-0.53,WITH,11370206,-,0,-,E,False,-0.53
23,23,2024-02-08,2024-02-08T02:01:04,2024-02-08T02:01:04,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag EUR/GBP Mini umgerechnet in 1.1782,-,E-0.34,WITH,11262205,-,0,-,E,False,-0.34
24,24,2024-02-08,2024-02-08T02:00:49,2024-02-08T02:00:49,Tägliche Finanzierungsanpassung – FX-Zinsen für 3 Tag EUR/GBP Mini umgerechnet in @{3@,-,E1.21,DEPO,11846206,-,0,-,E,False,1.21
25,25,2024-02-07,2024-02-07T17:02:40,2024-02-07T17:02:40,Kapitalertragssteuer,-,E-2.15,WITH,11781172,-,0,-,E,False,-2.15
26,26,2024-02-07,2024-02-07T17:02:40,2024-02-07T17:02:40,Solidaritätszuschlag,-,E-0.12,WITH,11782172,-,0,-,E,False,-0.12
27,27,2024-02-07,2024-02-07T17:02:39,2024-02-07T17:02:39,Kapitalertragssteuer,-,E-2.39,WITH,11779172,-,0,-,E,False,-2.39
28,28,2024-02-07,2024-02-07T17:02:39,2024-02-07T17:02:39,Solidaritätszuschlag,-,E-0.13,WITH,11780172,-,0,-,E,False,-0.13
29,29,2024-02-07,2024-02-07T17:02:34,2024-02-07T07:24:20,EUR/USD Mini converted at 0.9244331075,-,E8.60,TRADE,JCG2A7AY,1.07699,1.07637,-1.50,E,False,8.6
30,30,2024-02-07,2024-02-07T17:02:30,2024-02-07T16:03:31,AUD/USD Mini converted at 0.9244331075,-,E9.57,TRADE,JCG8WVAR,0.65274,0.65205,-1.50,E,False,9.57
31,31,2024-02-07,2024-02-07T14:16:18,2024-02-07T14:16:18,Kapitalertragssteuer,-,E-1.80,WITH,11375172,-,0,-,E,False,-1.8
32,32,2024-02-07,2024-02-07T14:16:18,2024-02-07T14:16:18,Solidaritätszuschlag,-,E-0.10,WITH,11376172,-,0,-,E,False,-0.1
33,33,2024-02-07,2024-02-07T14:15:56,2024-02-07T14:06:08,EUR/GBP Mini converted at 1.167448425,-,E7.18,TRADE,JAWC8WAJ,0.85275,0.85234,-1.50,E,False,7.18
34,34,2024-02-07,2024-02-07T10:56:05,2024-02-06T17:03:57,AUD/USD Mini converted at 0.9335329425,-,E-2.66,TRADE,H92HXCA8,0.6517,0.65189,-1.50,E,False,-2.66
35,35,2024-02-07,2024-02-07T07:16:47,2024-02-05T00:32:56,EUR/USD Mini converted at 0.9331821975,-,E-0.98,TRADE,H875ZXA7,1.07695,1.07688,+1.50,E,False,-0.98
36,36,2024-02-07,2024-02-07T03:14:30,2024-02-07T03:14:30,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in 0.6926,-,E-0.19,WITH,11642169,-,0,-,E,False,-0.19
37,37,2024-02-07,2024-02-07T03:14:28,2024-02-07T03:14:28,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in @{3@,-,E-0.18,WITH,11680199,-,0,-,E,False,-0.18
38,38,2024-02-07,2024-02-07T02:40:39,2024-02-07T02:40:39,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag EUR/USD Mini umgerechnet in 0.9342,-,E-0.34,WITH,11435199,-,0,-,E,False,-0.34
39,39,2024-02-07,2024-02-07T02:39:54,2024-02-07T02:39:54,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag EUR/USD Mini umgerechnet in @{3@,-,E-0.66,WITH,11827205,-,0,-,E,False,-0.66
40,40,2024-02-07,2024-02-07T02:15:39,2024-02-07T02:15:39,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag AUD/USD Mini umgerechnet in 0.9342,-,E-0.20,WITH,11392207,-,0,-,E,False,-0.2
41,41,2024-02-07,2024-02-07T02:14:59,2024-02-07T02:14:59,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag AUD/USD Mini umgerechnet in @{3@,-,E0.19,DEPO,01172168,-,0,-,E,False,0.19
42,42,2024-02-06,2024-02-06T21:56:35,2024-02-06T21:54:23,NZD/CAD Mini converted at 0.692635322334285,-,E-8.31,TRADE,H746NPAN,0.82322,0.82242,+1.50,E,False,-8.31
43,43,2024-02-06,2024-02-06T21:51:52,2024-02-06T21:51:52,Solidaritätszuschlag,-,E-0.31,WITH,11538172,-,0,-,E,False,-0.31
44,44,2024-02-06,2024-02-06T21:51:52,2024-02-06T21:51:52,Kapitalertragssteuer,-,E-5.64,WITH,11537172,-,0,-,E,False,-5.64
45,45,2024-02-06,2024-02-06T21:51:38,2024-02-02T13:38:00,NZD/CAD Mini converted at 0.685670182305445,-,E23.04,TRADE,H75GAEBB,0.81929,0.82153,+1.50,E,False,23.04
46,46,2024-02-06,2024-02-06T13:12:03,2024-02-06T13:12:03,Solidaritätszuschlag,-,E-0.14,WITH,11835172,-,0,-,E,False,-0.14
47,47,2024-02-06,2024-02-06T13:12:03,2024-02-06T13:12:03,Kapitalertragssteuer,-,E-2.50,WITH,11834172,-,0,-,E,False,-2.5
48,48,2024-02-06,2024-02-06T13:11:46,2024-02-06T10:01:47,AUD/USD Mini converted at 0.9264688775,-,E10.01,TRADE,H5BWR2A7,0.64956,0.65028,+1.50,E,False,10.01
49,49,2024-02-06,2024-02-06T07:43:35,2024-02-06T07:43:35,Kapitalertragssteuer,-,E-4.29,WITH,11638172,-,0,-,E,False,-4.29
50,0,2024-02-06,2024-02-06T07:43:35,2024-02-06T07:43:35,Solidaritätszuschlag,-,E-0.24,WITH,11639172,-,0,-,E,False,-0.24
51,1,2024-02-06,2024-02-06T07:43:15,2024-02-02T14:32:14,AUD/CAD Mini converted at 0.68455452356378,-,E18.38,TRADE,H3X8UVAM,0.87782,0.87961,+1.50,E,False,18.38
52,2,2024-02-06,2024-02-06T02:34:18,2024-02-06T02:34:18,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag EUR/USD Mini umgerechnet in 0.9357,-,E-0.34,WITH,11708199,-,0,-,E,False,-0.34
53,3,2024-02-06,2024-02-06T02:33:33,2024-02-06T02:33:33,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag EUR/USD Mini umgerechnet in @{3@,-,E-0.66,WITH,11692204,-,0,-,E,False,-0.66
54,4,2024-02-06,2024-02-06T02:02:21,2024-02-06T02:02:21,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag AUD/CAD Mini umgerechnet in 0.6909,-,E-0.20,WITH,11572169,-,0,-,E,False,-0.2
55,5,2024-02-06,2024-02-06T02:02:18,2024-02-06T02:02:18,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag AUD/CAD Mini umgerechnet in @{3@,-,E-0.20,WITH,11283199,-,0,-,E,False,-0.2
56,6,2024-02-05,2024-02-05T03:09:47,2024-02-05T03:09:47,Tägliche Verwaltungsgebühr – FX-Zinsen für 3 Tag NZD/CAD Mini umgerechnet in 0.6923,-,E-0.56,WITH,11233207,-,0,-,E,False,-0.56
57,7,2024-02-05,2024-02-05T03:09:45,2024-02-05T03:09:45,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in @{3@,-,E0.06,DEPO,11581199,-,0,-,E,False,0.06
58,8,2024-02-05,2024-02-05T02:12:13,2024-02-05T02:12:13,Tägliche Verwaltungsgebühr – FX-Zinsen für 3 Tag AUD/CAD Mini umgerechnet in 0.6923,-,E-0.60,WITH,60115169,-,0,-,E,False,-0.6
59,9,2024-02-05,2024-02-05T02:12:11,2024-02-05T02:12:11,Tägliche Finanzierungsanpassung – FX-Zinsen für 1 Tag AUD/CAD Mini umgerechnet in @{3@,-,E-0.21,WITH,11523205,-,0,-,E,False,-0.21
60,10,2024-02-02,2024-02-02T18:56:34,2024-02-02T18:56:34,Paypal Deposit,-,E300.00,DEPO,01181881,-,0,-,E,False,300.0
61,11,2024-02-02,2024-02-02T13:56:50,2024-02-02T13:56:50,Kapitalertragssteuer,-,E-1.28,WITH,11570164,-,0,-,E,False,-1.28
62,12,2024-02-02,2024-02-02T13:56:50,2024-02-02T13:56:50,Solidaritätszuschlag,-,E-0.07,WITH,11571164,-,0,-,E,False,-0.07
63,13,2024-02-02,2024-02-02T13:56:28,2024-02-01T16:02:53,AUD/USD Mini converted at 0.9205973825,-,E5.11,TRADE,HRATP6AG,0.65455,0.65418,-1.50,E,False,5.11
64,14,2024-02-02,2024-02-02T13:36:35,2024-02-02T13:36:35,Kapitalertragssteuer,-,E-7.88,WITH,11219164,-,0,-,E,False,-7.88
65,15,2024-02-02,2024-02-02T13:36:35,2024-02-02T13:36:35,Solidaritätszuschlag,-,E-0.43,WITH,11220164,-,0,-,E,False,-0.43
66,16,2024-02-02,2024-02-02T13:36:22,2024-02-01T21:46:59,NZD/CAD Mini converted at 0.68570798487976,-,E32.09,TRADE,HQZF7PAP,0.8219,0.81878,-1.50,E,False,32.09
67,17,2024-02-02,2024-02-02T03:44:06,2024-02-02T03:44:06,Tägliche Verwaltungsgebühr – FX-Zinsen für 1 Tag NZD/CAD Mini umgerechnet in 0.6905,-,E-0.19,WITH,11751168,-,0,-,E,False,-0.19
